ax,ay,az,gx,gy,gz
-1.7136519,-1.4963772,-1.5836507,29.51936,-4.106401,-6.3255124
-2.0349565,-1.7453898,-1.9121029,23.131672,-3.6330783,-7.5574117
-2.3329296,-2.3040178,-2.4045746,23.585503,-9.362461,-7.9751325
-2.4132438,-2.8856761,-2.8644273,26.358316,-16.917112,-6.067559
-2.344927,-3.3208039,-3.1575425,25.613417,-24.321264,-2.11261
-2.2127128,-3.7746098,-3.4063494,23.808846,-30.194954,3.0853636
-2.0805883,-4.332729,-3.718587,26.465021,-35.62459,6.835185
-1.8990531,-4.8718686,-4.008424,34.99709,-41.724705,8.913797
-1.5790849,-5.2607627,-4.1092215,43.44134,-46.983543,11.939633
-1.2246685,-5.493561,-4.108384,50.462734,-51.442974,16.176264
-0.81316894,-5.617192,-4.022908,55.929344,-55.01915,20.981035
-0.34611806,-5.740891,-3.855262,60.875626,-57.125496,25.593931
0.109717615,-5.85185,-3.6347833,66.33916,-57.160007,30.47551
0.49989322,-5.719658,-3.3522248,70.862144,-56.974426,36.371254
0.85627437,-5.4181676,-3.0137212,73.86095,-56.97673,42.753372
1.2164387,-5.040313,-2.5992353,75.42832,-56.423428,48.81089
1.5699245,-4.6918654,-2.1373,76.43416,-54.66378,54.244965
1.8958759,-4.2867603,-1.6502726,76.44416,-51.636486,60.44038
2.1673596,-3.710366,-1.1633531,75.673225,-48.488457,66.78161
2.396398,-3.0874918,-0.6908236,73.583176,-45.351067,72.61375
2.617603,-2.5057852,-0.23612854,70.58686,-41.785915,77.52771
2.834854,-1.9955703,0.17592001,67.72831,-37.45097,81.25821
3.0412354,-1.5162288,0.54496634,65.26717,-31.89926,83.648834
3.2235112,-1.0110775,0.8505183,62.77622,-25.730484,85.15856
3.3700428,-0.52170163,1.084566,60.183456,-19.117636,85.71893
3.4771092,-0.039815318,1.2438502,57.352444,-12.320102,85.33188
3.5340636,0.38860953,1.3315698,54.442997,-5.466382,83.91907
3.5476134,0.75049794,1.3565818,51.26052,1.4909879,81.580055
3.506547,1.043957,1.2975593,47.93071,8.30796,78.46641
3.4328775,1.2949473,1.1905057,44.45242,14.987074,74.52367
3.3287656,1.5110525,1.0420952,40.65747,21.492153,70.188576
3.1713083,1.6900417,0.82932806,37.28461,27.390072,65.661285
2.9557047,1.8393971,0.5655787,33.870064,31.890072,60.966965
2.7134588,1.9516836,0.27006322,29.627718,35.183834,56.428936
2.474294,2.015269,-0.038135126,25.20848,37.48195,51.84825
2.26274,2.0498903,-0.3349107,20.91083,39.13951,47.30869
2.060589,2.059577,-0.63499665,16.982681,40.161564,42.829964
1.8685898,2.0532396,-0.9353142,13.218524,40.23225,38.426033
1.6867195,2.0272155,-1.2370652,9.335574,39.582302,34.301758
1.5135909,1.9756498,-1.537231,5.479147,38.221973,30.460829
1.3544819,1.8992686,-1.8301625,1.8511183,36.206116,26.97137
1.2142447,1.8021202,-2.106794,-1.5365833,33.60686,23.788197
1.0912699,1.6881819,-2.3657134,-4.5964575,30.417212,20.936853
0.97783065,1.5580982,-2.6093714,-7.071438,26.78047,18.293234
0.87493384,1.4353814,-2.8290594,-8.936728,22.636553,15.749533
0.7979651,1.3154811,-3.0087838,-10.505347,18.252764,13.475759
0.7400485,1.1899644,-3.1591082,-11.703798,13.826514,11.481158
0.6994039,1.0754452,-3.2871041,-12.33859,9.297433,9.465023
0.68960506,0.9725331,-3.3910544,-12.571332,4.6270676,7.539985
0.69704354,0.8963994,-3.4639473,-12.722467,-0.3245208,6.0468645
0.7258114,0.8581054,-3.4905934,-13.326777,-5.529939,5.210938
0.7706563,0.8312189,-3.4767127,-14.32367,-10.74816,4.9110994
0.8241861,0.7805998,-3.4379365,-14.823887,-15.590624,4.329043
0.8742735,0.73777074,-3.3630643,-14.340949,-20.115028,3.137472
0.9239228,0.76848763,-3.245459,-14.090307,-24.66733,1.8102634
0.98454887,0.8350354,-3.0776978,-14.598188,-29.253456,0.7091633
1.0607543,0.89507914,-2.8698194,-15.850214,-33.722546,-0.12900485
1.1774665,0.9071369,-2.61754,-17.577074,-37.39607,-0.9908981
1.3725537,0.8459098,-2.3073905,-18.655853,-39.935013,-2.3902023
1.5918809,0.78656507,-1.9759821,-19.13963,-41.12926,-4.3680162
1.803312,0.72307634,-1.6480415,-19.497303,-41.573643,-6.420831
1.998983,0.652998,-1.3283088,-20.069855,-41.324226,-8.119019
2.1717565,0.57236415,-1.0323611,-21.338543,-40.31418,-9.403117
2.1017308,0.55390894,-0.99907386,-20.650505,-39.014294,-9.099924
2.034109,0.5360873,-0.9669294,-19.98609,-37.759033,-8.80714
1.9687957,0.51887405,-0.93588215,-19.344355,-36.546627,-8.524351
1.9056996,0.5022451,-0.905889,-18.724407,-35.37538,-8.251163
1.8447349,0.48617792,-0.8769089,-18.125399,-34.243694,-7.987201
1.7858193,0.4706508,-0.84890294,-17.546524,-33.150047,-7.732113
