ax,ay,az,gx,gy,gz
-0.4172765,-0.74364316,0.15181956,-0.6654606,-12.928299,-11.985563
-0.71779543,-0.6194553,-0.18257429,12.476671,-19.447655,-15.609778
-0.96217495,-0.632558,-0.48713416,17.222145,-25.03692,-19.756716
-1.0828223,-0.78934306,-0.7228511,12.07968,-30.57718,-20.65792
-1.1014043,-1.1491649,-0.9730668,7.444193,-34.503376,-18.557003
-1.2785771,-1.8776242,-1.5334046,9.717165,-38.025433,-17.930458
-1.4648966,-2.608156,-2.1840405,14.471814,-42.06741,-17.470669
-1.6385795,-3.220254,-2.9059846,17.16322,-48.53914,-15.482302
-1.8045664,-3.78134,-3.5846977,19.72132,-57.155846,-12.884007
-1.8332362,-4.3706264,-4.056491,25.042902,-65.211174,-9.805682
-1.657297,-4.8962674,-4.281145,31.24665,-70.94171,-5.600489
-1.498405,-5.258518,-4.420184,37.893482,-75.683174,-0.30133814
-1.3652161,-5.422337,-4.4663453,44.680813,-80.9921,5.9074974
-1.1664816,-5.417582,-4.3081403,50.41738,-86.2662,13.120699
-0.8424523,-5.255508,-3.936628,53.53253,-90.7995,22.997593
-0.40289748,-4.9493456,-3.3381102,54.04668,-94.09604,33.76577
0.09977217,-4.625248,-2.644555,52.88055,-95.8863,44.692986
0.6675995,-4.2732615,-1.9024206,51.605362,-95.745605,54.848354
1.2710974,-3.8343766,-1.1838024,51.07534,-93.51684,62.896908
1.8867495,-3.3439384,-0.5118118,51.270016,-88.3271,67.55652
2.4734404,-2.8636594,0.109407,51.578293,-80.93414,70.3743
2.9651692,-2.4240274,0.6368929,51.663643,-71.60611,72.44891
3.3164694,-2.006555,1.0094572,51.3648,-61.306026,74.22425
3.503754,-1.5784943,1.211218,51.050777,-51.33302,75.26815
3.5896237,-1.1749568,1.311186,50.03447,-41.81523,75.03331
3.6359758,-0.81134164,1.3465284,48.238007,-32.330853,74.52814
3.634266,-0.45894393,1.3188579,45.3157,-22.87498,73.81891
3.5554028,-0.118284054,1.1999712,42.424706,-14.098813,72.57155
3.3775747,0.20642996,0.99498826,39.84601,-6.847033,69.8327
3.1930335,0.48812494,0.78151983,36.492546,-0.9218974,66.13073
2.9910517,0.73644364,0.5378958,32.78456,4.083339,62.208958
2.7908998,0.95276946,0.28977796,28.862803,8.253306,58.0188
2.601446,1.1317911,0.038617134,24.786264,11.831262,53.952785
2.3741052,1.2819691,-0.2515803,20.892244,14.361754,49.784924
2.1265657,1.3973883,-0.5475206,17.241264,15.110041,45.301056
1.9371438,1.4932612,-0.77348614,13.328321,14.767364,41.367706
1.8117572,1.5888284,-0.9208615,9.102909,13.786389,38.078648
1.7340336,1.6787881,-1.0094745,5.09949,12.424931,34.474964
1.7396123,1.736813,-1.0140761,1.965405,11.6003895,29.441114
1.813343,1.7441696,-0.94043,-0.012414344,12.25417,22.86988
1.8842212,1.7026718,-0.83205086,-1.8659838,13.399349,16.278646
1.9383427,1.6125754,-0.72978073,-4.0825996,14.455667,10.501485
1.9820693,1.4483749,-0.6429156,-6.6742916,15.146216,5.6657104
2.0411096,1.2106389,-0.56151444,-9.1125965,15.841213,1.3670663
2.132458,0.925254,-0.47637418,-10.425776,17.215832,-3.3806021
2.2357883,0.6164228,-0.34973255,-11.011562,19.279392,-8.151952
2.3024805,0.29323524,-0.23311234,-11.556309,21.653904,-11.997583
2.3109698,-0.04374909,-0.15864787,-12.353174,23.875446,-14.539857
2.275581,-0.40052128,-0.12698619,-13.043239,25.662624,-16.037697
2.2329772,-0.7706393,-0.11586598,-12.901069,27.209566,-16.950788
2.2135172,-1.1202011,-0.101300314,-11.992487,29.10384,-17.682138
2.1821196,-1.4290298,-0.11105671,-10.643622,31.25096,-18.166162
2.1263256,-1.7097826,-0.14716797,-9.237962,33.3511,-17.979311
2.0450873,-1.9728312,-0.21165875,-7.6211967,35.220062,-17.092981
1.943747,-2.1996288,-0.29879576,-5.2861214,36.74857,-15.82108
1.8365009,-2.3591697,-0.4195216,-2.3924565,38.11405,-14.664477
1.7232343,-2.4790566,-0.58007365,0.77704954,39.27118,-13.612262
1.6065224,-2.579569,-0.7762168,4.148097,40.20248,-12.336012
1.4760233,-2.6653733,-1.0112996,7.5439267,40.711586,-10.716682
1.3347217,-2.746435,-1.2769862,11.294264,40.490887,-8.71353
1.1810246,-2.791831,-1.5648772,15.243451,39.588013,-6.5986238
1.0240253,-2.7869446,-1.8501091,19.046455,37.998978,-4.272979
0.87526387,-2.731359,-2.1118183,22.697523,35.719543,-1.6988031
0.7631111,-2.6145923,-2.325601,26.153599,33.011105,1.0246058
0.69438326,-2.4288633,-2.4917297,28.732992,30.136457,3.5661297
0.6462715,-2.2113607,-2.6292937,30.826506,27.32465,5.421196
0.5846025,-2.0061457,-2.7683086,32.667038,24.516357,6.3174124
0.50207895,-1.823026,-2.9017003,34.535202,21.508095,6.515582
0.43210217,-1.5945467,-2.9943914,35.62521,18.133133,7.011196
0.39192143,-1.3145306,-3.0362465,35.012753,14.487693,8.317372
0.3670889,-1.0291975,-3.0535276,33.864906,10.90541,9.25743
0.35207856,-0.7827116,-3.0656886,32.58243,7.6341047,9.41331
0.3319439,-0.5838759,-3.084878,31.19314,4.7170644,8.868271
0.27650714,-0.42967954,-3.123765,30.031559,1.5980113,8.105
0.22485429,-0.2558353,-3.1527586,28.065098,-2.325466,8.184672
0.2177388,-0.033914924,-3.1414375,25.06206,-6.526183,8.75812
0.2237219,0.17137647,-3.1020339,21.707392,-10.707551,8.720496
0.24340682,0.33145818,-3.0376039,18.404032,-14.540842,7.835939
0.26229528,0.44346303,-2.9675648,15.117353,-18.030201,6.3695607
0.2822434,0.53116024,-2.895568,11.709949,-21.641388,4.706234
0.31783476,0.6143877,-2.815657,8.118384,-25.601313,3.2177458
0.37186027,0.6750381,-2.6888962,3.9623678,-29.804497,1.9866515
0.44686186,0.65515506,-2.5019412,-0.57463014,-33.811108,0.9372362
0.56956923,0.5319756,-2.2791724,-4.801027,-37.077023,-0.20705631
0.74125594,0.31769907,-2.0668378,-7.724183,-39.220078,-2.2505436
0.92293394,0.015474158,-1.8551375,-9.982755,-40.920876,-4.0389376
1.0812374,-0.3006727,-1.6357898,-12.109852,-42.460114,-4.9944596
1.2406435,-0.6153067,-1.3864814,-14.079156,-43.663116,-5.2475247
1.4272388,-0.9055356,-1.1155728,-15.453778,-44.21543,-5.287766
1.624858,-1.1502486,-0.8460668,-15.5700865,-43.407425,-5.625111
1.797001,-1.339233,-0.6061045,-14.807004,-41.5486,-6.1085367
1.9347831,-1.4803898,-0.40415648,-13.575012,-38.76823,-6.34538
1.8742193,-1.4340497,-0.39150533,-13.150079,-37.554684,-6.146753
1.8155717,-1.3891758,-0.37925443,-12.738589,-36.379528,-5.95441
1.7587775,-1.34572,-0.36739072,-12.340105,-35.241516,-5.768146
