ax,ay,az,gx,gy,gz
0.16091056,-0.79637086,0.60455096,28.298439,-28.52026,3.8282166
0.013724877,-1.043957,0.8134574,39.0397,-34.82284,-0.43864828
0.038697563,-1.1874566,1.3345762,37.94265,-37.672245,-2.9992056
0.26472905,-1.2492812,2.0551488,28.22069,-37.429825,-1.3087587
0.64973015,-1.3285434,2.9317584,22.459757,-33.536976,4.8623915
1.1043756,-1.106366,3.9472444,18.54083,-28.239483,9.098041
1.5845991,-0.945032,4.8870683,17.053207,-20.759222,9.785695
2.029506,-0.8478884,5.6896863,18.00887,-12.106483,8.839723
2.459251,-0.70680726,6.37664,19.223078,-2.8405647,7.770477
2.9082708,-0.48902765,6.918934,19.06792,8.23649,6.605844
3.3462663,-0.28186065,7.198859,18.678503,20.516788,4.4183664
3.6755207,-0.11620013,7.202834,18.69414,32.931046,1.5925974
3.8745322,0.008554854,6.976778,18.84933,44.392597,-1.5099709
3.9694595,0.09627354,6.605334,18.62101,54.398357,-4.2237873
3.9950187,0.17981572,6.151872,18.292702,63.00107,-6.7083077
3.923971,0.2862639,5.5940123,18.081589,70.24378,-9.550547
3.7983356,0.38428995,5.0104594,17.940908,76.12357,-12.645537
3.656726,0.46750316,4.4121647,17.170969,80.72889,-15.429247
3.5302386,0.51649535,3.8012462,15.886481,84.165276,-17.88315
3.4182065,0.5178624,3.1812794,14.625685,86.53183,-20.218914
3.2831059,0.48025537,2.5359085,13.6757765,88.06758,-22.52694
3.1266387,0.44017962,1.909651,12.969245,88.57466,-24.43344
2.9628334,0.42746058,1.3317401,12.342222,88.153946,-25.879745
2.8151596,0.467941,0.8355808,11.339047,86.9006,-26.590677
2.7026174,0.56977,0.42256263,9.601556,85.04747,-26.79989
2.6293485,0.7015855,0.06805722,8.121863,83.28299,-27.548912
2.5764709,0.8220967,-0.26122877,6.8382363,81.756294,-28.919271
2.522284,0.91687244,-0.5811562,5.5973735,80.44168,-30.541916
2.437565,0.99297184,-0.9039564,4.1498938,79.00668,-31.944424
2.3146846,1.0641716,-1.2269049,2.2617662,76.741295,-32.92747
2.1617525,1.117424,-1.5231082,0.24445514,74.02815,-33.901985
1.9910312,1.1247308,-1.8080903,-1.4020882,70.978745,-35.164932
1.820782,1.0791581,-2.0793068,-2.694312,67.54946,-36.61064
1.6632522,0.97969544,-2.3245075,-3.8483722,63.805447,-37.84003
1.5152028,0.8331045,-2.5469744,-4.796363,59.53558,-38.451645
1.3436852,0.62630785,-2.756105,-5.395925,54.60096,-38.94738
1.1732316,0.3481506,-2.9074283,-5.771277,49.096184,-39.041767
1.0349485,0.015052757,-3.0021117,-6.2216306,43.196674,-38.132416
0.9363952,-0.35189787,-3.0593486,-6.7969375,37.09399,-36.21355
0.8776562,-0.7640341,-3.0685503,-7.106359,31.019617,-32.938778
0.87393945,-1.1835116,-2.9914124,-6.7010236,25.211702,-28.87564
0.9175967,-1.5313706,-2.8447926,-5.6374464,19.992044,-24.527294
0.99218017,-1.8005459,-2.645451,-4.1390777,15.528492,-20.184635
1.0930473,-1.9880244,-2.4036212,-2.2902696,11.801201,-15.606405
1.2093887,-2.0586205,-2.130242,-0.48186713,8.651566,-10.514141
1.3431276,-1.9461828,-1.8322185,0.9686586,5.916068,-5.764728
1.496443,-1.7526456,-1.5243632,2.483645,4.026524,-1.8642957
1.6514198,-1.4667166,-1.2165619,3.6858993,3.0573518,1.5406668
1.7788162,-1.0824144,-0.9349231,4.01805,2.6638567,4.609582
1.8761963,-0.6248588,-0.6881008,3.2175627,2.7825613,6.727544
1.9397656,-0.14431715,-0.5107593,1.7565788,3.3639333,7.6678424
1.9708517,0.29444662,-0.39403954,-0.15827434,4.412506,7.6726804
1.9583957,0.6848947,-0.34282503,-2.4407432,5.6699686,6.8841815
1.9028006,1.0132343,-0.345891,-4.9764667,6.870021,5.366033
1.8098179,1.2646985,-0.39767313,-7.563489,7.6028705,2.972195
1.6992362,1.4130827,-0.4991962,-10.188206,7.7910814,0.116611235
1.600414,1.4680938,-0.62092376,-12.8436575,7.5549436,-3.0924585
1.502803,1.4013324,-0.7514278,-15.115123,7.0333,-6.585637
1.3944446,1.2209531,-0.87634206,-16.93236,6.3149853,-10.00154
1.2673635,0.9589064,-1.0155145,-18.172102,4.6460533,-12.637999
1.1576592,0.63460636,-1.1628374,-19.372091,1.9733115,-14.334938
1.0947218,0.2564102,-1.2769469,-20.187988,-1.201042,-15.205268
1.0670663,-0.15410872,-1.3386763,-20.33048,-4.3400097,-15.28195
1.0527157,-0.5601847,-1.353519,-19.58244,-7.0654883,-14.799035
1.0425577,-0.93829095,-1.3458447,-17.715221,-9.326263,-13.655206
1.0378199,-1.2656981,-1.3243046,-15.372792,-11.599996,-11.778262
1.0556122,-1.532924,-1.2672814,-12.720634,-13.937386,-9.20217
1.1121523,-1.721768,-1.1535772,-9.874938,-15.889258,-6.1585627
1.1924694,-1.8257308,-1.0039651,-6.887092,-17.02701,-3.0925148
1.2766677,-1.8589017,-0.84912354,-3.680034,-17.143845,-0.115442984
1.3341491,-1.7857052,-0.72169685,-0.46905553,-17.10908,2.851847
1.3871158,-1.6201549,-0.58508074,2.1443865,-17.199663,6.02534
1.4509381,-1.3736103,-0.42700568,4.1132627,-17.099266,9.0590315
1.5197942,-1.0644609,-0.26563755,5.5139966,-16.50082,11.406287
1.5780585,-0.7290923,-0.12702169,6.4182425,-15.088671,12.541495
1.6004928,-0.4072609,-0.046674635,7.0167027,-13.274638,12.899827
1.5889385,-0.11255733,-0.020541064,7.0495896,-11.328751,12.619363
1.5524938,0.13687025,-0.036662824,6.6978006,-9.430754,11.925886
