ax,ay,az,gx,gy,gz
-3.3800306,-0.16545604,-6.5864234,11.319194,9.155538,-17.090155
-3.958447,-0.33533746,-6.9025955,10.404285,1.1873244,-16.21767
-4.3910217,-0.49131757,-7.1089063,12.229434,-7.4018846,-14.310128
-4.6585913,-0.42832425,-7.244063,14.315824,-15.720476,-12.062028
-4.7713346,-0.25699705,-7.326328,13.044801,-23.637754,-9.381003
-4.813976,-0.050466146,-7.393628,10.572911,-31.331585,-6.7578225
-4.8358164,0.16568945,-7.468042,7.887796,-40.719532,-5.1137724
-4.727767,0.3355028,-7.3906264,4.495854,-49.477608,-3.6810868
-4.5217175,0.3924459,-7.217084,0.40167978,-56.877144,-1.5928904
-4.297529,0.33545482,-7.035135,-3.5563662,-63.14533,0.73310894
-4.073433,0.23495491,-6.849411,-6.452623,-68.85794,2.7540941
-3.8292375,0.19860217,-6.6216726,-8.504824,-74.641235,4.472928
-3.5050254,0.23711394,-6.2883673,-11.708047,-79.98471,6.815236
-3.1545827,0.22471833,-5.9481087,-15.970163,-84.60593,9.488117
-2.8169022,0.10059779,-5.6084824,-19.609108,-88.39363,11.548656
-2.4786687,-0.06682279,-5.241912,-21.633255,-91.156975,12.46653
-2.1138585,-0.14898148,-4.834359,-21.491833,-92.66456,11.650618
-1.787071,-0.119621314,-4.413634,-21.876451,-93.78935,11.299275
-1.5328989,-0.10849151,-4.003885,-23.43123,-95.32915,12.206388
-1.2839861,-0.1592854,-3.5856614,-25.627747,-96.86862,14.113197
-1.0254683,-0.22939408,-3.17133,-27.494295,-98.0457,15.916261
-0.73955756,-0.28427795,-2.7522132,-27.847576,-97.9178,16.024654
-0.4545843,-0.29571807,-2.3098643,-27.859053,-97.01545,15.667285
-0.18312344,-0.28832334,-1.8609765,-28.187946,-95.69609,15.724735
0.08672891,-0.28124794,-1.4206942,-28.645384,-93.87155,15.925321
0.34287485,-0.30251172,-1.0179098,-28.703608,-91.5055,15.939612
0.58062375,-0.3490017,-0.6611638,-28.043259,-88.195984,15.441765
0.7709043,-0.41535643,-0.35371566,-26.803934,-84.3555,14.713941
0.92357,-0.47515684,-0.07803283,-25.334253,-80.341705,14.348416
1.0435325,-0.528834,0.17629115,-23.368624,-76.43319,14.363635
1.1618328,-0.566984,0.42166248,-21.157166,-72.519516,14.580167
1.2971716,-0.6147943,0.66210806,-18.890654,-67.961945,14.80399
1.4467219,-0.6671896,0.88934106,-16.825361,-62.83114,14.827083
1.389715,-0.6408995,0.8542972,-16.16237,-60.355324,14.242832
1.3357451,-0.61601007,0.82112044,-15.534701,-58.011414,13.68971
1.2845739,-0.5924112,0.78966403,-14.939581,-55.789047,13.165269
1.2359883,-0.5700049,0.7597971,-14.374531,-53.678974,12.667328
1.1897975,-0.5487029,0.73140234,-13.837333,-51.672913,12.193931
1.1458303,-0.5284264,0.70437443,-13.3259945,-49.763416,11.743321
1.1039321,-0.5091041,0.67861843,-12.838719,-47.94378,11.313918
1.0639635,-0.49067166,0.6540486,-12.373885,-46.207943,10.90429
1.0257981,-0.47307074,0.6305872,-11.930021,-44.550415,10.513143
0.9893208,-0.4562484,0.6081636,-11.505791,-42.966206,10.139296
0.954427,-0.4401563,0.5867134,-11.099977,-41.45077,9.781678
0.92102116,-0.42475042,0.5661779,-10.711467,-39.999954,9.43931
0.8890158,-0.4099904,0.54650325,-10.339244,-38.60996,9.111296
0.85833055,-0.39583918,0.52764016,-9.982375,-37.277298,8.79681
0.8288917,-0.38226277,0.50954324,-9.640001,-35.998768,8.495099
0.8006311,-0.36922973,0.4921707,-9.311332,-34.77141,8.205463
0.7734861,-0.35671118,0.47548386,-8.995635,-33.592506,7.9272614
0.7473985,-0.34468028,0.4594471,-8.692237,-32.459522,7.6598964
0.7223145,-0.3331122,0.44402725,-8.40051,-31.370121,7.4028163
0.698184,-0.32198387,0.42919356,-8.119873,-30.322134,7.1555095
0.67496055,-0.3112738,0.4149174,-7.849784,-29.31354,6.9174976
