ax,ay,az,gx,gy,gz
-0.345,-8.001,-4.953,-6.287,43.03,2.563
-0.488,-7.403,-5.666,8.545,16.174,18.738
0.11,-7.632,-6.666,18.372,-0.305,32.898
0.445,-7.814,-7.537,33.447,-10.437,47.546
0.469,-7.527,-8.369,52.612,-17.517,56.824
0.282,-6.723,-9.116,77.759,-26.428,63.416
0.01,-5.23,-9.69,98.999,-45.471,73.425
0.081,-2.694,-9.896,103.821,-69.275,85.693
0.459,-0.967,-9.762,103.21,-85.022,90.759
0.651,0.541,-9.618,98.999,-101.868,95.215
0.622,1.991,-9.379,93.323,-122.62,95.276
0.732,3.431,-8.714,86.06,-146.423,88.562
1.01,5.235,-7.412,79.773,-160.034,76.721
1.053,6.096,-6.254,73.914,-170.654,64.575
0.909,7.336,-4.823,66.528,-178.589,49.316
0.823,9.063,-3.22,52.063,-187.744,30.762
1.258,10.499,-1.282,17.09,-191.223,11.414
1.637,10.537,0.713,-11.719,-187.988,0.549
1.397,9.929,1.718,-28.259,-188.66,-14.16
1.967,10.36,3.397,-39.124,-185.974,-37.109
3.321,10.996,5.393,-46.753,-175.171,-62.988
4.508,11.398,7.226,-71.594,-158.325,-73.12
5.876,10.489,8.872,-117.004,-135.864,-82.886
6.781,7.79,9.293,-138.306,-115.234,-86.548
7.986,4.857,9.743,-138.794,-89.539,-98.694
9.384,2.546,10.523,-133.972,-54.016,-106.14
9.652,0.574,11.073,-124.573,-2.441,-109.131
8.69,-1.263,10.896,-118.652,27.466,-106.201
8.173,-2.077,10.269,-118.042,53.223,-101.257
7.728,-3.254,9.293,-117.31,71.96,-91.858
7.307,-4.603,8.015,-115.417,90.942,-81.421
6.962,-5.934,6.623,-107.727,116.882,-63.477
6.388,-6.924,4.589,-104.431,134.277,-47.424
5.953,-7.632,2.632,-97.534,150.391,-26.428
5.259,-8.087,0.66,-82.947,158.325,-10.803
4.378,-8.168,-0.799,-70.74,158.691,7.751
3.613,-7.805,-2.01,-55.298,158.997,26.917
