ax,ay,az,gx,gy,gz
-0.699,-0.234,-1.196,-9.583,-37.842,-21.179
-1.081,-0.416,-1.665,2.014,-44.739,-27.954
-1.364,-1.182,-2.086,7.324,-51.025,-32.41
-1.431,-1.804,-2.402,12.39,-55.115,-35.095
-1.421,-2.981,-2.699,20.63,-63.599,-34.546
-1.201,-3.68,-2.426,28.015,-69.824,-26.306
-0.684,-3.967,-1.737,28.015,-80.566,-10.925
0.56,-4.876,-0.043,24.536,-84.9,4.272
1.383,-5.752,1.766,28.564,-79.773,17.517
2.512,-6.302,3.598,38.696,-66.956,28.259
4.163,-6.403,5.417,47.852,-44.312,38.94
5.8,-6.426,6.895,62.683,-8.606,62.439
7.096,-5.283,8.546,74.28,22.827,77.942
7.187,-3.718,9.355,87.891,52.551,89.844
7.197,-1.397,9.781,96.802,82.825,97.046
7.001,1.024,9.475,96.985,105.286,92.407
6.517,2.46,8.585,80.444,135.193,91.736
5.752,3.68,6.422,69.641,156.128,89.05
5.082,4.584,4.517,60.608,168.762,81.787
4.756,5.532,3.0,45.959,180.237,73.059
4.445,6.431,1.546,33.386,192.139,63.66
4.015,6.862,-0.191,10.498,200.073,46.631
3.383,6.699,-2.23,0.366,203.491,38.452
2.646,7.02,-3.771,-12.451,199.89,27.344
2.091,7.422,-4.89,-24.17,187.073,14.832
1.876,7.747,-5.57,-32.41,178.162,-0.854
1.842,7.561,-6.292,-41.87,169.434,-18.616
1.479,7.202,-7.675,-44.373,156.433,-33.813
0.885,6.986,-8.451,-51.819,137.878,-52.185
0.694,6.465,-9.054,-60.12,119.08,-65.918
0.565,5.833,-9.685,-61.829,102.722,-76.233
0.081,5.355,-10.575,-66.711,71.045,-93.567
-0.421,4.484,-11.202,-68.359,43.213,-107.544
-0.818,3.685,-11.283,-66.467,16.113,-118.958
-1.168,3.062,-11.25,-65.247,-13.0,-127.014
-1.187,2.493,-11.169,-63.538,-41.077,-137.634
-1.239,1.354,-11.398,-52.856,-82.397,-148.621
-1.01,-0.096,-10.948,-48.462,-106.018,-149.109
-1.101,-1.498,-10.628,-47.668,-129.578,-144.592
-0.986,-3.106,-10.226,-43.396,-151.672,-135.437
-0.498,-4.398,-9.771,-36.987,-174.805,-127.136
0.665,-5.345,-8.762,-32.227,-206.238,-113.342
2.641,-6.886,-6.13,-31.555,-219.543,-94.116
3.828,-8.283,-4.158,-27.344,-221.252,-74.402
4.139,-10.054,-2.809,-13.062,-219.36,-59.082
4.048,-12.006,-1.421,9.644,-211.975,-41.931
4.297,-13.207,0.397,40.771,-203.247,-6.836
5.914,-12.858,3.603,58.899,-188.477,20.691
7.221,-11.489,6.029,76.721,-164.856,44.128
7.991,-10.03,8.049,85.999,-136.108,66.406
8.111,-7.876,9.767,93.689,-99.487,87.402
7.68,-4.833,10.58,104.858,-56.519,99.915
7.278,-1.235,11.121,102.295,-30.273,104.919
7.015,1.306,11.159,87.219,-1.587,108.704
6.182,3.115,10.484,74.097,27.649,110.962
5.039,4.742,9.369,59.143,55.481,104.675
4.173,5.402,7.905,40.894,87.341,94.482
3.086,5.737,5.029,32.349,96.802,83.191
2.397,5.422,3.024,23.987,104.065,72.266
1.909,4.895,1.014,19.043,108.093,65.491
1.431,4.445,-0.919,16.907,98.755,59.814
1.177,4.048,-2.019,12.878,94.91,51.208
0.761,3.752,-3.015,9.583,95.398,42.725
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
