ax,ay,az,gx,gy,gz
-1.55,1.747,-5.69,57.983,41.87,-46.753
-2.125,2.302,-6.379,32.959,33.752,-45.105
-2.33,2.259,-7.355,6.775,16.296,-32.288
-2.675,2.704,-8.336,-12.268,-19.592,-25.757
-2.9,3.134,-9.412,-11.841,-47.485,-34.668
-2.991,3.086,-10.078,-6.714,-80.566,-48.523
-3.039,2.732,-10.441,5.188,-114.99,-65.674
-2.929,2.149,-10.365,2.747,-149.048,-73.914
-2.33,1.397,-9.805,-15.991,-187.195,-61.34
-2.053,1.024,-8.58,-19.714,-216.37,-50.659
-1.57,1.431,-6.785,-22.888,-235.962,-55.908
-0.211,0.828,-4.177,-16.541,-247.559,-67.871
1.479,-0.287,-0.947,-19.775,-257.812,-67.078
3.909,-1.555,3.211,-17.883,-254.822,-45.654
8.068,-0.541,9.527,-23.804,-227.173,-24.353
10.389,0.976,13.743,-41.138,-187.378,-21.24
12.059,0.904,16.437,-36.743,-127.991,-22.827
12.585,1.201,17.337,-23.926,-60.791,-34.18
12.671,2.01,17.169,-27.1,21.729,-38.635
11.681,2.584,15.212,-46.448,81.36,-34.058
9.92,2.321,12.212,-60.974,127.502,-35.095
7.867,1.641,9.006,-70.801,162.292,-44.373
6.216,0.813,6.039,-74.402,186.279,-52.185
4.933,0.177,3.469,-70.74,202.209,-49.744
3.273,-0.464,0.569,-69.153,206.604,-48.218
2.632,-0.952,-0.995,-64.331,211.731,-48.523
2.278,-0.981,-2.139,-71.045,222.046,-46.387
1.79,-1.436,-3.613,-78.186,229.736,-39.612
0.282,-2.053,-5.661,-69.946,209.351,-33.508
-1.282,-2.546,-6.838,-63.293,193.176,-32.471
-2.091,-2.775,-7.608,-68.97,181.213,-26.55
-2.144,-3.22,-8.336,-77.515,170.044,-14.648
-2.981,-4.244,-9.848,-69.824,145.691,-2.014
-4.139,-5.407,-11.393,-46.265,87.83,5.798
-3.953,-7.556,-12.575,-22.644,46.204,13.184
-3.259,-9.355,-13.288,-4.089,0.916,33.142
-2.555,-10.283,-13.619,11.536,-37.781,53.345
-1.531,-10.719,-13.47,20.02,-73.486,81.299
-0.412,-11.346,-13.312,42.175,-116.699,124.634
0.129,-11.111,-13.427,70.679,-149.536,156.799
0.273,-9.254,-13.432,99.854,-194.214,178.65
1.455,-7.087,-12.374,113.586,-231.262,192.383
4.029,-4.814,-10.111,123.108,-250.732,209.839
6.192,-2.278,-7.273,146.24,-252.258,215.576
7.388,2.283,-3.919,145.813,-245.117,185.73
8.829,5.312,0.1,133.789,-224.67,166.321
9.006,8.302,3.393,128.662,-203.125,157.654
9.604,12.944,7.465,95.642,-182.617,128.906
10.307,13.709,10.695,38.757,-118.042,108.826
7.809,11.393,10.384,9.399,-70.923,94.727
5.737,9.709,8.943,-1.465,-36.072,70.19
4.541,8.283,7.498,-2.869,-16.602,50.659
3.708,7.393,6.57,-4.761,-5.554,34.302
3.68,6.206,5.881,-19.897,21.24,34.18
2.814,4.187,4.091,-29.358,36.743,43.274
1.641,2.972,2.541,-31.738,44.8,35.889
0.976,1.469,1.474,-35.461,52.795,21.667
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
