ax,ay,az,gx,gy,gz
-1.67,-4.221,-2.407,13.672,26.489,-25.757
-1.455,-4.704,-2.613,9.521,23.987,-18.86
-1.153,-4.704,-2.823,-1.709,26.428,-8.301
-0.694,-5.302,-3.68,0.671,18.921,1.16
-0.033,-6.379,-4.737,12.39,7.874,13.306
0.129,-6.91,-5.326,24.78,-3.296,28.687
0.311,-6.929,-5.733,38.757,-12.207,42.786
0.536,-6.498,-6.015,51.636,-20.081,55.847
0.632,-5.661,-6.316,68.115,-27.039,71.045
0.239,-4.541,-7.029,83.435,-37.659,78.735
0.196,-3.168,-7.154,99.854,-50.11,82.703
0.33,-1.526,-7.02,112.854,-63.049,87.097
0.311,0.163,-6.962,121.643,-80.078,88.684
0.502,1.579,-6.828,129.639,-106.14,81.665
1.034,2.378,-6.053,132.446,-116.821,77.332
1.23,3.393,-5.149,135.132,-125.854,73.73
1.512,5.082,-3.981,135.62,-136.047,66.528
1.866,6.647,-2.469,142.639,-138.733,43.762
2.038,8.058,-1.029,132.446,-137.085,30.457
2.311,9.68,1.053,110.474,-127.441,11.841
2.661,11.082,3.034,80.017,-114.929,0.366
2.996,12.489,4.895,50.293,-103.027,-6.714
3.273,13.437,6.388,15.686,-86.243,-20.996
4.082,14.327,7.934,-32.288,-50.842,-42.847
5.484,14.729,9.369,-78.674,-17.822,-55.481
5.914,13.676,9.106,-120.117,16.174,-71.96
6.154,11.929,7.733,-142.273,44.434,-95.825
6.522,9.934,6.13,-153.442,68.909,-116.638
6.728,8.451,4.34,-170.471,92.102,-135.864
6.881,6.465,1.833,-187.317,112.244,-146.24
6.364,4.579,-0.675,-202.087,124.268,-148.438
5.221,2.637,-3.388,-202.576,119.08,-145.752
4.087,0.66,-5.058,-198.547,110.291,-143.188
3.541,-0.349,-5.747,-186.34,110.596,-138.794
2.608,-0.708,-6.895,-177.551,108.093,-142.578
1.737,-1.675,-8.039,-161.682,98.083,-142.334
0.656,-2.469,-8.805,-143.555,80.505,-138.977
-0.187,-2.393,-8.8,-136.108,61.157,-139.465
-0.651,-2.455,-8.498,-133.362,34.851,-137.878
-1.177,-2.905,-8.36,-129.7,16.724,-133.301
-1.431,-3.584,-8.518,-119.629,-2.441,-130.005
-1.881,-4.34,-8.546,-104.858,-25.513,-129.089
-1.938,-4.977,-8.436,-91.858,-50.72,-125.977
-1.488,-5.546,-7.977,-85.571,-75.5,-102.722
-1.086,-6.46,-7.618,-73.242,-87.036,-91.064
-1.325,-7.709,-7.345,-52.551,-102.783,-85.876
-1.282,-9.02,-6.718,-27.649,-111.755,-70.312
-1.077,-9.35,-5.905,-9.155,-122.681,-49.194
-0.297,-9.307,-4.733,5.676,-131.836,-28.992
2.393,-10.164,-2.469,26.611,-126.526,8.179
4.421,-10.623,-0.067,43.518,-110.962,42.603
5.359,-10.274,2.579,58.228,-83.74,72.266
4.933,-8.637,4.369,67.139,-63.721,80.444
5.02,-7.479,6.106,84.656,-38.452,83.679
5.862,-5.522,8.479,79.041,-18.188,98.938
5.948,-3.962,9.575,64.697,-0.305,109.436
6.058,-3.594,9.647,61.462,21.362,116.15
6.053,-3.89,8.388,70.129,44.922,118.469
5.436,-3.876,6.594,84.473,63.904,126.709
