ax,ay,az,gx,gy,gz
-0.88,-4.264,-2.517,-34.363,-5.737,8.972
-1.273,-5.149,-3.297,-33.386,-15.137,11.353
-1.483,-6.407,-4.441,-13.184,-28.748,21.79
-1.675,-7.245,-5.259,7.202,-42.542,29.175
-1.129,-7.508,-5.422,27.649,-52.673,36.621
-0.34,-7.762,-5.627,39.917,-65.369,48.523
0.129,-8.039,-5.929,46.021,-84.717,63.171
1.464,-8.226,-5.182,81.726,-83.374,75.5
2.326,-7.211,-5.173,91.431,-80.139,92.651
2.871,-6.881,-5.23,106.995,-77.759,103.76
3.603,-5.958,-4.986,125.854,-75.195,111.267
4.378,-4.551,-4.45,135.315,-73.975,122.253
4.756,-2.895,-3.675,144.897,-74.463,138.428
4.804,-0.397,-2.89,150.024,-76.538,144.653
4.809,0.746,-2.311,155.09,-79.102,146.729
4.957,2.235,-1.383,161.743,-77.148,145.447
4.996,4.46,-0.072,161.072,-68.909,139.282
4.819,6.465,1.024,146.79,-52.612,125.793
4.144,7.25,1.172,133.85,-45.349,115.356
3.656,7.393,1.168,122.375,-39.49,109.131
3.34,8.503,1.794,112.0,-35.767,101.318
2.996,10.446,2.996,95.703,-26.611,90.82
2.431,11.834,3.804,70.862,-13.916,68.604
1.349,12.537,4.244,52.307,-3.723,48.279
0.555,12.862,4.326,31.738,4.456,26.123
-0.096,12.638,4.249,12.573,8.85,4.578
-0.321,12.336,4.201,-8.179,11.475,-16.418
-0.206,11.7,3.972,-40.1,20.569,-40.894
-0.297,10.202,3.115,-58.167,24.597,-56.885
-0.502,9.278,2.407,-66.711,28.32,-73.303
-0.397,8.642,1.871,-72.327,31.128,-92.407
-0.182,7.747,1.23,-75.439,32.959,-111.694
0.053,6.699,0.555,-82.642,33.081,-127.563
0.593,5.01,-0.354,-92.773,29.541,-133.606
1.526,3.326,-0.775,-101.074,25.94,-134.888
2.503,1.268,-1.005,-99.609,28.198,-137.817
3.053,-0.703,-1.306,-87.402,36.377,-139.099
2.79,-1.799,-1.785,-76.172,36.865,-134.094
2.493,-3.039,-2.129,-77.454,28.809,-119.385
2.718,-3.876,-2.062,-80.322,21.301,-102.173
2.919,-4.9,-2.086,-79.407,19.958,-87.524
2.737,-5.824,-2.268,-69.458,21.301,-77.393
2.483,-6.216,-2.302,-56.641,21.484,-60.547
2.139,-6.077,-1.991,-49.072,22.583,-47.546
1.483,-5.785,-1.933,-38.33,23.376,-37.231
0.694,-5.417,-2.0,-34.18,20.874,-26.794
-0.096,-5.163,-2.125,-28.503,15.32,-16.418
-0.531,-4.704,-2.024,-15.686,6.409,-7.874
-0.761,-4.12,-1.814,0.671,0.732,-7.69
-0.684,-3.383,-1.498,14.954,-4.639,-9.338
-0.488,-2.598,-1.201,19.531,-9.46,-8.362
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
