ax,ay,az,gx,gy,gz
-0.507,1.445,0.191,24.841,-16.113,14.954
-0.77,2.507,0.053,-1.465,-23.438,6.958
-1.058,3.833,0.335,4.883,-32.898,-3.723
-0.794,6.125,1.239,9.399,-35.4,-18.738
0.067,8.398,2.201,-3.845,-18.066,-48.279
0.689,9.135,2.12,-13.428,-3.845,-64.209
0.392,9.202,1.479,-26.001,3.906,-76.66
0.345,8.867,0.703,-37.292,4.15,-92.468
0.56,8.053,0.211,-53.955,7.263,-106.201
1.0,6.828,-0.191,-73.242,8.118,-121.948
1.55,5.575,-0.546,-82.336,6.958,-130.554
2.206,4.431,-0.603,-88.013,5.188,-142.761
2.737,3.177,-0.569,-80.872,3.052,-150.391
2.967,1.995,-0.297,-79.834,2.991,-152.954
3.086,0.852,-0.244,-81.543,8.057,-152.039
3.024,-0.292,-0.483,-83.191,8.789,-150.513
3.297,-1.077,-0.546,-87.341,8.24,-147.461
3.78,-2.015,-0.412,-98.267,12.329,-139.771
3.9,-3.412,-0.536,-106.384,22.949,-130.859
3.244,-5.034,-1.383,-95.825,28.32,-116.638
2.029,-6.546,-2.254,-84.961,21.729,-105.835
1.541,-7.302,-2.397,-75.5,16.785,-90.21
0.995,-7.872,-2.622,-69.885,13.062,-73.792
0.651,-8.542,-2.804,-58.044,8.911,-59.631
0.708,-8.915,-2.78,-37.537,6.592,-40.588
0.646,-9.168,-2.919,-21.606,4.089,-27.039
0.56,-9.388,-3.168,-6.592,0.183,-11.597
0.636,-9.69,-3.35,6.958,-7.812,7.996
0.861,-9.436,-3.225,18.494,-12.695,30.334
1.014,-8.762,-3.01,36.987,-14.343,53.833
0.703,-7.479,-2.996,50.842,-17.334,65.491
0.641,-6.493,-2.943,61.829,-19.775,75.073
0.617,-5.776,-2.885,71.35,-25.635,85.571
0.818,-4.733,-2.57,75.989,-33.142,95.886
1.163,-3.694,-2.072,79.468,-37.598,103.821
1.723,-2.608,-1.488,85.938,-34.851,106.262
1.971,-1.838,-1.311,91.187,-29.175,108.521
1.895,-1.067,-1.249,93.994,-26.001,110.535
1.771,0.22,-0.833,92.834,-27.588,114.441
1.866,2.254,-0.072,73.914,-31.921,115.356
1.861,2.737,0.211,59.448,-33.813,116.15
1.809,2.187,0.148,55.725,-32.959,115.967
