ax,ay,az,gx,gy,gz
-2.053,2.589,-5.948,1.343,38.574,18.799
-2.225,2.469,-6.714,8.972,20.447,3.784
-2.493,2.661,-7.417,9.155,5.188,-7.568
-2.34,2.895,-7.762,1.343,-7.446,-11.108
-2.479,3.469,-8.235,-11.536,-23.376,-13.245
-3.048,3.694,-9.24,-15.32,-48.584,-18.127
-3.584,3.417,-10.044,-27.039,-88.562,-28.687
-3.345,2.555,-10.747,-34.424,-119.385,-38.269
-2.627,1.689,-10.915,-38.208,-146.484,-43.152
-1.885,0.699,-11.02,-35.034,-172.607,-40.283
-1.263,0.158,-10.992,-28.687,-200.012,-37.354
-0.651,-0.311,-10.733,-15.808,-245.972,-46.204
0.742,-0.584,-8.341,-8.362,-276.611,-56.335
2.536,-0.167,-4.943,4.15,-292.603,-70.984
5.225,-0.067,-0.12,25.574,-290.1,-85.693
8.269,0.22,5.589,24.841,-258.972,-69.519
10.274,0.297,10.456,5.005,-213.867,-41.382
13.174,-0.479,15.695,-6.531,-169.189,-25.391
15.298,-1.684,18.509,-12.573,-103.271,-3.784
15.179,-2.397,19.385,-7.446,-28.503,7.812
13.379,-2.239,18.504,3.174,39.551,5.859
11.307,-1.732,16.552,13.428,108.948,8.972
8.312,-1.058,12.618,11.536,144.653,17.212
6.283,-0.703,9.307,0.793,172.974,25.024
4.929,-0.646,6.513,-15.015,189.697,32.349
3.637,-0.823,3.675,-24.292,203.125,39.734
2.0,-1.115,0.584,-6.836,203.064,41.626
0.507,-1.254,-2.417,9.338,196.106,40.466
-0.024,-0.962,-3.953,17.7,189.148,43.213
-0.699,-0.517,-5.565,26.611,169.312,48.279
-1.421,0.459,-6.704,33.508,138.367,53.101
-2.077,1.785,-7.034,38.025,105.835,53.955
-2.704,4.728,-6.824,36.011,83.008,47.119
-2.948,7.718,-5.972,40.588,65.369,17.334
-2.991,9.757,-5.154,36.56,51.331,-11.902
-2.474,10.977,-4.115,18.005,40.222,-40.649
-1.622,11.188,-3.46,-21.484,36.865,-61.829
-1.263,9.8,-3.584,-50.293,30.334,-67.2
-1.139,8.364,-3.799,-71.167,19.714,-80.2
-0.78,6.278,-4.029,-82.153,13.062,-94.727
-0.622,3.924,-4.603,-80.2,5.188,-105.835
-0.522,1.785,-5.149,-64.697,-10.62,-118.652
0.038,-0.239,-5.426,-57.312,-18.005,-120.3
0.0,-1.311,-6.001,-55.42,-26.855,-110.596
-0.517,-2.096,-6.828,-54.932,-43.762,-99.731
-0.799,-2.814,-7.675,-51.819,-63.965,-92.59
-0.703,-3.579,-8.532,-36.255,-89.172,-95.215
-0.325,-4.546,-9.216,-20.386,-107.117,-93.933
-0.1,-4.962,-9.154,-8.362,-126.648,-81.848
-0.215,-4.78,-8.417,-3.723,-144.775,-68.542
-0.66,-4.685,-7.489,-3.052,-161.316,-56.824
-1.034,-4.704,-6.321,3.052,-188.171,-42.053
-0.727,-3.522,-4.163,15.442,-209.534,-46.021
1.067,-1.814,-0.857,26.367,-219.482,-59.753
2.991,-0.713,3.082,19.653,-210.754,-61.646
4.771,-1.182,6.273,0.122,-196.96,-42.358
6.833,-2.407,8.637,-17.456,-169.312,-10.803
9.709,-4.197,11.073,-14.16,-133.545,-1.526
12.044,-5.493,12.499,-9.705,-78.613,6.714
12.824,-6.718,12.628,-4.944,-19.897,27.832
11.398,-7.001,11.164,5.127,30.518,48.645
9.216,-6.738,8.872,21.606,71.777,68.665
6.575,-6.264,5.646,38.452,93.689,80.566
4.962,-5.446,3.436,50.781,102.783,93.933
3.594,-4.488,1.45,61.218,104.736,110.779
2.445,-3.455,-0.225,67.749,104.492,125.122
1.402,-2.273,-1.742,78.735,101.624,132.935
-0.167,-0.751,-3.689,90.698,88.562,131.226
-1.115,0.134,-4.465,93.689,77.759,130.676
-1.9,1.177,-4.996,97.046,66.101,129.639
-2.613,2.818,-5.249,92.712,54.016,126.709
-3.33,4.144,-5.469,90.332,28.442,108.826
-3.493,5.67,-5.178,82.275,11.169,95.032
-3.426,6.881,-4.67,80.078,-0.488,80.383
-3.421,8.781,-3.756,71.899,-9.766,60.425
-3.196,10.963,-2.728,56.519,-16.785,31.372
-2.78,12.403,-1.747,25.757,-24.963,-4.883
-1.68,13.863,-0.507,-3.723,-26.55,-28.137
-0.928,14.288,0.0,-47.546,-26.489,-45.288
-0.321,13.494,-0.057,-83.984,-30.518,-63.843
0.498,11.523,-0.479,-110.352,-37.659,-81.543
1.522,9.116,-0.727,-127.808,-37.231,-94.91
2.196,6.029,-0.809,-136.292,-28.931,-100.83
2.067,3.618,-1.081,-138.367,-23.804,-106.018
2.086,1.067,-1.287,-131.165,-23.682,-113.586
2.483,-1.388,-1.115,-119.507,-23.865,-115.234
2.842,-3.522,-0.785,-104.431,-21.912,-104.797
3.058,-5.929,-0.493,-93.75,-22.034,-89.417
3.139,-7.417,-0.349,-76.843,-22.522,-73.486
3.268,-8.135,0.172,-57.434,-18.066,-58.716
3.287,-7.843,0.833,-42.847,-8.545,-45.654
2.728,-7.36,1.148,-31.006,5.066,-30.518
1.455,-6.905,1.029,-22.949,9.216,-15.93
0.378,-6.312,0.866,-12.939,8.362,-6.714
-0.11,-5.847,1.072,-0.732,5.737,0.732
-0.057,-5.058,1.689,7.263,8.606,9.216
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
