ax,ay,az,gx,gy,gz
-1.928,-5.316,-7.388,-25.757,-25.024,-48.523
-0.976,-6.412,-7.919,-33.813,-50.781,-34.424
0.23,-7.862,-8.149,-22.583,-58.472,-20.874
0.813,-8.91,-8.752,2.991,-66.528,-3.723
1.11,-9.288,-9.513,20.691,-77.576,12.695
0.924,-9.14,-10.078,36.255,-98.877,33.02
0.799,-9.149,-9.862,51.208,-118.958,55.603
1.383,-8.613,-9.408,67.993,-134.46,75.745
2.306,-7.714,-8.752,93.933,-151.917,96.069
3.196,-5.699,-7.364,109.741,-166.26,109.68
4.173,-3.57,-5.139,119.507,-173.706,119.08
5.465,-0.895,-2.058,119.263,-166.87,125.427
5.905,2.225,1.048,107.788,-152.283,126.038
5.556,4.9,3.369,82.947,-142.334,123.23
5.154,6.594,5.771,56.58,-124.817,116.394
4.57,7.843,7.326,44.25,-107.117,101.562
4.134,9.063,8.613,39.551,-87.524,83.923
3.804,11.039,9.719,24.048,-62.866,64.575
3.302,12.499,9.963,-5.554,-33.936,37.109
2.12,13.154,9.063,-23.804,-18.433,13.855
1.345,12.403,7.656,-41.809,-11.047,-6.714
1.077,10.948,6.211,-52.124,-4.089,-24.353
0.981,9.786,5.005,-54.016,6.47,-45.105
0.809,9.006,3.857,-51.514,17.639,-71.899
0.531,8.207,2.498,-52.429,20.691,-87.952
0.426,7.762,1.756,-58.838,21.301,-102.234
0.455,6.828,1.11,-65.796,18.433,-114.258
0.679,5.192,0.531,-71.533,15.625,-120.85
0.919,3.374,0.105,-66.65,17.09,-130.92
1.0,1.804,-0.148,-61.401,16.418,-136.658
1.287,0.943,-0.086,-63.599,13.245,-138.916
1.814,-0.579,-0.01,-70.129,12.939,-134.827
2.187,-2.488,-0.043,-75.806,15.198,-125.854
2.086,-4.484,-0.1,-81.726,18.494,-106.628
1.23,-7.58,-0.397,-75.012,19.714,-92.834
1.029,-9.508,-0.359,-57.251,21.118,-80.078
1.302,-10.389,0.172,-41.626,23.987,-61.89
1.369,-10.781,0.79,-34.241,26.794,-38.452
1.043,-11.446,1.139,-23.682,30.09,-5.798
0.459,-12.212,1.517,-13.306,31.738,19.043
0.751,-12.422,1.971,1.221,34.729,45.593
1.459,-12.039,2.402,15.076,41.687,65.796
2.01,-11.13,2.704,33.813,52.856,79.956
2.421,-9.633,2.842,47.119,69.031,107.91
3.254,-6.977,2.412,52.612,75.867,122.498
3.862,-4.981,1.9,51.331,81.726,134.338
3.881,-3.249,1.077,51.819,85.815,142.883
3.78,-1.345,0.201,57.434,89.844,145.752
3.67,0.967,-0.622,63.965,96.191,136.414
3.263,3.775,-1.881,57.739,96.313,128.54
2.68,4.886,-2.972,48.767,93.506,117.676
1.799,5.359,-3.871,42.725,87.585,105.957
0.876,5.661,-4.503,33.203,77.759,99.243
0.158,5.733,-5.082,22.766,59.937,89.722
-0.488,5.57,-5.613,20.569,45.654,78.674
-0.684,5.374,-5.56,21.912,34.241,67.2
-0.809,5.508,-5.02,25.146,26.611,51.208
-0.651,5.977,-4.177,22.827,22.766,35.4
-0.493,6.211,-3.455,6.958,14.587,21.24
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
