ax,ay,az,gx,gy,gz
0.732,3.948,-4.015,88.318,12.207,93.506
0.368,6.01,-4.144,88.684,1.221,75.562
-0.129,7.843,-3.579,86.426,-12.329,50.537
-0.124,10.235,-2.33,71.472,-15.137,20.874
0.301,12.571,-1.139,46.57,-9.094,-15.869
0.335,13.709,-0.737,3.54,-6.775,-53.162
-0.11,14.265,-0.354,-33.447,-4.211,-75.073
-0.115,14.341,-0.292,-68.909,0.854,-98.083
0.0,13.537,-0.756,-102.6,2.747,-122.375
0.062,12.011,-1.603,-123.291,1.77,-149.292
0.565,9.551,-2.33,-138.611,-1.953,-184.998
1.263,6.938,-2.694,-151.367,-4.822,-201.233
1.957,3.699,-2.799,-162.292,-5.737,-204.346
2.45,0.699,-3.182,-158.325,-8.667,-200.317
2.996,-2.756,-3.445,-151.001,-18.982,-193.542
4.211,-6.537,-3.407,-138.0,-23.743,-169.556
5.091,-11.092,-3.819,-117.981,-27.161,-146.057
5.067,-14.092,-4.149,-81.299,-31.128,-122.009
5.101,-15.537,-4.063,-47.119,-29.48,-88.501
4.752,-15.695,-4.23,-22.461,-24.414,-47.485
3.268,-15.083,-4.962,-1.099,-23.376,-3.174
0.435,-12.858,-6.206,28.809,-42.847,35.461
-0.727,-11.293,-6.651,46.631,-62.927,55.664
-0.885,-10.145,-6.613,61.035,-81.97,78.674
-0.187,-8.972,-6.115,71.289,-93.872,104.492
0.431,-7.671,-5.455,90.271,-104.004,133.179
0.574,-4.948,-4.575,109.619,-111.267,140.137
0.675,-2.546,-3.594,127.808,-120.972,138.855
1.316,0.201,-1.78,132.996,-126.404,140.259
2.263,3.196,0.335,120.85,-124.207,139.526
2.847,5.871,2.522,98.389,-112.61,130.31
2.991,8.967,4.876,83.13,-97.717,110.657
2.699,10.719,6.063,61.218,-80.017,88.562
2.273,11.977,6.709,34.729,-62.256,67.932
1.885,12.925,6.996,10.742,-47.058,46.082
1.756,13.7,6.958,-16.296,-29.419,5.249
2.048,13.03,6.192,-38.269,-15.32,-21.24
2.048,11.743,5.02,-59.57,-3.967,-42.725
1.991,10.159,3.785,-68.726,6.042,-63.232
1.713,8.848,2.766,-69.885,13.977,-81.665
1.589,8.096,1.991,-75.195,20.874,-106.567
1.675,6.283,0.708,-86.121,19.592,-121.765
1.656,4.345,-0.144,-89.966,17.822,-130.432
1.498,2.483,-0.694,-84.9,16.968,-134.155
1.378,1.134,-1.019,-81.665,13.0,-134.766
1.464,-0.359,-1.12,-81.482,9.338,-131.775
1.45,-2.536,-1.22,-80.078,8.606,-125.061
1.445,-3.929,-1.33,-77.637,8.301,-115.356
1.483,-5.144,-1.388,-74.036,7.751,-104.004
1.325,-6.302,-1.402,-65.674,8.301,-94.177
1.225,-7.02,-1.11,-52.49,11.597,-77.576
1.105,-6.915,-0.469,-45.715,18.616,-64.27
0.895,-6.991,-0.33,-45.471,25.452,-43.457
0.55,-7.183,-0.493,-44.434,30.64,-19.836
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
