ax,ay,az,gx,gy,gz
-1.0963736,0.48273167,0.15636507,-0.5545505,-10.820099,-8.045528
-1.3491995,0.48524186,0.27101967,-6.8336463,-12.556774,-14.594316
-0.9099526,0.35783634,0.9335035,-7.386698,-10.116298,-20.509441
-0.34274492,0.0628832,1.5566604,-6.80364,-1.6928842,-23.452656
0.035443913,-0.38103643,1.8972808,-3.9198594,7.7334757,-24.545612
0.2821159,-0.8453951,2.03939,2.4155672,17.827122,-27.059137
0.3593148,-1.1830314,1.9381409,8.090322,26.189352,-27.857677
0.33100048,-1.4312172,1.7522637,10.141648,32.26336,-25.95225
0.29378766,-1.6942679,1.4772419,10.3532715,35.848,-22.279737
0.31988814,-2.0169666,1.1839318,10.243631,38.52577,-17.156185
0.40785718,-2.374214,0.92799085,10.364178,40.044685,-9.242319
0.553296,-2.6392026,0.6192187,11.790256,40.901333,-1.4524082
0.6754459,-2.793587,0.26847312,15.150891,40.665855,4.9905987
0.7738331,-2.8496974,-0.116311535,19.182095,38.7997,10.829282
0.842914,-2.7831948,-0.505607,22.89598,35.521736,16.622295
0.8799816,-2.5838904,-0.88374484,25.721046,30.675077,22.304651
0.8913003,-2.24221,-1.2361304,28.09054,24.60341,27.029678
0.89182806,-1.8144565,-1.4830849,29.841022,17.890142,30.077509
0.8703476,-1.298311,-1.6159722,31.227446,11.129301,30.776615
0.83730274,-0.6805163,-1.6013577,31.511316,5.203553,29.144833
0.7959106,0.028973045,-1.4261091,29.457283,0.82429224,25.614191
0.73400515,0.7672248,-1.1042541,25.242662,-1.9709653,21.396305
0.6276528,1.3625742,-0.7946798,20.055891,-3.5277166,16.129877
0.5159092,1.7665999,-0.53344965,14.5982485,-4.4862003,9.8670025
0.4513304,1.9606525,-0.32655394,9.574259,-4.7103124,3.071704
0.4293938,1.8915818,-0.18452433,5.338216,-4.628151,-3.0387952
0.5274902,1.4879774,-0.09282547,1.9621167,-4.1394196,-7.4970307
0.64913374,0.90600985,-0.05925974,-0.47149894,-3.0119417,-9.9897785
0.7161785,0.22982013,-0.112561665,-1.3501102,-1.8965893,-10.563615
0.7487526,-0.44307625,-0.21787968,-0.9968984,-1.0385948,-8.974051
0.77067137,-1.039862,-0.35173768,0.720284,-0.9172245,-4.894141
0.80413115,-1.4453751,-0.48541203,3.1247537,-1.3020935,0.09809027
0.8485488,-1.7052543,-0.61174077,6.375482,-2.1781821,5.824644
0.9012895,-1.8068285,-0.74131227,9.900175,-3.2852383,11.6125555
0.94694847,-1.7422523,-0.88366985,13.922094,-4.9306364,16.639359
0.99169546,-1.5420392,-1.0228596,18.551517,-7.2295804,20.248102
1.0085001,-1.1400238,-1.143972,22.397577,-10.051825,22.591799
0.9854606,-0.536959,-1.2162122,24.525826,-13.359957,22.810429
0.9145667,0.15270343,-1.2421827,24.390879,-16.675726,21.54346
0.83022535,0.83861446,-1.2161778,21.57298,-19.52523,18.98366
0.739341,1.427984,-1.1244986,16.65734,-21.24691,14.736314
0.6397149,1.8043436,-0.9940536,11.177487,-22.52091,9.450166
0.60316944,1.9716053,-0.88623405,5.770727,-23.404293,3.6099775
0.6532827,1.8652788,-0.79741484,1.7266997,-24.671267,-2.7129164
0.808782,1.4940141,-0.671187,-0.6174422,-25.459093,-8.227841
0.9925123,0.99594337,-0.51998365,-1.6437304,-24.898886,-11.201847
1.1207905,0.5408869,-0.4014564,-2.8531098,-23.668707,-12.195084
1.1888789,0.124686494,-0.3304099,-4.107584,-22.291727,-11.7726345
1.2077372,-0.2583873,-0.30052927,-4.425358,-20.949032,-10.624178
1.1994056,-0.54524034,-0.2890516,-4.020797,-19.528975,-8.869205
1.1660693,-0.68921405,-0.27930266,-3.8296037,-17.993372,-6.6061993
1.1190805,-0.658867,-0.26398835,-4.26441,-16.291508,-4.215184
1.0594795,-0.54989725,-0.25516924,-4.8987985,-14.656377,-2.1597352
1.0081724,-0.41638422,-0.23633692,-5.5195203,-13.186254,-0.73985934
0.97460836,-0.30333996,-0.2101218,-5.9655004,-11.764737,0.19049294
0.942445,-0.29332933,-0.20318748,-5.7686305,-11.376485,0.18420641
0.91145426,-0.2836837,-0.196506,-5.578939,-11.002388,0.1781491
0.8815833,-0.27438655,-0.19006594,-5.396101,-10.6418085,0.17231064
0.85278237,-0.26542246,-0.18385658,-5.2198133,-10.294146,0.16668133
0.8250049,-0.25677693,-0.17786784,-5.0497894,-9.958837,0.16125205
0.7982068,-0.24843621,-0.17209029,-4.8857603,-9.635351,0.15601422
0.7723469,-0.2403875,-0.166515,-4.7274737,-9.323189,0.15095975
0.74738604,-0.23261862,-0.16113353,-4.5746903,-9.021881,0.146081
0.7232874,-0.22511809,-0.15593795,-4.4271846,-8.73098,0.14137077
0.70001614,-0.21787506,-0.15092076,-4.2847433,-8.4500675,0.13682228
0.6775393,-0.2108793,-0.14607483,-4.147164,-8.178743,0.13242903
0.6558255,-0.20412104,-0.14139344,-4.0142555,-7.9166307,0.12818494
0.63484514,-0.19759105,-0.13687015,-3.8858364,-7.6633716,0.12408421
0.61456996,-0.19128054,-0.1324989,-3.761734,-7.4186254,0.120121315
0.59497327,-0.18518122,-0.12827392,-3.641784,-7.1820683,0.116291024
0.5760294,-0.17928508,-0.12418971,-3.5258305,-6.953393,0.112588346
0.5577142,-0.17358461,-0.12024102,-3.4137244,-6.7323055,0.10900853
0.54000443,-0.16807257,-0.11642287,-3.3053243,-6.5185266,0.10554705
0.522878,-0.16274208,-0.112730466,-3.2004945,-6.311789,0.102199584
0.50631374,-0.15758656,-0.109159276,-3.099106,-6.111838,0.098962
0.4902915,-0.15259975,-0.10570495,-3.0010352,-5.9184294,0.09583036
0.47479197,-0.14777564,-0.10236331,-2.906164,-5.731331,0.092800885
0.45979667,-0.14310846,-0.09913038,-2.814379,-5.5503187,0.08986997
0.4452879,-0.1385927,-0.09600235,-2.7255719,-5.37518,0.08703414
0.43124872,-0.1342231,-0.09297555,-2.6396391,-5.2057095,0.0842901
0.41766286,-0.1299946,-0.09004649,-2.5564811,-5.041711,0.08163466
0.40451467,-0.12590232,-0.087211795,-2.4760022,-4.882996,0.07906477
0.39178923,-0.12194162,-0.08446824,-2.3981106,-4.729384,0.07657751
0.3794721,-0.118108004,-0.08181271,-2.3227186,-4.580701,0.07417005
0.36754948,-0.11439717,-0.079242244,-2.249741,-4.43678,0.07183971
0.35600808,-0.11080499,-0.07675396,-2.1790972,-4.297461,0.06958387
0.34483507,-0.107327476,-0.074345104,-2.110708,-4.162589,0.067400046
0.3340182,-0.1039608,-0.07201303,-2.044499,-4.032016,0.065285824
0.3235456,-0.10070127,-0.069755174,-1.9803969,-3.9055984,0.06323889
0.31340584,-0.09754535,-0.067569084,-1.9183322,-3.783199,0.061257016
0.30358797,-0.094489604,-0.06545239,-1.8582379,-3.664685,0.059338056
0.2940814,-0.09153075,-0.0634028,-1.8000487,-3.5499287,0.057479937
0.28487587,-0.0886656,-0.06141813,-1.7437025,-3.4388068,0.055680666
0.27596158,-0.08589109,-0.05949625,-1.6891389,-3.3312001,0.053938318
0.26732907,-0.08320428,-0.057635106,-1.6362998,-3.2269948,0.052251037
0.2589691,-0.080602296,-0.055832732,-1.5851293,-3.1260798,0.050617035
0.2508729,-0.07808241,-0.054087225,-1.535573,-3.0283484,0.049034584
0.2430319,-0.07564196,-0.052396737,-1.487579,-2.933698,0.04750202
0.2354379,-0.073278375,-0.050759498,-1.4410967,-2.8420289,0.046017725
0.22808293,-0.07098919,-0.04917379,-1.3960774,-2.753245,0.04458015
0.22095929,-0.06877201,-0.047637966,-1.3524742,-2.667254,0.043187793
