ax,ay,az,gx,gy,gz
-0.67455155,-0.104546405,-7.3909764,29.019354,-56.652336,23.249302
0.0118236635,-0.3806369,-7.738332,25.429007,-63.277447,8.59494
1.1507174,-0.7090908,-7.721097,20.64324,-59.39705,6.4879174
1.7206987,-0.889247,-7.8236475,18.040142,-53.8213,6.3939314
1.7249017,-0.9574668,-8.068182,20.971714,-53.751392,3.5185778
1.4553349,-0.7910722,-8.295369,21.975788,-58.118275,1.7343354
1.2851561,-0.661751,-8.411068,19.04834,-66.08741,1.8526084
1.3136626,-0.8160997,-8.417217,14.49166,-74.57218,3.9898539
1.4790782,-1.1537015,-8.257998,11.558636,-81.28451,7.48
1.6106869,-1.355945,-7.9656305,11.002969,-85.80619,9.988461
1.585905,-1.3035294,-7.5060973,10.523164,-90.0085,11.840678
1.4620248,-1.2143153,-6.9760747,8.212607,-94.64798,13.828345
1.3935608,-1.1749283,-6.3627157,5.1518054,-99.19983,16.203568
1.4315807,-1.1589432,-5.6691375,2.0844872,-102.735855,19.09729
1.5160909,-1.092211,-4.936162,-0.3238438,-104.52126,21.936947
1.5302004,-0.9486992,-4.1878886,-1.6700572,-104.674515,23.637917
1.4986511,-0.8123358,-3.4329915,-2.215838,-103.66169,24.711752
1.4649433,-0.62401485,-2.6633499,-2.2998672,-101.86078,24.91954
1.4537947,-0.39906138,-1.9274855,-2.4073272,-99.33712,24.585304
1.4655771,-0.16509028,-1.2719138,-3.3183548,-95.96098,24.02073
1.4742512,0.04899433,-0.7471435,-4.156761,-92.1033,23.06781
1.4975907,0.28309044,-0.3115341,-4.2387667,-87.46621,21.389294
1.5362939,0.548941,0.033923555,-4.0810337,-82.22892,19.082138
1.5577251,0.8512774,0.2669039,-4.0249324,-76.65035,16.004255
1.549683,1.1571692,0.3741837,-4.4357467,-71.29188,12.067564
1.4869795,1.4469384,0.3257637,-5.0507092,-66.59615,7.6347685
1.3846787,1.7310623,0.18740596,-6.0187607,-62.7923,2.4128926
1.2782525,1.9884264,-0.009300178,-7.609702,-60.093784,-3.129048
1.2217848,2.1517065,-0.20320398,-10.123311,-58.268143,-8.329959
1.2051654,2.1830764,-0.37437567,-12.869611,-56.72342,-13.011801
1.1845753,2.0589943,-0.5279266,-15.046395,-55.784733,-17.434921
1.1581854,1.87923,-0.6431204,-17.156067,-55.248383,-21.603035
1.14285,1.6247694,-0.7022261,-18.936584,-54.864407,-25.19633
1.1581448,1.3165582,-0.69358766,-20.749355,-54.451,-27.664364
1.1962365,0.94468987,-0.63449657,-22.117117,-53.701675,-28.922415
1.2422367,0.5198536,-0.5495079,-22.649378,-52.640488,-29.381035
1.2613281,0.16118969,-0.45379812,-22.697664,-51.03272,-29.038515
1.2413594,-0.106995314,-0.35241678,-22.399115,-49.139225,-28.199656
1.2029145,-0.3081706,-0.26175433,-21.970598,-47.000828,-26.916235
1.170301,-0.45420793,-0.1804411,-21.560015,-44.264507,-25.150904
1.1378136,-0.535301,-0.117934175,-21.24347,-41.18129,-23.250292
1.1043885,-0.5636284,-0.06925953,-20.783585,-37.95694,-21.435423
1.0662899,-0.5616147,-0.034792744,-19.851362,-34.68205,-19.920057
1.0239552,-0.540466,-0.014307934,-18.709892,-31.605303,-18.601788
0.98811585,-0.5215492,-0.013807143,-18.055029,-30.499088,-17.950708
0.95377886,-0.5034254,-0.013327346,-17.427618,-29.439247,-17.326921
0.9208583,-0.4860492,-0.01286734,-16.826086,-28.423124,-16.728867
0.88927484,-0.46937877,-0.012426018,-16.24899,-27.44827,-16.155104
0.85895556,-0.45337558,-0.01200236,-15.694989,-26.51244,-15.604304
0.8298331,-0.4380041,-0.011595426,-15.162858,-25.613548,-15.075248
0.8018451,-0.42323142,-0.011204344,-14.651456,-24.749672,-14.566801
0.7749337,-0.409027,-0.010828306,-14.159727,-23.91903,-14.077913
0.7490454,-0.3953626,-0.0104665635,-13.68669,-23.119963,-13.60761
0.7241301,-0.38221174,-0.010118417,-13.231434,-22.350931,-13.154984
0.7001414,-0.36955,-0.009783218,-12.793108,-21.610497,-12.719191
0.67703575,-0.3573543,-0.009460358,-12.370917,-20.89732,-12.299439
0.6547726,-0.34560332,-0.00914927,-11.964121,-20.210148,-11.894993
0.6333138,-0.3342769,-0.008849422,-11.572022,-19.547802,-11.50516
0.61262375,-0.32335624,-0.008560316,-11.19397,-18.909185,-11.1292925
0.5926689,-0.31282362,-0.008281482,-10.829351,-18.29326,-10.76678
0.5734176,-0.3026624,-0.008012481,-10.477589,-17.699053,-10.41705
0.5548403,-0.29285687,-0.0077528963,-10.138141,-17.125648,-10.079563
0.53690886,-0.28339228,-0.0075023365,-9.810494,-16.572178,-9.75381
0.5195969,-0.27425462,-0.007260432,-9.494166,-16.037827,-9.439309
0.5028792,-0.26543066,-0.007026833,-9.188698,-15.521821,-9.135607
0.48673218,-0.25690794,-0.0068012075,-8.893658,-15.023429,-8.842271
0.4711334,-0.24867454,-0.0065832427,-8.608633,-14.541958,-8.558893
0.45606148,-0.24071924,-0.0063726394,-8.333237,-14.07675,-8.285088
0.44149616,-0.23303136,-0.0061691157,-8.067097,-13.627178,-8.020486
0.42741823,-0.22560072,-0.0059724017,-7.809862,-13.19265,-7.764737
0.41380933,-0.21841764,-0.005782242,-7.5611978,-12.772599,-7.51751
0.40065202,-0.21147293,-0.005598392,-7.320785,-12.366487,-7.278486
0.38792962,-0.20475776,-0.005420619,-7.0883193,-11.973799,-7.0473633
0.3756263,-0.1982638,-0.005248702,-6.86351,-11.594045,-6.8238535
0.36372682,-0.19198298,-0.0050824285,-6.646081,-11.226757,-6.6076803
0.35221672,-0.1859077,-0.0049215956,-6.4357667,-10.871488,-6.398581
0.34108213,-0.18003063,-0.0047660097,-6.2323136,-10.527808,-6.1963034
0.33030978,-0.17434475,-0.0046154857,-6.035479,-10.19531,-6.0006065
0.31988695,-0.16884334,-0.004469845,-5.8450313,-9.873599,-5.811259
0.30980143,-0.16352,-0.004328918,-5.660747,-9.562302,-5.62804
0.3000416,-0.15836853,-0.004192542,-5.4824133,-9.261055,-5.450736
0.29059616,-0.15338303,-0.0040605594,-5.309825,-8.969513,-5.2791452
0.28145444,-0.14855783,-0.0039328197,-5.1427855,-8.6873455,-5.113071
0.27260602,-0.14388745,-0.0038091794,-4.981106,-8.414231,-4.9523253
0.26404104,-0.13936664,-0.0036894989,-4.8246045,-8.149865,-4.7967286
0.25574988,-0.1349904,-0.0035736451,-4.6731076,-7.8939514,-4.6461067
0.2477234,-0.13075384,-0.0034614895,-4.5264463,-7.646207,-4.500293
0.23995276,-0.12665233,-0.0033529084,-4.3844595,-7.4063587,-4.359126
0.23242941,-0.12268134,-0.0032477833,-4.2469916,-7.174144,-4.2224526
0.2251452,-0.118836574,-0.0031459995,-4.113893,-6.9493103,-4.090123
0.21809222,-0.115113854,-0.0030474467,-3.9850197,-6.731613,-3.9619946
0.21126285,-0.11150917,-0.0029520188,-3.8602324,-6.5208187,-3.8379283
0.20464978,-0.10801864,-0.0028596127,-3.739397,-6.3167,-3.717791
0.19824591,-0.10463854,-0.0027701303,-3.6223845,-6.119039,-3.6014547
0.19204445,-0.101365276,-0.002683476,-3.5090704,-5.9276257,-3.4887953
0.1860388,-0.09819537,-0.002599558,-3.3993342,-5.742256,-3.3796933
0.18022265,-0.09512547,-0.0025182876,-3.29306,-5.5627346,-3.274033
0.17458981,-0.092152335,-0.002439579,-3.1901362,-5.3888726,-3.1717038
0.16913441,-0.08927285,-0.0023633495,-3.090454,-5.2204866,-3.0725977
0.16385072,-0.08648401,-0.0022895194,-2.9939096,-5.0574007,-2.976611
0.15873323,-0.08378288,-0.0022180118,-2.9004018,-4.8994446,-2.8836436
0.1537766,-0.08116666,-0.0021487516,-2.8098335,-4.746454,-2.7935984
0.14897569,-0.07863264,-0.0020816675,-2.7221103,-4.5982695,-2.7063823
0.14432551,-0.07617817,-0.0020166896,-2.6371415,-4.4547377,-2.6219044
0.13982126,-0.073800735,-0.0019537508,-2.5548391,-4.3157096,-2.5400774
0.1354583,-0.071497865,-0.0018927864,-2.4751182,-4.1810427,-2.460817
0.13123211,-0.06926719,-0.0018337329,-2.3978965,-4.0505977,-2.3840415
0.12713836,-0.06710642,-0.0017765302,-2.3230948,-3.9242406,-2.309672
0.12317285,-0.065013334,-0.0017211192,-2.250636,-3.8018413,-2.2376323
0.1193315,-0.062985785,-0.0016674433,-2.1804464,-3.6832745,-2.1678479
0.11561039,-0.0610217,-0.0016154475,-2.1124537,-3.5684192,-2.100248
0.11200572,-0.05911907,-0.0015650786,-2.0465884,-3.4571576,-2.0347633
0.108513795,-0.057275962,-0.0015162852,-1.9827833,-3.3493764,-1.971327
0.10513107,-0.055490483,-0.0014690177,-1.9209735,-3.2449653,-1.9098743
0.10185409,-0.053760823,-0.001423228,-1.8610961,-3.1438186,-1.8503429
0.098679535,-0.05208522,-0.0013788692,-1.80309,-3.0458329,-1.7926719
0.09560417,-0.050461978,-0.0013358964,-1.7468964,-2.950909,-1.7368029
0.09262487,-0.04888944,-0.0012942661,-1.6924582,-2.8589504,-1.6826792
0.08973862,-0.047366012,-0.001253936,-1.6397201,-2.7698636,-1.6302459
0.086942494,-0.045890156,-0.0012148651,-1.5886288,-2.6835587,-1.5794498
0.084233664,-0.044460375,-0.0011770141,-1.5391325,-2.5999482,-1.5302395
0.08160938,-0.043075223,-0.0011403445,-1.4911811,-2.5189474,-1.4825653
0.07906701,-0.0417333,-0.0011048192,-1.4447263,-2.4404745,-1.4363788
0.07660396,-0.040433247,-0.0010704026,-1.399721,-2.3644502,-1.3916336
0.074217744,-0.039173756,-0.0010370596,-1.3561199,-2.290798,-1.3482844
0.07190598,-0.03795355,-0.0010047568,-1.3138788,-2.2194428,-1.3062873
0.06966631,-0.036771405,-0.0009734615,-1.2729552,-2.1503136,-1.2656002
0.067496486,-0.03562613,-0.0009431421,-1.2333078,-2.0833402,-1.2261819
0.06539433,-0.03451656,-0.00091376825,-1.1948968,-2.018455,-1.1879928
0.06335771,-0.03344159,-0.0008853102,-1.1576834,-1.955593,-1.1509944
0.06138459,-0.03240013,-0.0008577393,-1.1216301,-1.8946908,-1.1151494
0.059472974,-0.03139114,-0.0008310279,-1.0867008,-1.835687,-1.0804219
0.057620943,-0.030413598,-0.00080514915,-1.0528601,-1.7785225,-1.0467768
