ax,ay,az,gx,gy,gz
-5.9818726,4.337312,-7.773707,-17.81107,-3.329121,-4.494586
-6.4240947,3.8802316,-9.02886,-16.76948,-19.540852,-5.697386
-6.50227,3.2170203,-9.857826,-11.488148,-29.577463,-3.6196275
-6.741381,2.633394,-10.543085,-2.953138,-37.57742,-1.8668962
-7.0133934,2.4310756,-11.007334,7.251651,-45.324825,-3.389344
-7.1467133,2.4959352,-11.270739,18.202673,-54.712437,-8.919132
-7.1327667,2.6847725,-11.394093,27.661255,-63.690346,-15.146589
-7.042191,2.827306,-11.505295,35.974007,-72.14647,-20.951515
-6.902987,2.9166498,-11.628817,43.354725,-80.785286,-26.350006
-6.6721497,2.931049,-11.734984,49.93722,-89.281265,-30.816011
-6.40285,2.887485,-11.853072,55.794422,-97.98718,-33.651764
-6.1699047,2.7463243,-11.992376,62.035408,-107.15559,-35.732212
-5.894701,2.5365028,-12.170716,68.99622,-115.9158,-38.328224
-5.5538173,2.3464553,-12.301664,76.041504,-124.24989,-40.610275
-5.1733494,2.1650198,-12.371747,82.54895,-132.74716,-41.221413
-4.7888594,1.9872016,-12.383739,88.557396,-142.55933,-40.207268
-4.275383,1.8565922,-12.237709,94.31666,-153.2674,-39.075054
-3.4566407,1.810755,-11.820724,99.37707,-163.87863,-37.40073
-2.3439796,1.7970037,-11.157497,103.357506,-172.18123,-34.29253
-1.1198065,1.8043115,-10.3086815,106.05619,-176.79825,-29.798525
0.012860565,1.8091847,-9.400687,107.56936,-177.96364,-24.687988
1.1249138,1.8466429,-8.4574175,108.71148,-177.18524,-20.549822
2.3208642,1.9365854,-7.499826,109.312096,-174.04846,-17.297525
3.5709515,2.0691292,-6.554037,109.67808,-168.17729,-14.859921
4.838782,2.2638202,-5.6317716,109.6984,-159.28021,-12.863061
6.0193133,2.5391603,-4.7630053,108.90321,-147.56903,-10.356828
6.9561787,2.8630784,-4.011412,106.68738,-133.3695,-7.271396
7.5533643,3.198853,-3.439898,103.67147,-118.61148,-4.3517237
7.9293394,3.5107281,-3.006981,99.808876,-103.87836,-1.4123662
8.117134,3.7913132,-2.708007,94.99119,-89.651596,1.7409372
8.1684,4.0286493,-2.5217226,89.18659,-75.395355,4.469603
8.1214695,4.2007785,-2.4691634,83.02205,-60.87137,6.624676
8.009953,4.3409796,-2.5007732,76.511765,-45.93124,8.150037
7.782395,4.4461503,-2.635663,70.55069,-31.593472,8.4566
7.4389215,4.5262227,-2.8260074,64.843216,-18.920294,7.656495
7.0487075,4.6067014,-3.0336041,58.524464,-8.786563,6.2735934
6.6523404,4.66738,-3.2680042,51.661617,-0.63998413,4.884356
6.3055573,4.689116,-3.5176458,44.61471,6.372853,3.7734747
5.9655643,4.6868205,-3.7938497,38.019806,12.509031,2.9934785
5.5712185,4.6836095,-4.0799456,32.232956,17.338743,2.1363602
5.147568,4.67812,-4.360505,27.105947,20.783684,0.8612926
4.7394433,4.6740623,-4.620839,22.575867,22.774897,-0.9233024
4.3655148,4.6732426,-4.856749,18.430653,24.176672,-3.1086261
4.0128984,4.665192,-5.082242,14.768924,25.23127,-5.5736547
3.6595674,4.6653605,-5.2945843,11.49193,25.649136,-8.168566
3.3022492,4.6779966,-5.499519,8.451976,24.952951,-10.832855
2.931125,4.695255,-5.700142,5.6217027,23.419651,-13.665344
2.5680094,4.715242,-5.8978643,2.977555,21.07568,-16.799366
2.2155073,4.7354174,-6.1003895,0.651481,18.111763,-20.26573
1.8788521,4.7487955,-6.3049903,-1.4027426,14.5653925,-23.957397
1.5558171,4.7585835,-6.510828,-3.3934033,10.152602,-27.575277
1.2121171,4.7617188,-6.7360334,-5.215291,4.8525724,-31.269045
0.85415536,4.7649016,-6.970116,-6.8068323,-1.4959108,-35.393326
0.50692093,4.7649384,-7.206211,-8.121346,-8.872614,-40.117813
0.20304361,4.761495,-7.4310083,-9.184765,-16.98191,-45.3662
-0.060440943,4.738576,-7.644527,-10.0559435,-25.735369,-50.638924
-0.27732477,4.703602,-7.8438153,-10.572247,-35.590614,-56.197094
-0.32814482,4.671465,-7.9590507,-10.823869,-45.967926,-62.304543
-0.15750721,4.625941,-7.96934,-10.980719,-56.144974,-68.701675
0.28559718,4.527638,-7.8820014,-10.817864,-65.198944,-74.974884
1.0210092,4.3878784,-7.6743097,-10.337618,-71.929306,-80.26359
2.0934324,4.1798253,-7.2692657,-10.530655,-76.52379,-83.348236
3.2266235,3.8427846,-6.831119,-11.523771,-79.08659,-83.31158
4.277464,3.3769643,-6.445769,-12.6656,-79.850655,-80.84571
5.2053876,2.8307748,-6.125835,-13.269427,-78.90555,-76.86402
6.0002356,2.2555797,-5.852303,-12.437692,-75.16473,-72.05405
6.5719647,1.7077324,-5.637764,-10.360799,-69.69462,-66.959435
6.95352,1.2313664,-5.4742346,-7.2567077,-63.41932,-61.54876
7.1884007,0.8264875,-5.3562512,-3.3388596,-56.647358,-55.943733
7.3089204,0.48824772,-5.2944145,1.2205456,-49.681625,-50.092274
7.3397756,0.21613716,-5.2909946,6.244112,-42.72837,-43.912994
7.2620425,0.004628387,-5.328609,12.005314,-35.813705,-37.70007
7.097554,-0.1385078,-5.414834,18.384281,-29.20128,-31.754534
6.8914185,-0.22761197,-5.524765,25.133848,-23.058283,-26.000963
6.6588497,-0.23510051,-5.6335263,32.12012,-17.50751,-20.51359
6.429049,-0.17225058,-5.734773,38.85073,-12.534342,-15.42596
6.197831,-0.050944015,-5.820641,45.16494,-7.88161,-10.650961
5.9599223,0.10374715,-5.9020414,51.01545,-3.690606,-6.208641
5.724148,0.28484774,-5.9699144,56.346794,0.042779863,-2.1126902
5.4899507,0.49372777,-6.014467,60.972546,3.3301203,1.7679653
5.243437,0.71637213,-6.0369453,64.649025,5.8537107,5.463714
4.9895024,0.95954615,-6.026622,67.54994,7.7964354,8.917401
4.7401147,1.2152241,-5.9925323,69.677895,9.244679,11.899095
4.5062428,1.4684199,-5.9411774,71.171524,10.36439,14.370632
4.3057194,1.7243141,-5.8737464,72.11869,11.323599,16.43509
4.132489,1.9923115,-5.7872763,72.58903,12.08923,18.24956
3.9807315,2.2948759,-5.6615114,71.99273,12.433883,19.77048
3.8626072,2.6565244,-5.4890327,70.27627,12.566543,20.82748
3.7856154,3.0101118,-5.3220434,67.71883,12.704544,21.57145
3.7365499,3.3670335,-5.161553,64.613365,12.845805,21.926418
3.7248793,3.7479928,-4.9754252,60.54531,13.23689,21.83418
3.7525334,4.1991353,-4.723271,55.476704,14.072354,20.978453
3.823198,4.6909575,-4.428016,49.07264,15.750664,18.829641
3.9287703,5.1771083,-4.1353745,41.53618,18.099718,16.06887
4.040422,5.638603,-3.8725033,32.901405,20.9645,13.124238
4.126407,6.071766,-3.6544268,22.829073,24.137762,9.688518
4.185013,6.4541535,-3.5220764,11.788438,27.443697,5.6551723
4.230988,6.7359424,-3.5068216,0.20494796,30.941092,0.75319093
4.26386,6.8974595,-3.5953498,-11.192942,34.33404,-4.5188646
4.2900124,6.9374633,-3.767344,-22.153913,37.635468,-9.867117
4.3138423,6.839441,-4.032873,-32.114323,40.512794,-15.214892
4.3456044,6.645606,-4.337738,-40.728638,42.579224,-20.27069
4.3406525,6.3655124,-4.639738,-48.48546,43.567017,-24.990454
4.3236203,6.019548,-4.9310694,-55.396667,43.67789,-29.260996
4.305906,5.6003633,-5.2244625,-61.323353,43.33575,-32.54605
4.2899632,5.1219025,-5.5114617,-65.5691,42.669147,-33.890217
4.2052274,4.633202,-5.7490287,-68.51823,41.762558,-34.295334
4.0725493,4.159691,-5.9391284,-70.12784,40.730152,-34.17176
3.8993936,3.7218788,-6.08179,-70.63048,39.585392,-33.884533
3.7078016,3.3252509,-6.173423,-70.22273,38.350857,-33.775738
3.5223627,2.9605896,-6.219218,-68.65343,36.966557,-33.714096
3.3473408,2.67135,-6.186285,-66.520454,35.50375,-33.568768
3.1704671,2.433963,-6.10977,-63.997528,33.89263,-33.3709
3.0061386,2.243371,-5.9994235,-61.31945,32.223442,-33.16207
2.8653064,2.0845463,-5.8673105,-58.527256,30.539822,-32.895096
2.7583916,1.9540924,-5.711743,-55.807087,28.988735,-32.442444
2.685858,1.8311428,-5.539563,-53.177647,27.558384,-31.63871
2.6494331,1.6935544,-5.363507,-50.413513,26.439003,-30.500591
