ax,ay,az,gx,gy,gz
-0.94364494,-0.05636415,-5.059137,48.384983,-7.269157,-19.364721
-1.1348773,-0.27107728,-5.462163,60.054146,-12.995262,-25.31831
-1.4144555,-0.40451983,-5.8434463,69.85863,-21.024881,-36.347862
-1.5918295,-0.7390446,-6.258041,78.05341,-28.354206,-44.51321
-1.6082397,-1.0746565,-6.5857615,85.365364,-36.873722,-49.435013
-1.4941775,-1.2920016,-6.854722,90.08623,-47.094257,-50.50623
-1.311604,-1.4587067,-7.0421624,91.71543,-57.47306,-49.08192
-1.0470018,-1.666846,-7.148204,91.08906,-68.29827,-45.03097
-0.66779125,-1.8877789,-7.119288,89.68643,-78.59111,-40.46932
-0.19757803,-2.105397,-6.978473,88.98124,-87.758224,-35.54456
0.32565695,-2.2638347,-6.729664,88.50943,-95.79779,-29.80957
0.84260553,-2.3805003,-6.3581142,87.54646,-102.08914,-23.318655
1.3067205,-2.485398,-5.9535055,86.98197,-105.946655,-16.624786
1.7000489,-2.6030827,-5.5780272,87.95747,-108.19264,-10.36852
2.0121639,-2.6592085,-5.2124615,89.5924,-109.894295,-4.254848
2.2655654,-2.6426706,-4.8221436,90.95664,-111.20295,1.8075035
2.4850767,-2.573197,-4.4005246,91.918144,-112.07631,7.866799
2.6913898,-2.464718,-3.9469094,92.66982,-112.24197,13.702551
2.901683,-2.325453,-3.474183,93.28916,-111.71382,19.114101
3.11486,-2.1426163,-2.9565878,93.29446,-110.4563,24.411617
3.3018112,-1.9467194,-2.4382296,92.69577,-108.47954,29.751112
3.4567778,-1.7386892,-1.9416915,91.841446,-105.80207,34.763695
3.585999,-1.5309238,-1.4641021,90.60353,-102.14264,39.70167
3.684551,-1.2991207,-0.9959994,89.40036,-97.69076,44.192287
3.7510035,-1.0348597,-0.54387033,88.267456,-92.616516,48.162926
3.7879233,-0.7161531,-0.09566587,86.56847,-86.99582,51.835747
3.7819831,-0.36502463,0.31865874,84.09961,-80.93778,55.091667
3.7415023,-0.0169249,0.68657327,80.90668,-74.43828,57.72462
3.6751623,0.33059755,0.9992786,77.23855,-67.93403,59.927876
3.6111317,0.67267966,1.2780256,72.93036,-61.476063,61.955498
3.5608485,0.99738586,1.5171957,68.37309,-54.961452,63.60089
3.5296867,1.2843096,1.7132685,64.02895,-48.190323,64.696
3.5154119,1.5460324,1.8635753,59.876293,-40.79745,65.07468
3.4992793,1.7852939,1.9455136,55.58086,-33.34321,65.071815
3.473016,2.003808,1.9688336,50.93354,-26.136751,64.9032
3.4312584,2.191032,1.9359324,46.129707,-19.360107,64.5142
3.3793185,2.3476152,1.8562055,41.342392,-12.967444,63.953247
3.3184657,2.4819803,1.7355253,36.624523,-6.9172425,63.121124
3.2471282,2.5915112,1.5601612,32.21044,-1.07935,61.96366
3.1549778,2.6852107,1.3437227,28.38126,4.4190903,60.238026
3.0435376,2.770757,1.0970637,24.978138,9.469849,58.07253
2.9022582,2.8523006,0.8215358,21.853334,13.8088875,55.48366
2.748168,2.9368513,0.5384599,18.64756,17.307062,52.56872
2.582391,3.017238,0.24654558,15.632624,20.147459,49.28089
2.418993,3.0921667,-0.044786256,12.774006,22.398912,45.67181
2.2517767,3.1515136,-0.34121034,10.230348,24.004534,41.71561
2.0798948,3.203615,-0.6402839,7.8463874,24.806562,37.556034
1.9103986,3.2467062,-0.9345839,5.490181,24.58587,33.16766
1.7470388,3.2723894,-1.2179223,3.3385806,23.716402,28.669838
1.5890085,3.291227,-1.4869913,1.5740339,22.33081,23.939823
1.439394,3.3088589,-1.7389683,0.2178922,20.439291,18.951496
1.3059727,3.3269198,-1.9669545,-0.75630194,18.046963,13.69416
1.1927902,3.342223,-2.1654947,-1.3427547,15.186876,8.092241
1.1048838,3.3482027,-2.33412,-1.5133007,12.186619,2.2258248
1.0332326,3.3498194,-2.4836543,-1.3984703,9.006775,-3.8045943
0.97355837,3.3439841,-2.6174204,-1.237507,5.504873,-9.737894
0.92013747,3.3315876,-2.737628,-1.208849,1.4823928,-15.42875
0.87775767,3.3077097,-2.8403175,-1.235236,-3.3189096,-20.923979
0.8665926,3.2576368,-2.8980668,-1.1051383,-8.237341,-26.369923
0.8824688,3.1867375,-2.923048,-0.49061528,-12.947194,-31.833101
0.92529774,3.1225612,-2.9196358,0.49478728,-17.59407,-37.137325
1.0011955,3.080167,-2.875911,1.338912,-22.473753,-42.160973
1.1224147,3.0276446,-2.781577,1.7434094,-27.452057,-46.718033
1.2954543,2.9418871,-2.6292384,2.1418016,-31.894295,-51.103878
1.4882601,2.8306,-2.4611843,2.7877069,-35.56151,-55.237022
1.6804569,2.7051306,-2.2899728,3.368441,-38.846798,-58.915535
1.8830177,2.5624485,-2.1098638,3.188125,-42.1125,-61.57916
2.098475,2.3736248,-1.9159081,2.3402693,-44.975018,-63.028145
2.30471,2.1410065,-1.7069463,1.6047163,-47.05125,-63.915737
2.4861875,1.8954455,-1.503127,1.2149082,-48.310677,-64.34937
2.6413684,1.6461576,-1.3089958,1.0712819,-48.96264,-64.292435
2.7690163,1.3952534,-1.1276975,1.0372199,-49.33485,-63.60668
2.872693,1.1631539,-0.95375746,0.5817622,-49.438915,-61.943504
2.946251,0.96327853,-0.7890354,0.027099134,-49.183384,-59.833748
2.99845,0.78770465,-0.6426139,-0.31598768,-48.38519,-57.42976
3.0189416,0.6342046,-0.5206667,-0.31370965,-47.16888,-54.907417
3.011388,0.50161374,-0.42251924,0.010724241,-45.538795,-52.428764
2.9855094,0.39629704,-0.33906087,0.13760136,-43.68031,-49.616318
2.8913023,0.38379198,-0.3283619,0.13325939,-42.30199,-48.050686
2.8001444,0.37169167,-0.3180092,0.12905794,-40.968277,-46.53573
2.7119298,0.35998204,-0.30799076,0.124992155,-39.67763,-45.069687
2.6265574,0.34864968,-0.2982951,0.12105736,-38.428566,-43.65088
2.5439296,0.33768168,-0.28891116,0.11724907,-37.219658,-42.277683
2.4639533,0.3270656,-0.27982834,0.11356298,-36.04954,-40.94855
2.3865383,0.31678954,-0.27103642,0.10999495,-34.9169,-39.66199
2.3115988,0.30684203,-0.26252562,0.106541,-33.820477,-38.416565
2.2390513,0.29721206,-0.2542865,0.10319731,-32.759052,-37.210896
2.168816,0.28788903,-0.24630995,0.099960186,-31.731457,-36.043655
2.1008165,0.27886274,-0.2385873,0.09682609,-30.736567,-34.913563
2.034978,0.27012333,-0.2311101,0.09379161,-29.7733,-33.819393
1.9712294,0.26166135,-0.22387026,0.09085346,-28.84061,-32.759953
1.909502,0.25346765,-0.21685995,0.08800846,-27.93749,-31.734102
1.8497297,0.24553345,-0.21007168,0.085253574,-27.062975,-30.740744
1.7918483,0.23785026,-0.20349815,0.082585834,-26.216125,-29.77881
1.7357963,0.23040992,-0.1971324,0.08000241,-25.396042,-28.847279
1.6815143,0.22320451,-0.19096765,0.07750057,-24.601854,-27.945164
1.6289448,0.21622641,-0.18499738,0.075077645,-23.832722,-27.071508
1.5780324,0.2094683,-0.17921533,0.07273111,-23.087833,-26.225393
1.5287236,0.20292304,-0.17361538,0.07045849,-22.36641,-25.40593
1.4809669,0.19658382,-0.16819172,0.06825739,-21.667692,-24.612259
1.4347124,0.190444,-0.16293864,0.066125534,-20.990952,-23.843552
1.3899119,0.18449715,-0.1578507,0.06406069,-20.335485,-23.09901
1.3465188,0.17873715,-0.15292259,0.062060706,-19.700611,-22.377857
1.3044881,0.17315799,-0.1481492,0.060123526,-19.085669,-21.679348
1.2637764,0.1677539,-0.14352563,0.058247134,-18.490026,-21.002758
1.2243416,0.16251934,-0.13904707,0.056429595,-17.913065,-20.347391
1.1861432,0.15744886,-0.13470893,0.054669037,-17.354193,-19.712568
1.1491418,0.15253729,-0.13050671,0.05296365,-16.812832,-19.097641
1.1132994,0.14777957,-0.12643613,0.051311687,-16.288431,-18.501974
1.0785793,0.14317082,-0.12249302,0.049711447,-15.78045,-17.924961
1.0449461,0.13870633,-0.118673325,0.048161298,-15.288368,-17.366007
1.0123651,0.13438153,-0.11497315,0.046659652,-14.811685,-16.824543
0.9808034,0.13019201,-0.11138871,0.04520498,-14.349912,-16.300016
0.9502286,0.12613352,-0.10791636,0.043795794,-13.902578,-15.791892
0.9206096,0.12220188,-0.104552574,0.04243066,-13.46923,-15.299653
0.8919163,0.11839313,-0.10129391,0.041108195,-13.049424,-14.822798
0.8641195,0.11470338,-0.098137066,0.03982705,-12.642736,-14.360843
0.8371911,0.1111289,-0.09507883,0.038585927,-12.248754,-13.913318
0.8111037,0.10766605,-0.09211612,0.037383564,-11.867074,-13.479771
0.7858309,0.10431134,-0.089245915,0.036218747,-11.4973135,-13.05976
0.7613471,0.10106135,-0.086465314,0.035090294,-11.139096,-12.652863
0.7376275,0.09791281,-0.08377151,0.033997063,-10.792061,-12.258666
0.7146482,0.09486253,-0.081161775,0.03293795,-10.455855,-11.876771
0.69238585,0.09190742,-0.078633465,0.031911887,-10.13014,-11.506792
0.6708181,0.08904451,-0.07618404,0.030917834,-9.814588,-11.148356
0.64992315,0.08627091,-0.073811024,0.029954791,-9.508878,-10.801103
0.62967986,0.08358382,-0.07151202,0.029021785,-9.212703,-10.464679
0.6100679,0.080980524,-0.069284715,0.028117875,-8.925765,-10.138747
0.5910675,0.078458406,-0.067126855,0.027242152,-8.647775,-9.822978
0.57265955,0.07601493,-0.06503628,0.026393732,-8.378451,-9.517055
0.5548254,0.073647626,-0.06301089,0.025571762,-8.117525,-9.220669
0.53754723,0.07135412,-0.061048623,0.024775416,-7.864732,-8.933522
0.5208077,0.069132105,-0.059147526,0.024003893,-7.6198187,-8.655327
0.5045898,0.06697934,-0.057305682,0.023256416,-7.382539,-8.385801
0.48887733,0.06489366,-0.05552124,0.022532232,-7.152653,-8.124675
0.47365454,0.06287299,-0.053792402,0.021830617,-6.929932,-7.8716865
0.45890608,0.060915276,-0.052117437,0.021150865,-6.7141504,-7.626581
0.44461715,0.05901856,-0.05049466,0.020492291,-6.5050926,-7.389113
0.43077344,0.05718094,-0.048922442,0.019854238,-6.3025484,-7.1590433
0.417361,0.055400573,-0.047399208,0.019236062,-6.1063137,-6.9361415
0.4043664,0.053675666,-0.045923427,0.018637145,-5.916193,-6.720184
0.3917766,0.052004494,-0.044493616,0.018056883,-5.731994,-6.5109534
0.37957895,0.05038538,-0.043108344,0.017494697,-5.5535336,-6.3082404
0.36776125,0.048816696,-0.041766223,0.016950022,-5.3806314,-6.111841
0.35631165,0.04729687,-0.040465906,0.016422313,-5.2131147,-5.92156
0.34521866,0.045824386,-0.039206084,0.015911039,-5.0508156,-5.7372046
0.33447114,0.044397756,-0.0379855,0.015415689,-4.893571,-5.558591
0.32405832,0.04301556,-0.036802933,0.014935765,-4.741224,-5.38554
0.3139698,0.04167641,-0.03565719,0.014470789,-4.593621,-5.217879
0.30419546,0.040378958,-0.034547128,0.014020291,-4.4506145,-5.055438
0.29472548,0.039121915,-0.033471633,0.013583822,-4.312062,-4.8980565
0.28555042,0.037904013,-0.03242963,0.013160945,-4.177823,-4.7455754
0.27666104,0.036724035,-0.031420074,0.012751237,-4.047765,-4.597842
0.26804844,0.0355808,-0.030441955,0.0123542845,-3.921756,-4.4547095
0.25970405,0.034473162,-0.02949429,0.011969693,-3.799671,-4.3160334
0.25161946,0.03340001,-0.028576132,0.011597076,-3.6813872,-4.1816754
0.2437866,0.032360278,-0.027686564,0.011236062,-3.5667863,-4.051501
0.23619762,0.031352915,-0.026824692,0.010886288,-3.4557538,-3.925379
0.22884493,0.030376915,-0.025989655,0.010547404,-3.3481781,-3.8031843
0.22172114,0.029431304,-0.025180615,0.010219071,-3.2439518,-3.684794
0.21481916,0.028515134,-0.024396766,0.009900961,-3.1429703,-3.5700896
0.20813207,0.027627489,-0.023637319,0.009592754,-3.045133,-3.4589565
