ax,ay,az,gx,gy,gz
0.15181956,-2.2572932,-6.8991537,56.375057,68.97063,-45.38859
0.42158583,-2.66358,-7.8777437,85.90264,49.224106,-54.501217
0.7862508,-3.2363656,-8.516079,74.29626,17.793278,-38.446587
1.2848625,-3.5464473,-8.987314,58.21478,-9.2144575,-17.514412
1.8649747,-3.8588946,-9.380881,44.356117,-33.456795,3.282903
2.2864819,-4.216536,-9.713205,38.227673,-59.818047,22.466345
2.8603194,-4.467088,-9.916847,38.721413,-84.30518,39.931828
3.3264987,-4.343548,-9.93823,40.329002,-106.35458,54.832783
3.7379193,-3.9073887,-9.436337,40.275826,-130.43634,67.00318
4.0864267,-2.9180841,-8.409754,39.74805,-149.15736,74.80155
4.368078,-1.8143499,-6.913828,35.66483,-164.80315,75.86876
4.7585177,-1.1312114,-5.2302375,34.295868,-171.3649,72.12465
5.106639,-0.92163944,-3.599874,34.819927,-171.56725,69.366554
5.3231764,-0.70515597,-2.121546,33.392647,-169.34056,69.21306
5.4965787,-0.33463234,-0.7151714,30.522806,-166.01602,70.391045
5.6676,0.14902079,0.6688407,27.90514,-159.92389,70.696106
5.827788,0.7364499,2.023139,26.11925,-150.85391,69.321205
5.9378448,1.3121225,3.2006156,26.175045,-138.92189,65.69726
5.9673595,1.8359593,4.1278634,27.09373,-125.45738,60.477566
5.9246073,2.2890577,4.7993145,27.417528,-111.76791,54.72368
5.844617,2.6427913,5.246963,26.291916,-98.08755,48.32629
5.766069,2.845865,5.4777913,24.553768,-84.7685,41.65649
5.715577,2.952676,5.6011844,22.216394,-71.762024,35.041084
5.6996107,2.9818385,5.6418734,19.414124,-58.783516,28.740036
5.6880207,2.9412389,5.586299,17.450186,-46.064034,22.57749
5.670667,2.8737562,5.459649,16.101208,-34.062542,16.927256
5.6546974,2.8046956,5.2853646,14.749619,-22.827526,11.663438
5.6416864,2.714549,5.078892,13.386238,-12.103681,6.681309
5.6301584,2.594162,4.8375235,12.1342745,-1.7075092,2.0461993
5.6078258,2.4675002,4.5638914,10.46555,8.320572,-2.2595675
5.578511,2.3322184,4.255976,8.121112,17.781164,-6.0258994
5.518759,2.1471555,3.8641412,7.557238,26.094997,-9.322126
5.438087,1.9654555,3.460167,7.6333876,33.05283,-12.12697
5.345247,1.8005307,3.054769,7.7991858,38.81642,-14.419709
5.2436056,1.6425285,2.6494167,8.06753,43.478916,-16.464703
5.142102,1.4780473,2.2414086,8.527755,47.144375,-18.104343
5.022352,1.332732,1.8122227,9.066278,49.758945,-19.439535
4.893146,1.2056788,1.3796766,9.972864,51.302578,-20.759104
4.762362,1.0951627,0.9497341,11.487632,51.996025,-22.26322
4.6263604,0.9994642,0.52360666,13.227955,51.770817,-23.904137
4.4919524,0.9066161,0.102875,15.171005,50.316296,-25.65511
