ax,ay,az,gx,gy,gz
0.81364375,1.3309212,-3.6754882,10.764643,25.191137,8.933718
1.1168466,1.305706,-3.9192066,17.384369,28.281437,3.9500074
1.3712277,1.2224241,-4.053577,26.599003,30.91736,-2.1788368
1.5322554,1.1657698,-4.224556,35.178776,33.568783,-6.7704883
1.4820888,1.1312864,-4.5533586,43.32724,34.134903,-10.576856
1.3491857,1.1277636,-4.8942084,49.621277,31.021225,-14.3010645
1.2870729,1.1559147,-5.1449504,50.98899,24.685816,-16.54587
1.326774,1.1652247,-5.271125,46.49896,17.656605,-16.468475
1.4223609,1.09662,-5.334294,39.253944,12.666092,-14.260165
1.4573677,0.98541605,-5.4367456,32.637455,8.329147,-11.949419
1.4428756,0.85068774,-5.577242,28.374826,4.512122,-9.986588
1.3828377,0.7032204,-5.7348814,27.008194,0.7369663,-8.374267
1.3229663,0.6023534,-5.879351,27.451017,-3.0554633,-6.973899
1.2800272,0.56396455,-5.9933605,27.992817,-7.719789,-5.6484923
1.2738041,0.5305283,-6.074705,28.236021,-12.848092,-4.317129
1.3022491,0.4883468,-6.1219554,27.861923,-18.043907,-2.782932
1.345723,0.43567917,-6.1562285,26.97134,-23.066988,-1.0226797
1.393543,0.39384058,-6.1874566,25.960903,-28.310163,0.705553
1.4446238,0.3664931,-6.199976,25.527208,-33.897785,2.0045888
1.4697486,0.33081815,-6.1618752,25.32553,-39.872116,2.9244716
1.4949101,0.23464249,-6.0730042,25.407715,-45.699284,3.8922653
1.5191494,0.10476926,-5.952557,26.07831,-51.163857,5.2201266
1.5310482,0.02520517,-5.7977486,27.19974,-56.176327,6.8037467
1.538503,0.030995216,-5.580478,27.834442,-61.256176,8.319521
1.5798919,0.08486997,-5.2761617,27.747568,-65.861374,9.594006
1.6279855,0.12378056,-4.9460883,27.331776,-69.891975,10.2582445
1.6753546,0.10420364,-4.594107,27.315845,-73.29125,10.549378
1.7098805,0.062964946,-4.2024417,27.54805,-76.15202,11.103038
1.7491599,0.06438757,-3.7628696,27.184416,-78.32658,12.146732
1.7854066,0.09682625,-3.3057613,26.441563,-79.92803,13.092076
1.8028255,0.096792035,-2.8589041,25.786314,-80.664764,13.571077
1.7927417,0.053344544,-2.4261796,25.740404,-80.57632,13.801171
1.754132,0.039163437,-1.9922284,25.672672,-79.79914,14.289416
1.6999066,0.077024505,-1.5641314,25.19018,-78.23963,14.734077
1.6327641,0.13181998,-1.1757746,24.65518,-76.04025,14.920367
1.5628973,0.17461817,-0.842762,24.517336,-73.21606,14.687817
1.487143,0.19895238,-0.57290846,24.822777,-69.97593,14.0838
1.3993894,0.21618243,-0.35727832,25.505487,-66.54194,13.288318
1.3039979,0.24902739,-0.17981711,25.886942,-63.176285,12.546907
1.2027841,0.3151738,-0.03257355,25.694717,-60.160954,11.998863
1.1072451,0.39681128,0.10390631,25.493677,-57.38391,11.1887665
1.0174153,0.50188434,0.23236388,25.222862,-54.563587,10.045206
0.91353,0.6216898,0.3231354,24.252153,-52.141476,8.945722
0.8094282,0.75265986,0.39088514,22.400063,-50.222782,7.7755647
0.73136115,0.8899454,0.44787067,20.11422,-48.30257,6.3754373
0.66654,1.0104947,0.48036632,17.763033,-46.325,4.6162086
0.6033917,1.1140256,0.482114,15.675231,-44.289974,2.432342
0.5331363,1.2181187,0.4547404,13.7685375,-42.322926,-0.14011061
0.4545782,1.3229207,0.40333495,11.867416,-40.6656,-3.1152508
0.35935467,1.4292818,0.33141208,9.73301,-39.43376,-6.128168
0.2584644,1.5492404,0.25294852,7.2206306,-38.760437,-9.192522
0.17430943,1.671028,0.17797323,4.389069,-38.516563,-12.507704
0.1202129,1.7689768,0.11222881,1.5122087,-38.385956,-16.204584
0.09648951,1.8272871,0.05421107,-1.0575742,-38.089718,-20.25789
0.10011734,1.8339694,0.002624323,-3.2527587,-37.62657,-24.392986
0.120673336,1.7936428,-0.051485557,-4.9239902,-37.132126,-28.482586
0.16376121,1.7152935,-0.10046573,-6.1569505,-36.701878,-32.312683
0.2313139,1.6148679,-0.12948722,-7.267362,-36.4532,-35.636353
0.32225558,1.4880165,-0.13979487,-8.407778,-36.243324,-38.25075
0.4261545,1.3288977,-0.1427331,-9.495749,-35.959408,-40.303043
0.5242135,1.1567125,-0.14368376,-10.458142,-35.501137,-41.8706
0.60659355,0.9801876,-0.15020591,-11.242482,-34.90861,-42.972004
0.67172784,0.80576026,-0.1659059,-11.822029,-34.27357,-43.674114
0.72274643,0.6362942,-0.18818945,-12.045027,-33.69194,-44.041046
0.75891846,0.47126278,-0.20906447,-12.048275,-33.248096,-44.2088
0.788333,0.31738758,-0.22078222,-11.967127,-32.897816,-44.129787
0.81274295,0.17870341,-0.22290437,-11.89072,-32.606377,-43.85197
0.83389705,0.04915025,-0.21638131,-11.816895,-32.29938,-43.439068
0.85418046,-0.077581145,-0.20273197,-11.807923,-31.870167,-42.74373
0.8705964,-0.205716,-0.18727538,-11.814814,-31.338543,-41.83423
0.87350667,-0.3306643,-0.17370287,-11.872004,-30.811035,-40.646057
0.8690074,-0.4452028,-0.15813246,-11.940873,-30.297123,-39.20813
0.86360896,-0.5508109,-0.14066343,-12.135371,-29.80604,-37.509594
0.8612744,-0.6582369,-0.12208889,-12.220896,-29.189808,-35.4024
0.85733753,-0.7534882,-0.10003748,-12.104447,-28.51841,-33.00863
0.85593444,-0.8338191,-0.07687224,-11.775485,-27.782051,-30.415056
0.8594456,-0.89882094,-0.052976936,-11.353058,-26.84397,-27.668749
0.8598105,-0.9458535,-0.029858995,-10.982936,-25.766773,-24.89998
0.8326794,-0.91600734,-0.028916804,-10.636373,-24.953709,-24.11427
0.8064264,-0.88712716,-0.028005105,-10.301025,-24.16696,-23.353985
0.78102106,-0.85917944,-0.027122844,-9.976506,-23.405615,-22.618252
0.75643426,-0.83213216,-0.026269007,-9.662442,-22.668797,-21.906221
0.73263794,-0.8059545,-0.02544262,-9.358476,-21.95567,-21.217083
0.70960516,-0.7806168,-0.024642752,-9.064262,-21.265425,-20.550056
0.6873101,-0.75609064,-0.023868503,-8.779473,-20.597286,-19.904396
0.6657279,-0.7323486,-0.02311901,-8.503789,-19.950512,-19.279379
0.64483464,-0.70936453,-0.02239344,-8.236905,-19.324383,-18.674313
0.62460726,-0.687113,-0.021690996,-7.978528,-18.71821,-18.088531
0.60502374,-0.66556966,-0.02101091,-7.728374,-18.13133,-17.521395
0.5860626,-0.6447111,-0.02035244,-7.486171,-17.563105,-16.972284
0.56770337,-0.6245146,-0.019714871,-7.251656,-17.012917,-16.440603
0.5499262,-0.6049585,-0.019097516,-7.0245767,-16.480171,-15.92578
0.5327121,-0.5860217,-0.018499715,-6.8046894,-15.964299,-15.427261
