ax,ay,az,gx,gy,gz
-0.27818435,0.28727534,-2.814571,18.976536,79.12436,22.582932
-0.9117976,0.07511635,-3.8401322,40.44112,72.94823,20.576563
-1.8092947,0.05536563,-4.8522453,47.7275,46.987263,8.06889
-2.3678737,-0.043626163,-5.291615,48.63953,27.759518,-2.8864696
-2.4908214,-0.13604,-5.5675273,43.378017,12.033979,-11.192446
-2.3495226,-0.40892625,-5.735743,37.9468,-0.9066661,-15.400615
-2.1971579,-0.7678958,-5.954581,33.60221,-13.461003,-16.41703
-2.1585588,-1.1548336,-6.2478113,33.720814,-27.70772,-16.601252
-2.2009926,-1.5446306,-6.635925,37.244465,-43.26392,-18.234426
-2.1995673,-1.886444,-7.0230403,41.06701,-61.9366,-21.046316
-2.0926208,-2.165762,-7.2950273,45.394608,-81.44805,-23.301775
-1.8578861,-2.3951223,-7.420981,50.19682,-101.13835,-24.112755
-1.4772651,-2.6219833,-7.3772917,55.601494,-119.32039,-20.87822
-0.8810154,-2.8523085,-7.0968723,61.92493,-133.80006,-13.619845
-0.16452032,-3.023086,-6.7027564,67.329,-145.32864,-3.0088868
0.63528866,-3.118879,-6.160893,73.449165,-152.43312,9.315321
1.4361442,-3.0915468,-5.5154195,80.55325,-154.82962,21.55654
2.202441,-2.9313004,-4.78488,88.71835,-150.56892,32.137978
2.9388986,-2.566236,-3.9558208,95.18962,-141.91571,40.65127
3.6080606,-2.0440073,-3.1198177,99.167984,-130.66197,47.273758
4.2020426,-1.463133,-2.292364,101.651505,-117.56028,52.145645
4.6611505,-0.92082906,-1.591355,100.18354,-103.26236,56.689693
4.9717093,-0.43177876,-1.0368694,97.69557,-88.872955,60.26554
5.1034675,0.06833041,-0.6605064,93.86503,-75.05749,61.6566
5.145995,0.49045038,-0.39703265,89.94375,-61.315292,60.90702
5.1152134,0.8567235,-0.26144198,85.08862,-48.108532,58.882042
5.024294,1.1889461,-0.2287774,78.92132,-35.702408,56.28024
4.877535,1.4926933,-0.2907418,72.05398,-24.618807,53.059864
4.6724415,1.7387305,-0.44039997,65.552536,-14.787628,49.602615
4.444942,1.9567689,-0.6316526,59.365078,-6.144643,45.788467
4.1992297,2.1563568,-0.8664895,53.263954,1.1446158,41.00544
3.933358,2.3149078,-1.1416093,47.309395,6.703209,35.26655
3.6503174,2.426409,-1.4368173,40.882458,9.822931,29.30693
3.3737264,2.451848,-1.7082806,35.28396,11.747124,24.215033
3.0961044,2.46366,-1.9782907,30.34638,12.276986,19.977531
2.8064451,2.4855092,-2.2440298,25.178503,11.271219,16.202953
2.490725,2.5073133,-2.4916139,20.373306,8.134754,12.46671
2.1646316,2.5725896,-2.694817,15.024871,2.798897,7.851714
1.8618479,2.6971383,-2.8162532,8.427264,-3.764196,1.6432334
1.6720041,2.754578,-2.8018005,2.7159412,-9.72605,-6.368732
1.6215333,2.7109654,-2.706768,-1.6716386,-14.080829,-15.669105
1.7528739,2.518447,-2.5198882,-4.672444,-16.264305,-25.062222
2.0800295,2.1835277,-2.2369773,-6.52478,-15.112971,-31.387611
2.5168881,1.8072793,-1.9407066,-8.944656,-12.091354,-34.977837
2.9369383,1.4345096,-1.6868551,-10.838359,-6.7354646,-36.703808
3.2855165,1.0856724,-1.5195047,-11.935783,-0.0048785107,-37.402985
3.5676668,0.7429747,-1.3990265,-12.7688675,7.387642,-36.40692
3.7881448,0.4012319,-1.3257654,-12.657473,15.091189,-32.424294
3.900924,0.083430275,-1.3432298,-10.810871,22.334465,-26.773993
3.9395099,-0.17493679,-1.4031312,-7.476874,28.91108,-20.568651
3.9402685,-0.3825641,-1.4733133,-2.852327,35.124454,-14.366249
3.915625,-0.5089724,-1.5582812,1.4775562,40.81816,-7.9948053
3.8642573,-0.5482267,-1.659362,3.5752738,45.44107,-1.5536093
3.764361,-0.5400033,-1.7853156,4.86935,49.297413,4.67189
3.600831,-0.50879693,-1.9783732,6.2993264,51.576782,9.937964
3.397053,-0.47243613,-2.2014503,7.8156304,52.10042,14.174288
3.20715,-0.44430655,-2.4214249,9.186351,51.342545,17.603844
3.0498354,-0.41499758,-2.61618,11.067599,50.047966,20.721464
2.907663,-0.31842658,-2.8028803,12.9193535,48.48669,23.645634
2.7479696,-0.1804017,-3.003207,14.005514,45.961006,26.233294
2.585819,-0.04243639,-3.198484,15.108889,42.81266,28.249947
2.4166126,0.0964336,-3.3967087,16.060926,38.847115,29.743183
2.2628875,0.24951087,-3.5688448,16.897,33.932583,30.363913
2.1377847,0.45159906,-3.692473,17.44837,28.6722,30.321644
2.0249565,0.6826233,-3.7915223,17.09515,23.009165,29.540464
1.91431,0.9011699,-3.878425,16.138615,17.012272,28.12749
1.7883834,1.0994134,-3.9608386,14.289329,10.336791,26.257824
1.6485075,1.2888176,-4.015996,12.135411,3.0354471,23.64879
1.4994406,1.4964468,-4.052628,9.379446,-4.7650876,20.191792
1.3696787,1.6832578,-4.075375,5.966419,-12.927394,15.746958
1.2730553,1.8229944,-4.0652065,2.7487102,-21.101479,10.517405
1.2210041,1.9395573,-3.9983337,-0.39325935,-28.736513,5.1761103
1.2372304,2.0360088,-3.8870244,-4.4372773,-35.997066,-0.039014425
1.3763268,2.0198338,-3.7287004,-8.518437,-42.662308,-4.704889
1.5883124,1.9138727,-3.5710118,-12.649303,-48.664047,-9.060978
1.862094,1.7227733,-3.3869965,-16.109978,-53.36075,-13.203073
2.1633935,1.4997832,-3.1654217,-18.714912,-56.601803,-16.714155
2.470935,1.2937434,-2.9091766,-20.84379,-58.164436,-18.8002
2.7429705,1.1119015,-2.6438904,-23.16165,-58.624805,-19.788172
2.9579318,0.935945,-2.3947253,-25.373722,-58.133125,-19.93017
3.1131835,0.7724431,-2.1704917,-27.375908,-56.909336,-19.779167
3.2173462,0.61313856,-1.975172,-28.860147,-55.137012,-19.615717
3.283241,0.45731992,-1.8045039,-29.795532,-52.81109,-19.215605
3.3136027,0.3053065,-1.6577977,-30.391958,-50.145355,-18.488705
3.3252716,0.16356595,-1.5304002,-30.752586,-47.127773,-17.485914
3.32228,0.041523997,-1.4154915,-30.850634,-43.75817,-16.254528
3.218013,0.040220805,-1.3710675,-29.882414,-42.38486,-15.744394
