ax,ay,az,gx,gy,gz
-0.8000073,0.69182444,-0.51364106,2.9963908,-39.00763,-6.8246074
-0.66278136,0.0453424,0.00029579617,-0.35049933,-46.303944,-17.706347
-0.2676201,-0.51222944,0.51371086,0.39391312,-46.271645,-22.970932
0.45275575,-0.9293255,1.0721879,3.853556,-39.292023,-25.595287
1.6125795,-1.2615277,1.9841076,8.801533,-28.035011,-23.71232
2.7560189,-1.4502643,2.8459613,12.22361,-14.153386,-19.323475
3.5735579,-1.496042,3.4689713,15.374798,-2.454977,-15.215289
4.112468,-1.4511741,3.9638462,19.402283,5.8534064,-13.426025
4.6174297,-1.4440718,4.433801,23.25259,14.397118,-12.671424
5.2078276,-1.4973427,4.844971,26.908768,24.172094,-10.771291
5.7557425,-1.5308899,5.1125803,29.921114,35.922344,-7.956216
6.175072,-1.5535576,5.2030773,32.18099,48.870792,-5.135887
6.434565,-1.5444541,5.1005383,34.278862,62.616623,-2.8893127
6.4824195,-1.5161926,4.7761827,35.916367,76.074615,-2.1317275
6.321134,-1.5192896,4.273104,37.541122,88.12001,-1.6573832
6.090994,-1.5018096,3.736235,39.14548,98.54945,-1.085106
5.8373036,-1.4242522,3.2172668,40.60325,107.511444,-0.2981497
5.58917,-1.3035765,2.7190185,41.698338,115.34445,0.42345574
5.354043,-1.1814541,2.2331593,42.282627,122.30762,0.98026395
5.12236,-1.0701909,1.7482003,42.74651,128.44368,1.586144
4.878761,-0.9465904,1.2672623,43.483295,133.40123,1.9567995
4.6183667,-0.7996466,0.8126015,43.74166,137.0575,2.0041375
4.3750496,-0.64382863,0.41072413,43.758007,140.00554,1.9923753
4.1515265,-0.46993312,0.043677527,43.606472,142.43938,1.9726173
3.940078,-0.27377042,-0.31348065,43.304382,144.36336,1.6159831
3.7399213,-0.09374922,-0.6689071,42.995945,145.63303,0.6963495
3.5366273,0.069462836,-1.0292183,42.601734,145.93245,-0.93445885
3.3212106,0.22560504,-1.3848317,41.42008,145.09195,-3.1681046
3.1110067,0.35373715,-1.7253883,39.289402,142.97295,-5.7678676
2.8965247,0.44663972,-2.0631323,36.647232,140.1253,-8.484179
2.6513267,0.5062093,-2.410722,33.70635,136.37207,-11.40881
2.3777604,0.52495843,-2.7674546,30.643625,131.47388,-14.525764
2.0886207,0.50086766,-3.119178,27.675629,125.34995,-17.833162
1.7904241,0.43699855,-3.4556048,24.41092,117.33458,-21.315233
1.5036488,0.28825992,-3.7495635,21.215876,108.129684,-24.656834
1.2543081,0.06107687,-3.9993174,18.235584,97.66951,-27.497807
1.0680592,-0.24638397,-4.1636815,16.230032,86.502815,-29.149479
0.9821773,-0.60252005,-4.216574,15.3885355,75.57405,-28.940592
1.0210458,-0.9574396,-4.155875,15.354408,65.30898,-26.267498
1.1975105,-1.2578477,-3.9537077,15.911107,56.312565,-22.887745
1.478122,-1.5283095,-3.6343482,17.631052,49.65744,-19.418348
1.7950025,-1.7393636,-3.2557886,20.26958,45.41309,-16.004738
2.0777748,-1.8388118,-2.841025,23.48375,42.9474,-12.327603
2.2964594,-1.7908505,-2.4152396,26.500261,41.6974,-8.289119
2.4532475,-1.5615296,-1.9746395,28.82631,41.205692,-4.5702653
2.5825086,-1.2397271,-1.5521628,30.337955,41.589344,-1.6457043
2.6778586,-0.8628223,-1.184286,30.824493,42.724007,0.29870757
2.727321,-0.47608596,-0.90159345,30.190138,44.361042,1.2011623
2.7199798,-0.11659186,-0.71176976,28.857008,46.42157,0.95001763
2.633117,0.21070856,-0.64918983,26.961882,48.324203,-0.13343593
2.5023522,0.4928134,-0.668779,24.576557,49.895416,-1.9363472
2.3355048,0.7229528,-0.7573224,21.944992,51.088657,-4.413497
2.1369493,0.90612584,-0.9083454,19.25645,51.73904,-7.4795237
1.9109974,1.0446941,-1.1135315,16.5573,51.329575,-11.392629
1.664594,1.1185126,-1.3678348,13.8554325,49.940514,-15.7445545
1.4242584,1.1368774,-1.6330065,11.490705,47.73244,-20.395521
1.1988348,1.1024855,-1.9102125,9.3045,44.54317,-25.194035
1.0075778,0.99844855,-2.175043,7.2853146,40.53898,-29.86918
0.848491,0.8216918,-2.4180374,5.81302,35.784943,-33.41176
0.72202736,0.6095878,-2.636209,4.695251,30.501995,-35.750916
0.6213314,0.3902158,-2.8431144,3.723925,24.420012,-37.16104
0.5734371,0.1520221,-3.0201309,2.8854792,17.674942,-37.86332
0.5991483,-0.11486225,-3.1391869,2.4430923,10.959223,-37.894173
0.6697898,-0.3981292,-3.187321,3.078713,5.325693,-36.516838
0.7216937,-0.64657485,-3.190528,3.9772534,0.26455912,-34.257954
0.7585969,-0.8724117,-3.1667502,5.242954,-4.7080655,-31.223644
0.8273848,-1.093658,-3.1060593,6.663259,-9.6507635,-27.642963
0.9810882,-1.3178283,-2.9874036,8.269892,-14.442126,-23.28307
1.2405747,-1.5176646,-2.7863784,10.266956,-18.099724,-17.79684
1.5614341,-1.6305548,-2.5022223,12.637046,-20.379644,-12.233414
1.8635161,-1.6689996,-2.1786275,15.3965025,-21.302914,-6.7523427
2.1275623,-1.6025468,-1.8214793,18.21965,-20.901148,-1.1698174
2.347347,-1.4173388,-1.4506384,20.433947,-19.502909,4.3638563
2.5158715,-1.138518,-1.0971501,20.819576,-17.395773,9.128719
2.607618,-0.8314053,-0.7957512,20.069145,-14.623075,12.774285
2.6295917,-0.5484239,-0.5840231,18.489586,-11.496874,15.211217
2.5809524,-0.30976483,-0.45529473,16.47532,-8.362681,16.698439
2.4808362,-0.12813912,-0.39240393,14.76175,-5.289962,17.661135
2.3424737,0.017395709,-0.38680598,13.554442,-2.7233007,18.403866
2.1857946,0.1425192,-0.42136717,12.576735,-0.52835166,19.003254
2.1169343,0.13802934,-0.4080926,12.180523,-0.5117067,18.404585
2.0502925,0.13368413,-0.3952457,11.797075,-0.495598,17.825201
1.9857931,0.12947862,-0.3828118,11.425957,-0.4800072,17.264446
1.9233636,0.12540805,-0.37077695,11.066746,-0.46491665,16.721684
1.8629334,0.12146786,-0.35912752,10.71904,-0.45030946,16.196306
1.8044355,0.11765365,-0.34785056,10.382452,-0.4361693,15.687726
1.747805,0.1139612,-0.33693358,10.056608,-0.42248052,15.195381
