ax,ay,az,gx,gy,gz
-4.128219,1.6836517,-6.6382422,15.203775,-21.80656,29.242085
-4.281537,1.7500465,-6.9840417,29.043343,-32.035088,19.87518
-4.181505,1.8262986,-6.964638,38.888805,-41.466007,10.65132
-4.0095267,1.8629466,-6.7918925,46.118267,-48.049618,2.0969288
-3.7367432,1.9768038,-6.4704995,50.338036,-52.225517,-4.0612326
-3.511885,2.119323,-6.168563,52.189034,-54.26923,-8.449656
-3.410137,2.2293198,-5.9718046,52.153633,-56.498028,-12.060989
-3.368273,2.2883425,-5.8665214,50.731018,-59.79876,-15.09368
-3.2946038,2.294712,-5.8024926,48.829006,-63.890167,-17.774609
-3.1705658,2.2598,-5.7236967,47.94599,-68.01387,-20.247862
-3.006535,2.2712915,-5.55443,47.470383,-71.661224,-22.503832
-2.8608902,2.348115,-5.317472,46.87219,-74.80519,-24.8927
-2.7615728,2.4621825,-5.0622644,45.55624,-77.61076,-27.897762
-2.6900601,2.5284584,-4.871559,43.240444,-80.91181,-31.008656
-2.6192904,2.4734957,-4.7551556,41.69806,-84.56796,-34.197166
-2.4776464,2.3851564,-4.607968,41.546265,-88.06904,-37.58504
-2.2543702,2.3287494,-4.3691573,42.319717,-91.298096,-41.051315
-1.9335573,2.2954602,-4.0320997,42.436817,-93.91276,-43.900192
-1.5252647,2.2169063,-3.6456146,40.957527,-95.18309,-44.92022
-1.0827532,2.0705283,-3.233487,39.067627,-95.36194,-44.906708
-0.6563801,1.926383,-2.7895033,37.21761,-94.51771,-44.4582
-0.2669445,1.7956411,-2.3390334,35.726494,-92.87833,-43.807587
0.067883484,1.6522821,-1.9140754,34.192326,-90.99653,-42.900776
0.37616894,1.4826536,-1.5122114,32.311584,-88.453354,-41.431526
0.6714521,1.3142233,-1.1306257,30.358334,-85.18182,-39.67662
0.9237804,1.1639019,-0.7918084,28.489698,-81.411224,-37.777927
1.1267276,1.0291852,-0.49265677,26.602264,-77.49268,-35.681152
1.2963227,0.90407974,-0.22060841,24.389664,-73.43564,-33.238297
1.436654,0.77837276,0.02031723,21.893738,-68.809166,-30.55579
1.5331475,0.65444547,0.19152635,19.764208,-63.960278,-28.14311
1.6071912,0.5452987,0.31595638,18.078653,-58.826553,-26.054924
1.5417961,0.523111,0.3031004,17.34305,-56.432957,-24.994774
1.4800924,0.50217575,0.29097012,16.64897,-54.174473,-23.994465
1.4217703,0.48238787,0.27950466,15.9929285,-52.039764,-23.04898
