ax,ay,az,gx,gy,gz
1.6054692,0.48727718,3.136392,6.7691526,-50.271366,-12.318294
1.8754023,0.6243676,3.4706852,5.7832694,-45.45411,-12.847033
2.057861,0.64687043,3.8149586,5.7683167,-42.678402,-14.257641
2.4689271,0.65130866,4.110941,8.943395,-36.77281,-14.039605
2.8059433,0.6662432,4.3544307,10.743356,-30.263859,-12.509955
3.0447547,0.6597488,4.5532784,10.238056,-22.942444,-11.42948
3.2426097,0.60583377,4.654004,7.9579806,-14.484648,-11.05261
3.4502585,0.51713467,4.683158,5.285828,-5.8381395,-10.55339
3.5836782,0.44022068,4.654809,2.6742086,2.6064744,-9.799197
3.6461575,0.37388045,4.5730267,0.15716963,10.411545,-8.608209
3.661813,0.32119107,4.4637985,-1.7476207,17.251276,-7.0651364
3.6769922,0.2906764,4.3612075,-3.8423815,23.941822,-4.952563
3.6760309,0.27891788,4.2294774,-6.015101,30.355228,-2.7402456
3.6439724,0.27051586,4.072539,-8.321937,36.447838,-0.51844156
3.581197,0.2676516,3.8925114,-10.689305,42.298145,1.6454228
3.4974937,0.28112155,3.6929183,-13.510203,47.810387,3.8627527
3.3861945,0.308899,3.4632668,-16.873402,52.892887,6.1939244
3.2274861,0.33401993,3.1750975,-19.889341,57.441227,8.561821
3.0308495,0.35603195,2.8619702,-21.960129,61.2305,10.900572
2.8126776,0.3884978,2.5626786,-23.455584,64.24656,12.771276
2.6072664,0.44166857,2.2681212,-24.431969,66.72075,14.407059
2.397703,0.5056716,1.9661411,-25.134207,68.31029,15.8861
2.1654713,0.56225514,1.6341667,-25.42306,68.98119,17.133183
1.9087842,0.6041103,1.2946854,-25.11507,68.53141,17.886692
1.6448708,0.6437173,0.9615026,-24.43981,66.759125,18.334808
1.4006962,0.69329566,0.655873,-23.959764,64.002106,18.897064
1.1712966,0.7704588,0.3667145,-23.524004,60.58711,19.513752
0.9207811,0.87045485,0.07517079,-22.778963,56.787807,19.31043
0.67691964,0.9656926,-0.20419207,-21.624552,52.75738,17.929525
0.44779634,1.060243,-0.4718431,-20.137463,48.6246,15.72771
0.21878031,1.1574337,-0.7239836,-18.641205,44.15636,12.826648
0.0030963756,1.2501465,-0.95794654,-17.294144,38.94741,9.3643055
-0.17167772,1.349312,-1.1434845,-16.208738,33.43647,5.757871
-0.30274904,1.4398112,-1.285833,-15.267025,28.04961,2.2288685
-0.40341955,1.5154694,-1.3953547,-14.657545,22.928392,-1.0339022
-0.48933083,1.5754819,-1.490386,-14.467817,18.072735,-4.0409803
-0.56908566,1.5966064,-1.5905628,-14.13529,13.021494,-7.085416
-0.5987928,1.5839521,-1.6636405,-13.789518,7.9546466,-10.080129
-0.5717135,1.560784,-1.6935861,-13.460391,2.9783475,-12.991583
