ax,ay,az,gx,gy,gz
-4.2764025,1.1791017,-7.9000716,-13.15012,-21.695652,-11.4855585
-4.796989,1.3081758,-8.7824545,-13.108133,-37.473545,-13.341608
-5.226157,1.3585329,-9.228923,-13.172077,-51.69558,-17.274986
-5.5340867,1.3527719,-9.489417,-15.655142,-62.752907,-21.831839
-5.930066,1.3492653,-9.921833,-16.203236,-72.85509,-26.026438
-6.36066,1.3983719,-10.380764,-15.713677,-84.07033,-30.820112
-6.7934575,1.4200134,-10.866071,-14.394353,-98.29248,-35.60303
-7.0503864,1.2968594,-11.275732,-12.93068,-113.138435,-39.535355
-7.113076,0.9681437,-11.676895,-8.293062,-128.182,-43.26997
-6.908614,0.6930786,-11.825943,-1.634694,-141.9596,-47.647655
-6.38379,0.6011951,-11.644994,5.6113677,-154.39407,-51.976315
-5.52624,0.6508025,-11.111707,12.568549,-165.06017,-55.895996
-4.356673,0.7589628,-10.261966,18.861248,-172.97531,-59.57163
-2.8875937,0.91354096,-9.11688,23.415758,-176.19179,-61.450207
-1.2751397,1.0346739,-7.722712,25.604918,-176.16275,-60.37669
0.19791241,1.0787821,-6.2815323,25.247616,-173.22183,-56.566227
1.5085257,1.062519,-4.8571434,23.42501,-167.46649,-51.852016
2.6251938,1.0102559,-3.5473416,21.126457,-159.05501,-47.25873
3.5538597,0.9498936,-2.388813,18.718863,-147.79605,-42.97884
4.2682667,0.88061297,-1.4405682,16.506721,-135.56729,-38.69831
4.8241935,0.8155608,-0.70259655,14.540685,-122.91696,-34.237762
5.242816,0.7449034,-0.16400506,12.835864,-109.775894,-29.892239
5.5359592,0.67864543,0.21011144,11.541008,-96.098724,-25.928362
5.720442,0.6360153,0.4550239,10.196128,-81.91026,-21.933722
5.7606964,0.60019296,0.53140426,9.157722,-68.22802,-17.753696
5.7063913,0.572494,0.50664914,8.267498,-55.38673,-13.579566
5.5912395,0.54802203,0.39333165,7.650649,-43.4279,-9.49711
5.443339,0.5420368,0.2284421,7.179713,-32.119865,-5.571745
5.271155,0.56856257,0.013146641,7.1123304,-21.32694,-1.9674368
5.030331,0.6364454,-0.2697544,7.5024943,-11.715017,1.0624644
4.762363,0.7311843,-0.5621953,7.9652853,-3.2446308,3.6271052
4.4735775,0.8281796,-0.87402856,8.3589,4.0745487,5.953052
4.171398,0.9208603,-1.2069193,8.869528,10.37478,8.069543
3.873171,1.0456197,-1.5289342,9.053959,15.774159,9.738135
3.5765026,1.290063,-1.7862198,8.470074,20.546917,10.537979
3.2503195,1.5717093,-2.0023131,6.637439,24.319296,10.197412
2.9130833,1.8208561,-2.2085466,4.1055937,26.592144,9.29
2.6042795,2.0932999,-2.3565173,0.77476114,27.596498,7.9984784
2.350657,2.3807504,-2.457049,-3.7332299,27.819458,6.356393
2.1450238,2.6683125,-2.5395393,-9.004356,27.786459,4.517085
1.9282596,2.9267008,-2.6319165,-15.250361,27.346146,2.130478
1.681601,3.0874138,-2.77422,-21.735653,26.349894,-0.48565054
1.3920864,3.100663,-2.989172,-27.636726,24.48613,-3.5590353
1.0871352,2.9877744,-3.2368348,-32.145004,21.715176,-7.861674
0.82766855,2.7534158,-3.4823022,-35.711178,18.408667,-12.448697
0.6115009,2.4066322,-3.7196336,-38.637913,14.540839,-16.23683
0.40690753,1.9014003,-3.979206,-40.651817,9.859273,-18.83644
0.24114922,1.2496247,-4.269119,-40.825474,4.528419,-21.035294
0.20926589,0.5219611,-4.558849,-37.912365,-1.0364462,-22.948421
0.44292685,-0.22322512,-4.7816405,-32.935204,-6.0588436,-23.318882
0.7867453,-0.8412364,-4.8905244,-26.630655,-10.335975,-21.781023
1.142408,-1.2562534,-4.863389,-19.882435,-13.827877,-19.493183
1.4971786,-1.4521446,-4.6830106,-13.013505,-16.130838,-17.090466
1.8151971,-1.3892068,-4.3314567,-6.991511,-16.688559,-14.676544
2.0282013,-1.0752823,-3.8360507,-2.3176794,-16.4855,-11.865114
2.1368682,-0.66585773,-3.3239665,0.6633585,-16.092537,-8.695921
2.1591346,-0.23453198,-2.8615625,2.1107059,-15.782134,-5.5519505
2.1244566,0.16082446,-2.4779704,2.3135793,-15.546951,-2.8156147
2.050674,0.47168064,-2.1972423,1.7414845,-15.170632,-0.9031213
1.943976,0.6520792,-2.0559988,1.1638877,-14.78583,0.3330532
1.8366878,0.7673563,-1.9814519,0.93576837,-14.323384,0.9487207
1.7359415,0.86201036,-1.9342989,0.9865104,-13.849461,0.945652
1.6512375,0.94968927,-1.8906597,1.1558412,-13.457104,0.48309296
1.5935133,1.0244406,-1.8432721,1.213047,-13.210144,-0.26851496
1.5610329,1.0599791,-1.7933611,1.1661675,-12.9657755,-1.1003646
1.5382665,1.0542,-1.7471445,1.1306816,-12.616083,-1.8704894
1.5156641,1.0242609,-1.7061825,1.2059406,-12.076808,-2.5753696
1.4876829,0.9763303,-1.6779288,1.401662,-11.391732,-3.2622957
1.4658481,0.91397846,-1.6595033,1.7701317,-10.460677,-3.8130744
