ax,ay,az,gx,gy,gz
-1.5663779,3.3845763,-1.0872825,39.728542,4.217311,-11.930109
-1.6748323,3.8464746,-1.13003,43.599102,-4.1029034,-15.290102
-1.7427514,4.330747,-1.0586007,50.180668,-11.929044,-18.869778
-1.6992365,4.957516,-0.6564795,48.818638,-17.540514,-25.845137
-1.5433166,5.465482,-0.25131184,42.052433,-17.355337,-33.18575
-1.3964747,5.8336177,-0.09007307,33.65888,-15.998264,-37.29954
-1.3378887,6.0848722,-0.12574446,24.79539,-15.413616,-40.50426
-1.309251,6.2263875,-0.25910786,16.164747,-16.038473,-44.388176
-1.297643,6.323142,-0.3956924,8.254086,-17.686913,-49.7387
-1.2780184,6.339529,-0.49871486,0.38722473,-20.361837,-56.037693
-1.205635,6.249935,-0.5954679,-6.731099,-23.51232,-61.587788
-1.1046088,6.0890927,-0.6571133,-13.470853,-26.92904,-66.69341
-0.9945716,5.8491473,-0.66351753,-19.989758,-30.17698,-71.67099
-0.86743015,5.49772,-0.6446353,-25.563795,-33.437477,-76.39399
-0.6514971,5.05427,-0.56795704,-30.323847,-36.44997,-80.62409
-0.25997257,4.4306216,-0.39041072,-34.42,-38.935795,-83.79696
0.29687342,3.6676028,-0.14534108,-38.01376,-40.53107,-85.16327
1.02054,2.8079598,0.16448982,-41.01724,-40.29757,-83.843994
1.8081042,1.9111137,0.4948333,-43.076824,-37.715954,-80.15821
2.5353284,1.0108842,0.79798526,-43.332947,-31.876696,-74.2598
3.0663188,0.19954745,1.0351181,-41.99823,-24.12911,-67.77686
3.4217272,-0.43634355,1.2058966,-39.245476,-15.18655,-61.025715
3.648411,-0.9043358,1.3246624,-36.053535,-6.0098987,-54.096516
3.7875433,-1.2170833,1.3881382,-32.78506,3.0855916,-46.83693
3.8717647,-1.3888903,1.3894584,-29.973583,12.251721,-39.050476
3.8969274,-1.4113705,1.3136125,-27.872017,21.39856,-31.425983
3.855911,-1.3499818,1.1650405,-26.391659,30.537556,-24.09399
3.7458222,-1.2332897,0.94428134,-24.980623,39.023376,-17.034027
3.5731866,-1.076094,0.67098576,-23.602594,46.39775,-10.370791
3.3500874,-0.892966,0.36639854,-22.310234,51.90465,-4.423171
3.0962102,-0.69603944,0.03729911,-21.184029,55.955627,0.81553304
2.8532064,-0.49657992,-0.30222285,-20.192923,58.79476,5.404061
2.6155155,-0.2953328,-0.65435576,-19.318834,60.560085,9.14491
2.3778086,-0.10870101,-1.0250965,-18.382004,61.447033,11.942381
2.1366107,0.058666963,-1.4156581,-16.978384,60.926174,13.728007
1.8873866,0.22819759,-1.8096422,-15.301502,59.20942,14.7710495
1.6435312,0.40508527,-2.180277,-13.748573,56.34436,15.034216
1.4149098,0.58308256,-2.518703,-12.525382,52.48006,14.695883
1.2036498,0.7597544,-2.8236547,-11.728724,47.807095,13.985899
1.0075971,0.9349499,-3.1034317,-11.5788145,42.113186,12.842895
0.82039225,1.080245,-3.371881,-11.882188,35.74232,11.511652
0.6397316,1.1832937,-3.6357527,-12.456512,28.640812,10.089414
0.46521306,1.2368364,-3.8941042,-13.107454,20.837658,8.5477705
0.30906335,1.2492574,-4.14512,-13.4179945,12.290411,6.6037426
0.2026233,1.2458884,-4.3609667,-13.168403,3.0373752,3.877424
0.17845045,1.252321,-4.511574,-12.72564,-6.2180314,1.0045307
0.19113678,1.247236,-4.6047473,-12.556042,-15.363413,-1.6782407
0.23036882,1.1880299,-4.659838,-12.464534,-24.407396,-3.8710647
0.30082932,1.0842115,-4.6740613,-12.002093,-33.168446,-5.8491845
0.4483198,0.9759132,-4.6333737,-10.88124,-41.3519,-8.218969
0.73242766,0.8761846,-4.4745054,-9.6085,-48.594906,-10.570538
1.0927997,0.77015674,-4.2030745,-8.085617,-54.29947,-12.42605
1.477824,0.67871606,-3.8433435,-6.3270097,-58.247715,-13.383197
1.8286514,0.62780035,-3.436962,-4.5878363,-60.60003,-13.382658
2.1173043,0.6227053,-3.0154138,-3.6715639,-62.041943,-12.862499
2.3403506,0.6591485,-2.5689573,-3.2099879,-62.66537,-12.288952
2.516265,0.7123817,-2.1249354,-3.0582645,-62.503376,-11.702216
2.6589818,0.77404773,-1.7079356,-3.432096,-61.643143,-10.896652
2.7686214,0.82115567,-1.3562177,-4.344879,-60.201565,-9.774956
2.8336816,0.8324533,-1.0877455,-5.441935,-58.043823,-8.679208
2.8240123,0.78706086,-0.92232156,-6.1057777,-55.537888,-8.002758
2.7757719,0.7271558,-0.81044245,-6.3331184,-52.945667,-7.6426344
2.7069416,0.6758295,-0.7306022,-6.461806,-50.53826,-7.3048887
2.629526,0.6379807,-0.66893244,-6.6352515,-48.30256,-6.980777
2.5535455,0.60850966,-0.61584705,-6.865579,-46.061153,-6.7777643
2.4861631,0.59250295,-0.55706024,-7.331046,-43.68655,-6.8364673
2.4239848,0.5842505,-0.5014871,-8.101511,-41.16567,-7.2237525
2.3464396,0.56555986,-0.4854441,-7.842337,-39.848747,-6.992659
2.271501,0.5474975,-0.4699404,-7.5918756,-38.57609,-6.7693334
2.19907,0.53003955,-0.45495546,-7.3497944,-37.34602,-6.5534806
2.129052,0.5131632,-0.44046977,-7.1157784,-36.156933,-6.344819
2.0613575,0.49684685,-0.42646477,-6.889528,-35.0073,-6.1430817
1.9959006,0.48106986,-0.4129227,-6.6707563,-33.89567,-5.948013
1.9325999,0.46581253,-0.3998267,-6.4591904,-32.820656,-5.7593694
1.871377,0.45105606,-0.3871606,-6.25457,-31.780931,-5.576918
1.8121575,0.43678245,-0.37490895,-6.056645,-30.775227,-5.4004374
1.75487,0.4229745,-0.363057,-5.8651767,-29.802334,-5.229714
1.6994462,0.40961576,-0.3515906,-5.6799374,-28.86109,-5.0645447
1.6458206,0.39669043,-0.34049627,-5.5007086,-27.950386,-4.904734
1.5939306,0.38418344,-0.32976097,-5.3272805,-27.069157,-4.7500963
1.5437161,0.3720803,-0.31937233,-5.159452,-26.216381,-4.600451
1.4951193,0.36036706,-0.30931836,-4.9970307,-25.39108,-4.4556274
1.4480851,0.34903044,-0.29958767,-4.8398314,-24.592314,-4.3154597
1.40256,0.33805758,-0.29016918,-4.687676,-23.819178,-4.1797895
1.358493,0.32743615,-0.28105238,-4.540394,-23.070803,-4.048465
1.315835,0.31715435,-0.27222705,-4.3978214,-22.346357,-3.9213393
1.2745386,0.30720073,-0.26368344,-4.2597995,-21.645037,-3.7982714
1.2345586,0.2975644,-0.25541216,-4.1261773,-20.96607,-3.6791263
1.195851,0.2882347,-0.24740411,-3.9968073,-20.308712,-3.5637732
1.1583737,0.2792016,-0.2396506,-3.8715496,-19.672247,-3.4520864
1.122086,0.2704552,-0.23214321,-3.750268,-19.055986,-3.343945
1.0869489,0.26198617,-0.22487386,-3.6328316,-18.459267,-3.2392323
1.0529245,0.2537853,-0.21783471,-3.5191145,-17.881443,-3.137836
1.0199766,0.2458439,-0.21101828,-3.4089952,-17.3219,-3.0396473
0.9880701,0.2381535,-0.20441727,-3.302356,-16.780043,-2.9445622
0.957171,0.23070593,-0.1980247,-3.1990843,-16.255295,-2.8524795
0.92724675,0.22349332,-0.19183382,-3.0990708,-15.747102,-2.7633018
0.89826584,0.21650808,-0.18583809,-3.0022097,-15.25493,-2.6769352
0.8701978,0.20974286,-0.18003121,-2.9083998,-14.778259,-2.5932891
0.84301317,0.20319058,-0.17440711,-2.8175426,-14.316592,-2.512276
0.8166836,0.1968444,-0.16895992,-2.7295432,-13.869447,-2.433811
0.79118174,0.19069771,-0.16368395,-2.6443102,-13.4363575,-2.3578124
0.766481,0.18474412,-0.15857373,-2.5617547,-13.016874,-2.2842014
0.7425558,0.17897746,-0.15362395,-2.4817913,-12.610561,-2.2129016
0.7193814,0.17339176,-0.14882952,-2.4043372,-12.216999,-2.1438391
0.6969339,0.16798125,-0.14418545,-2.3293126,-11.835781,-2.076943
0.67519015,0.16274038,-0.13968699,-2.2566397,-11.466515,-2.012144
0.6541278,0.15766375,-0.13532948,-2.1862445,-11.108819,-1.9493759
0.63372517,0.15274613,-0.1311085,-2.1180544,-10.762329,-1.8885738
0.6139614,0.14798248,-0.12701966,-2.0519993,-10.426688,-1.8296754
0.59481627,0.14336795,-0.12305881,-1.988012,-10.101553,-1.7726208
0.5762702,0.1388978,-0.119221896,-1.9260267,-9.786592,-1.7173513
0.55830425,0.1345675,-0.115505,-1.8659804,-9.4814825,-1.6638107
0.5409001,0.13037258,-0.11190434,-1.8078117,-9.185914,-1.6119443
0.52404004,0.12630883,-0.10841624,-1.7514616,-8.899586,-1.5616994
0.5077069,0.12237207,-0.105037145,-1.6968725,-8.622206,-1.5130248
0.4918841,0.11855832,-0.10176364,-1.6439892,-8.353493,-1.4658711
0.47655562,0.11486371,-0.0985924,-1.5927578,-8.093175,-1.4201905
0.46170583,0.11128448,-0.0955202,-1.5431265,-7.8409863,-1.3759364
0.44731978,0.10781702,-0.09254393,-1.495045,-7.5966725,-1.3330642
0.4333828,0.10445781,-0.08966058,-1.4484644,-7.359986,-1.2915305
0.41988087,0.10120345,-0.08686722,-1.4033378,-7.130687,-1.2512932
0.4068003,0.098050654,-0.08416104,-1.3596196,-6.9085445,-1.2123116
0.39412788,0.094996236,-0.08153931,-1.3172655,-6.6933336,-1.1745464
0.38185084,0.09203711,-0.07899936,-1.2762328,-6.484837,-1.1379594
0.36995676,0.08917029,-0.07653865,-1.23648,-6.282844,-1.1025136
0.35843366,0.086392894,-0.07415469,-1.1979672,-6.087151,-1.0681734
0.34726992,0.08370211,-0.07184508,-1.1606554,-5.8975616,-1.0349042
0.33645427,0.081095226,-0.06960748,-1.1245072,-5.7138834,-1.0026724
0.32597587,0.07856963,-0.06743965,-1.0894859,-5.5359325,-0.9714455
0.31582415,0.07612277,-0.06533941,-1.0555565,-5.363529,-0.9411922
0.30598888,0.07375218,-0.06330463,-1.0226847,-5.1965003,-0.9118819
0.29646015,0.071455486,-0.06133328,-0.99083763,-5.0346775,-0.8834853
0.28722844,0.06923037,-0.059423372,-0.9599831,-4.877898,-0.8559737
0.2782844,0.067074604,-0.057572983,-0.9300901,-4.726005,-0.8293195
0.2696191,0.06498601,-0.055780258,-0.9011287,-4.5788455,-0.8034959
0.26122382,0.06296251,-0.054043397,-0.87306976,-4.436271,-0.77847695
0.2530901,0.06100205,-0.052360654,-0.84588504,-4.2981396,-0.7542376
0.24520983,0.059102673,-0.050730336,-0.8195473,-4.1643114,-0.7307534
0.23757505,0.05726247,-0.04915081,-0.79403013,-4.0346527,-0.7080009
0.23017812,0.055479594,-0.047620494,-0.76930785,-3.909033,-0.6859572
0.2230116,0.053752255,-0.046137847,-0.7453557,-3.7873268,-0.6646002
0.21606833,0.052078724,-0.044701383,-0.7221497,-3.6694114,-0.6439084
0.20934132,0.05045732,-0.043309662,-0.69966656,-3.555169,-0.62386113
0.20282383,0.04888642,-0.04196129,-0.6778836,-3.4444852,-0.6044383
0.19650935,0.047364444,-0.040654916,-0.65677917,-3.3372483,-0.5856204
0.19039153,0.04588987,-0.039389227,-0.636332,-3.2333515,-0.5673886
0.18446423,0.04446122,-0.038162958,-0.6165216,-3.1326904,-0.5497246
0.17872152,0.043077063,-0.036974873,-0.5973282,-3.035164,-0.53261065
0.17315765,0.04173601,-0.035823792,-0.57873243,-2.9406748,-0.51602966
0.16776705,0.04043672,-0.034708552,-0.5607158,-2.849128,-0.49996504
0.1625443,0.039177883,-0.033628043,-0.5432602,-2.760432,-0.48440066
