ax,ay,az,gx,gy,gz
-1.4309222,-2.5272956,-0.3090937,-61.25783,51.76956,-9.100083
-1.2894485,-3.7445278,-0.9846792,-48.908363,53.857647,-3.4844036
-1.0692276,-4.7519884,-1.4627453,-39.39489,47.754772,2.78967
-0.45837682,-5.62571,-1.7771406,-30.019762,44.506233,8.516781
0.21076848,-6.3700123,-2.1600873,-19.56861,44.817142,14.363055
0.67947423,-6.9811645,-2.6308918,-6.6839614,47.066788,20.723154
0.9505883,-7.461418,-3.326988,7.2760434,48.72074,26.912357
1.1161417,-7.766733,-4.04542,21.53306,49.35551,33.14093
1.2106755,-7.858727,-4.718238,35.6151,49.78346,39.323654
1.2238498,-7.715219,-5.335855,49.02961,50.357655,45.110546
1.1137058,-7.3490934,-5.9084854,61.677868,50.380074,50.119938
0.87551755,-6.7254224,-6.380649,73.86924,48.616253,54.210064
0.6250362,-5.9415216,-6.720342,84.10888,45.736576,57.189045
0.3794697,-5.076641,-6.9382534,92.31977,41.95473,59.063164
0.13412476,-4.1748104,-7.0414505,98.63003,37.65543,59.974907
-0.12264086,-3.2578423,-7.0351987,102.81956,32.625153,59.604828
-0.40598333,-2.3466644,-6.9113293,105.45612,27.302664,58.23275
-0.6797603,-1.4577168,-6.7156076,106.878685,21.669744,55.844246
-0.9137876,-0.5386976,-6.439798,106.74006,15.901783,52.405704
-1.0998467,0.4011171,-6.0978947,104.810074,10.074138,48.20875
-1.2412852,1.3340558,-5.71289,99.79144,3.8490515,43.57827
-1.3206688,2.166232,-5.326542,92.709236,-2.409888,39.27382
-1.3449501,2.8490443,-4.979878,84.30791,-8.323161,35.51322
-1.3381777,3.4126701,-4.672579,74.88864,-13.539928,31.673143
-1.3044798,3.8536325,-4.403795,64.83023,-18.057764,27.07499
-1.2352325,4.1761928,-4.167885,54.261135,-21.76788,21.197489
-1.1100016,4.3255844,-3.9634216,43.7848,-25.292114,14.474466
-0.8655712,4.30391,-3.7658787,33.23453,-28.45747,8.058007
-0.5373136,4.10147,-3.579202,22.740568,-30.83027,2.9693613
-0.1882715,3.7122853,-3.4212654,12.896412,-32.195187,-0.95547706
0.16476052,3.1718917,-3.3174272,4.2102785,-32.76016,-3.7141464
0.562262,2.4312732,-3.3008087,-3.1084387,-32.81297,-4.928913
0.942688,1.5917087,-3.3330328,-8.360333,-32.242355,-4.5508814
1.2816952,0.7413758,-3.3940294,-11.174297,-31.01277,-3.0295265
1.5647378,-0.048779123,-3.4651353,-11.776154,-28.907679,-0.8046781
1.748057,-0.7499211,-3.5490656,-9.466146,-25.873571,2.01329
1.7959757,-1.2905947,-3.6513724,-5.5530396,-22.75729,4.9982195
1.7703397,-1.7064052,-3.7708354,-0.24295844,-19.942905,8.100607
1.7065084,-1.9901195,-3.8914208,6.0407314,-17.701567,11.261147
1.6420245,-2.1355371,-3.9991646,12.923657,-16.092396,14.409086
1.5986854,-2.1488414,-4.085835,19.924938,-14.897632,17.544638
1.569677,-1.9998387,-4.1421585,26.3936,-13.997604,20.672283
1.5230339,-1.7796575,-4.179313,32.1551,-13.317535,23.57261
1.4430041,-1.5335877,-4.211645,37.539448,-12.824154,26.032736
1.3265208,-1.2750852,-4.242423,42.730526,-12.610292,27.93291
1.1957736,-0.98217535,-4.2614512,47.71458,-12.78292,29.20834
1.0578902,-0.5383286,-4.2098346,51.532406,-13.289721,29.92557
0.9088698,-0.055060755,-4.1156583,53.790527,-14.144363,30.065212
0.7452553,0.38520205,-4.012364,54.884464,-15.291525,29.770561
0.5643999,0.76929957,-3.9137912,55.306152,-16.751402,28.932964
0.3852608,1.1256857,-3.8124478,55.118557,-18.75344,27.26957
0.24258092,1.4959834,-3.6894624,54.342052,-21.065598,25.19493
0.13569199,1.9073598,-3.5331013,52.15759,-23.624266,22.868824
0.055572405,2.2733374,-3.3732374,48.759953,-26.23498,20.526636
-0.0036456685,2.578465,-3.2288263,44.66978,-28.789055,18.160341
-0.046163153,2.8433187,-3.0939882,39.670673,-31.057734,15.444051
-0.07249732,3.048796,-2.9858024,34.175488,-33.25573,12.214645
-0.06291135,3.205752,-2.8893585,28.182724,-35.45034,8.471832
-0.0009728445,3.290178,-2.7987216,21.760592,-37.554375,4.4902406
0.12935007,3.2634299,-2.7131617,15.266467,-39.269516,0.80914736
0.31555963,3.1302388,-2.6374729,9.136135,-39.982452,-2.121604
0.5074969,2.8733184,-2.5923278,3.7483552,-40.237408,-4.8410015
0.69043416,2.5302505,-2.5632954,-0.68280363,-40.424324,-7.335643
0.8831096,2.1366737,-2.5383613,-4.2366667,-40.61855,-9.12419
1.0810101,1.7353742,-2.5102615,-7.079372,-40.594017,-9.938193
1.2577062,1.3454615,-2.483442,-8.905917,-39.882446,-10.087462
1.3853307,1.0007063,-2.448784,-9.827396,-38.461487,-10.167119
1.4541323,0.72405946,-2.4056673,-10.114406,-36.62578,-10.056651
1.4646993,0.5131127,-2.356495,-10.087661,-34.766018,-9.4742565
1.4304942,0.36126378,-2.296149,-9.931426,-32.98794,-8.37616
1.3642199,0.26732805,-2.2184553,-9.813446,-31.251625,-6.929865
1.2755032,0.23905131,-2.1225133,-9.930312,-29.421547,-5.34136
1.1754297,0.2316192,-2.039174,-9.669251,-27.479473,-3.8480117
1.0727533,0.2485673,-1.968126,-8.758631,-25.67298,-2.63033
0.98706937,0.30100977,-1.8932012,-7.5840163,-24.024405,-1.7909844
0.9352329,0.36021703,-1.8186078,-6.642897,-22.534077,-1.0525198
0.9056674,0.34882954,-1.7611164,-6.4328957,-21.821709,-1.0192466
0.8770639,0.33781248,-1.7054952,-6.2297263,-21.132517,-0.9870559
0.84938836,0.3271529,-1.6516788,-6.0331492,-20.465687,-0.9559096
0.82260853,0.31683832,-1.5996041,-5.842934,-19.820436,-0.92577136
0.79669344,0.30685678,-1.5492109,-5.6588607,-19.196022,-0.89660627
0.77161324,0.29719684,-1.5004412,-5.4807177,-18.591724,-0.8683808
0.74733937,0.28784743,-1.4532394,-5.3083024,-18.006855,-0.8410627
0.7238444,0.27879804,-1.4075522,-5.141419,-17.440754,-0.8146213
0.701102,0.27003852,-1.3633285,-4.9798813,-16.892784,-0.78902674
0.6790867,0.26155904,-1.3205186,-4.823508,-16.362333,-0.7642506
0.6577742,0.25335023,-1.2790754,-4.6721263,-15.848817,-0.74026525
0.6371409,0.24540308,-1.238953,-4.52557,-15.351666,-0.7170444
0.61716443,0.23770887,-1.2001076,-4.383678,-14.870339,-0.6945626
0.5978228,0.2302592,-1.1624968,-4.246296,-14.404311,-0.6727954
0.5790952,0.223046,-1.12608,-4.1132746,-13.953076,-0.65171915
0.5609613,0.21606152,-1.0908178,-3.984471,-13.516148,-0.6313111
0.5434018,0.20929822,-1.0566723,-3.8597467,-13.093057,-0.61154944
0.52639776,0.20274891,-1.0236071,-3.7389684,-12.6833515,-0.59241295
0.50993115,0.19640659,-0.99158704,-3.6220074,-12.286595,-0.5738813
0.49398452,0.19026454,-0.960578,-3.5087395,-11.902368,-0.5559348
0.478541,0.18431625,-0.93054724,-3.399045,-11.530261,-0.5385545
0.46358427,0.17855547,-0.90146315,-3.2928083,-11.169885,-0.5217221
0.44909868,0.17297617,-0.8732952,-3.189918,-10.82086,-0.50541985
0.43506902,0.16757245,-0.8460138,-3.0902665,-10.4828205,-0.48963073
0.42148066,0.16233873,-0.81959057,-2.9937491,-10.155415,-0.47433826
0.40831944,0.15726951,-0.7939979,-2.900266,-9.8383,-0.4595265
0.39557168,0.15235955,-0.76920927,-2.8097196,-9.531148,-0.4451801
0.3832242,0.14760375,-0.7451989,-2.7220159,-9.23364,-0.43128407
0.37126416,0.14299719,-0.721942,-2.6370647,-8.945467,-0.41782415
0.35967928,0.13853513,-0.6994146,-2.554778,-8.666334,-0.4047864
0.34845757,0.13421294,-0.67759347,-2.475071,-8.395951,-0.3921574
0.33758754,0.1300262,-0.6564561,-2.397862,-8.134042,-0.37992418
0.327058,0.12597062,-0.6359809,-2.3230712,-7.8803368,-0.36807412
0.31685814,0.122042015,-0.6161468,-2.2506225,-7.634576,-0.35659513
0.30697757,0.118236385,-0.5969335,-2.1804414,-7.396507,-0.34547544
0.29740617,0.11454983,-0.5783214,-2.1124563,-7.1658874,-0.33470368
0.28813416,0.110978596,-0.5602915,-2.0465977,-6.942482,-0.32426888
0.27915207,0.10751904,-0.5428254,-1.9827987,-6.7260623,-0.31416035
0.2704508,0.104167625,-0.5259053,-1.9209942,-6.516408,-0.30436787
0.26202148,0.10092096,-0.50951403,-1.8611212,-6.313307,-0.2948814
0.25385553,0.097775735,-0.49363497,-1.803119,-6.1165514,-0.28569138
0.24594466,0.09472877,-0.4782519,-1.7469286,-5.925942,-0.2767884
0.23828088,0.09177696,-0.46334925,-1.6924932,-5.7412863,-0.26816353
0.23085639,0.08891732,-0.44891196,-1.6397576,-5.562396,-0.25980794
0.22366369,0.086146966,-0.4349254,-1.5886683,-5.3890905,-0.25171322
0.2166955,0.08346307,-0.42137542,-1.5391737,-5.2211947,-0.24387114
0.20994477,0.08086295,-0.40824828,-1.4912238,-5.058539,-0.23627381
0.2034047,0.07834395,-0.39553076,-1.4447701,-4.900958,-0.22891355
0.19706866,0.07590354,-0.38321,-1.3997656,-4.7482934,-0.22178291
0.19093026,0.073539265,-0.3712736,-1.356165,-4.6003914,-0.2148747
0.18498333,0.071248725,-0.35970947,-1.3139243,-4.4571023,-0.20818196
0.17922185,0.069029614,-0.348506,-1.273001,-4.3182817,-0.20169795
0.17364004,0.066879705,-0.33765188,-1.2333537,-4.18379,-0.19541612
0.16823226,0.06479683,-0.32713616,-1.1949426,-4.0534916,-0.18933016
0.16299307,0.06277889,-0.3169483,-1.1577289,-3.9272554,-0.18343392
