ax,ay,az,gx,gy,gz
-5.0809555,3.871853,-10.761916,45.610416,117.52107,9.100083
-5.7494597,4.1473207,-11.785407,23.529785,79.09112,10.144459
-6.2017436,4.047359,-12.345322,14.801466,41.48006,6.4123907
-6.344529,3.95963,-12.693359,9.50445,5.730053,-0.38699204
-6.2757616,3.7665386,-12.977017,2.84818,-28.265114,-6.1152353
-5.9696445,3.4607897,-13.1291,-1.2897593,-57.333893,-11.183822
-5.55807,3.0747423,-13.282231,-6.50676,-86.75785,-14.971257
-5.1524124,2.2584505,-13.52348,-9.240271,-116.2227,-18.35917
-4.688275,1.1927209,-13.811797,-8.20143,-148.53398,-21.901335
-3.8373218,-0.0396807,-14.040212,-5.289213,-185.51941,-24.209179
-2.2350092,-1.4553494,-13.905783,-1.032762,-223.31824,-22.816376
0.23112598,-2.8268776,-12.935286,7.779825,-247.57594,-14.135722
2.9047458,-3.809407,-11.013353,18.028313,-254.33661,-0.29549515
4.702388,-4.399976,-9.34483,28.909071,-251.6925,15.974813
5.7897205,-4.7089853,-8.036064,38.834858,-245.68735,31.677818
6.6117907,-4.828334,-6.8848,48.090305,-237.638,46.254726
7.3563447,-4.731287,-5.816642,55.626995,-225.60213,60.67607
7.8828254,-4.458464,-4.961607,62.55317,-211.60892,73.92365
8.189568,-4.0836325,-4.339046,69.34594,-196.31906,85.706825
8.333856,-3.6099715,-3.8967695,75.76705,-180.73643,95.70976
8.352993,-3.0282393,-3.5863018,80.915016,-164.46844,103.61025
8.253511,-2.381155,-3.3969753,83.92811,-147.94846,108.84104
8.032392,-1.7126914,-3.3172,85.54378,-132.1727,112.194725
7.752167,-1.0575937,-3.296622,85.57489,-117.63307,113.83922
7.424079,-0.44542393,-3.326586,84.5943,-104.39538,114.07883
7.056074,0.13493401,-3.3848464,82.80001,-92.665146,113.050514
6.6694226,0.6871047,-3.448747,80.03913,-82.92752,110.93377
6.2824516,1.2689365,-3.4978642,76.2111,-74.9251,108.39439
5.903513,1.8889732,-3.5285745,71.03933,-68.699524,104.54394
5.5620594,2.5021594,-3.5236547,65.60177,-63.741943,97.92417
5.3035865,3.0446055,-3.4803903,60.34954,-59.289677,88.56791
5.138202,3.499973,-3.39155,55.75572,-54.647064,76.12552
5.0579925,3.8943777,-3.24013,50.927795,-49.834175,62.233482
4.9980197,4.2251225,-3.0534275,45.563583,-45.126343,47.73194
4.949785,4.576731,-2.7999337,37.61707,-40.790226,33.751747
4.979215,4.950792,-2.4728913,25.588615,-36.971222,21.031942
5.1843553,5.258371,-2.0981135,6.9077144,-31.821585,11.978974
5.5245724,5.123745,-1.8381906,-11.814951,-24.92764,5.02141
5.9103093,4.478176,-1.7157934,-24.960768,-15.4875765,-0.63815135
6.3895288,3.4722826,-1.7261856,-29.879747,-3.7756577,-6.571486
6.9210086,2.381722,-1.8376199,-30.51274,8.680776,-11.073605
7.3948646,1.4100571,-2.0187106,-32.662895,19.96004,-9.912294
7.6366057,0.59438175,-2.2971194,-34.735294,29.794096,-5.5380588
7.7053266,0.010395748,-2.6083415,-35.725327,38.277725,-0.10080214
7.6503634,-0.38239855,-2.9156728,-35.56228,45.715958,5.7027307
7.5304985,-0.6451287,-3.2129347,-34.16317,52.57938,11.576899
7.379405,-0.81708276,-3.521061,-31.719986,58.319126,17.920832
7.22313,-0.91839576,-3.8394802,-27.929527,63.12446,24.501118
7.062848,-0.9484194,-4.162951,-22.921488,67.1319,30.845057
6.8996367,-0.9063636,-4.4893856,-17.14475,70.20514,36.62818
6.7273026,-0.82334846,-4.820676,-10.823152,72.19319,41.726967
6.541998,-0.71862406,-5.151136,-4.271552,72.48242,46.19535
6.34837,-0.5897517,-5.4792566,1.9453733,71.26198,50.408215
6.1593256,-0.4434374,-5.8028274,7.4779115,68.23384,54.539898
5.9869847,-0.28338325,-6.11738,12.115222,63.490463,58.629147
5.8408885,-0.11453547,-6.4211454,16.17696,57.318363,62.48928
5.701368,0.050359067,-6.7306714,21.00982,49.05316,65.466064
5.523301,0.2264031,-7.0813847,27.028269,38.670258,67.237144
5.3412895,0.5168219,-7.4420433,33.481144,26.166807,67.30173
5.2062654,1.0152893,-7.7666626,38.593407,12.012204,65.04988
5.167246,1.6823686,-7.9545836,40.19867,-2.466066,60.89488
5.1562552,2.3366575,-8.021206,37.500286,-16.289186,56.27234
5.039578,2.8379884,-8.098505,33.059273,-30.570656,51.10827
4.8818545,3.3253872,-8.209537,28.641788,-46.12015,43.644863
4.820857,3.8388443,-8.287188,23.219301,-63.667103,33.880875
4.9981036,4.3292513,-8.134182,15.928088,-80.5602,23.74664
5.3346367,4.7718906,-7.739473,6.5390763,-92.977455,14.676294
5.7732415,5.0755825,-7.163816,-3.2103393,-100.8339,6.2637653
6.226135,5.2102747,-6.6319723,-11.561861,-104.020874,-3.4955804
6.771141,5.052681,-6.1993957,-15.716216,-103.689476,-15.82437
7.493613,4.63403,-5.7931395,-16.869604,-100.72811,-27.25073
8.247817,4.11894,-5.406437,-20.14466,-95.91079,-32.474026
8.761606,3.5550826,-5.139338,-25.507355,-90.954216,-33.295696
9.045852,2.9465246,-4.968001,-31.04184,-85.903465,-30.993074
9.153565,2.3876586,-4.842742,-35.447224,-80.56798,-27.549849
9.116333,1.9164139,-4.744303,-38.56503,-74.92231,-23.950817
8.948553,1.5239269,-4.684039,-40.390606,-69.279434,-20.071732
8.665932,1.4757968,-4.5361037,-39.114956,-67.091385,-19.437809
8.392481,1.4292284,-4.392968,-37.880695,-64.974335,-18.824453
8.12788,1.3841673,-4.254465,-36.68638,-62.925804,-18.230951
7.8718224,1.340561,-4.1204343,-35.53063,-60.943417,-17.65661
7.624015,1.2983598,-3.9907217,-34.41211,-59.024895,-17.100775
7.384174,1.2575152,-3.8651793,-33.329556,-57.168056,-16.562809
7.1520295,1.2179812,-3.7436652,-32.281734,-55.3708,-16.042105
6.92732,1.1797135,-3.6260433,-31.267477,-53.631107,-15.538078
6.7097955,1.1426694,-3.512182,-30.285648,-51.947037,-15.050167
6.4992146,1.1068077,-3.4019554,-29.33516,-50.316727,-14.577831
6.295346,1.0720891,-3.2952418,-28.414967,-48.73838,-14.12055
6.0979652,1.0384755,-3.1919248,-27.524061,-47.210266,-13.677823
5.906858,1.0059302,-3.0918915,-26.66147,-45.73072,-13.249167
5.7218175,0.97441804,-2.9950337,-25.826263,-44.29814,-12.834119
5.542644,0.943905,-2.901247,-25.017536,-42.910984,-12.432229
5.3691444,0.9143583,-2.8104303,-24.234423,-41.56776,-12.043068
5.2011347,0.88574636,-2.722487,-23.476084,-40.26703,-11.666219
5.0384345,0.8580388,-2.637323,-22.741714,-39.00741,-11.30128
4.880872,0.8312061,-2.5548482,-22.03053,-37.787563,-10.9478655
4.72828,0.8052199,-2.4749756,-21.341787,-36.606205,-10.605599
4.5804987,0.7800529,-2.3976207,-20.674753,-35.462082,-10.274123
4.4373717,0.7556786,-2.3227022,-20.028728,-34.354,-9.953089
4.2987504,0.7320715,-2.250142,-19.40304,-33.280796,-9.6421585
4.164489,0.709207,-2.1798642,-18.797031,-32.24135,-9.341008
4.0344477,0.6870612,-2.1117954,-18.210073,-31.234575,-9.049324
3.908492,0.6656111,-2.045865,-17.641554,-30.25943,-8.766804
3.7864912,0.6448345,-1.9820046,-17.090885,-29.314903,-8.493154
3.6683187,0.6247099,-1.9201484,-16.557495,-28.400015,-8.228091
3.553853,0.6052165,-1.8602322,-16.040838,-27.513824,-7.971343
3.4429758,0.5863342,-1.8021946,-15.540377,-26.655416,-7.722644
3.335573,0.5680437,-1.7459756,-15.055599,-25.823908,-7.481738
3.2315347,0.5503261,-1.6915177,-14.586006,-25.018446,-7.2483783
