ax,ay,az,gx,gy,gz
-0.4172765,0.85273504,-14.521041,-50.105003,78.45889,4.716407
-1.055134,0.5422048,-16.354942,-54.20786,55.616642,6.3952823
-1.7114407,0.22769819,-17.413006,-52.074684,26.77517,6.30115
-2.3233519,0.012586165,-18.203733,-50.75696,-7.94496,4.5194035
-2.7080326,-0.17970735,-18.71146,-50.460613,-43.324436,4.109318
-2.74609,-0.41127616,-19.00579,-49.897514,-80.98159,6.2574897
-2.5351262,-0.701544,-19.141838,-48.098366,-115.95953,9.493618
-2.102946,-0.9579593,-19.087572,-45.912113,-147.42288,12.848939
-1.5819736,-1.2510564,-18.95417,-41.28569,-176.43929,13.970725
-0.8904789,-1.7012167,-18.699171,-36.308937,-204.50104,14.530939
0.106212124,-2.2513342,-18.115438,-33.46871,-230.43558,18.652313
1.3812608,-2.74996,-16.954659,-32.941048,-250.59908,25.648096
2.4635665,-3.1475084,-15.571655,-31.572443,-265.29846,32.511856
3.3538146,-3.443633,-14.082534,-27.236492,-276.29248,37.480347
4.280781,-3.4999323,-12.433746,-21.71242,-283.93076,41.048443
5.2905645,-3.258767,-10.641614,-17.728306,-286.51166,43.88813
6.1781917,-2.8796446,-8.781177,-13.15893,-284.81113,45.603172
6.8878865,-2.4335444,-7.0234923,-8.210039,-279.2596,46.36904
7.4842234,-1.8786528,-5.396521,-2.872916,-270.88834,45.395176
8.052004,-1.2169911,-3.8717973,2.0270116,-259.63086,43.128345
8.59177,-0.50285506,-2.4817405,5.5815196,-243.88565,39.197243
9.0443535,0.08894167,-1.3206677,7.958829,-224.99593,34.388485
9.314511,0.48521546,-0.47087237,9.815754,-204.48485,28.530704
9.446182,0.7092622,0.12676986,11.4256935,-183.65118,22.03233
9.573823,0.8470871,0.57966805,12.3852625,-162.38045,15.557135
9.730465,0.93144554,0.88616663,11.689721,-139.96608,9.467567
9.875792,0.91427016,0.9600486,10.671445,-117.68282,3.9405518
9.998786,0.83065474,0.86390245,9.59492,-95.81321,-1.1905724
10.094483,0.6875252,0.61628926,8.185572,-74.86528,-5.681208
10.168067,0.532276,0.255431,5.9957395,-54.897655,-9.016851
10.217016,0.43510512,-0.19054265,2.837987,-35.50352,-10.771814
10.180762,0.47737682,-0.7844186,-0.52834296,-17.63578,-11.927921
10.047743,0.60458744,-1.4629523,-3.8829815,-2.2983878,-13.140871
9.818144,0.76084167,-2.164232,-6.8757763,10.216662,-15.12433
9.516583,0.94279057,-2.8415473,-9.564538,20.24454,-17.774817
9.175839,1.1719254,-3.4730904,-12.071773,27.376795,-21.702467
8.799476,1.3918275,-4.0558915,-14.766284,32.26262,-26.089579
8.388371,1.5774581,-4.591728,-17.26639,34.923187,-30.73035
7.959216,1.7626524,-5.0641155,-19.810812,35.540783,-36.09274
7.554096,1.9503205,-5.4764633,-22.786722,34.459908,-42.31646
7.1932673,2.0992227,-5.854071,-26.633257,31.426746,-49.429188
6.881682,2.0721679,-6.2182317,-31.083517,27.210186,-56.477196
6.588644,1.8453254,-6.5781965,-35.319572,22.010288,-63.170025
6.285719,1.3900431,-6.9360433,-38.71084,15.505529,-69.18268
5.985141,0.7185138,-7.2699156,-40.98762,7.4195957,-73.77037
5.685522,-0.14187694,-7.5583777,-41.56761,-2.9170616,-75.525154
5.427359,-1.1951703,-7.7764707,-40.257156,-14.455814,-74.71955
5.26992,-2.2669034,-7.9346704,-36.7705,-26.968222,-71.07665
5.2894588,-3.2409492,-8.0016775,-31.390287,-39.02351,-64.759865
5.493989,-4.002277,-7.9713097,-24.012383,-49.61584,-55.40212
5.866305,-4.4618692,-7.8204374,-13.325576,-56.983574,-43.54134
6.3811994,-4.308597,-7.4757433,-2.3411217,-61.984627,-31.772219
6.891387,-3.620189,-6.964321,5.330371,-65.698586,-22.161236
7.3561206,-2.7633023,-6.279365,9.199242,-67.55944,-16.027853
7.674871,-2.0598598,-5.6057687,10.08139,-66.35053,-10.555237
7.4215894,-1.9918816,-5.4207706,9.748691,-64.16087,-10.2069
7.177543,-1.926382,-5.2425175,9.428121,-62.051052,-9.8712635
6.9423146,-1.863249,-5.0707054,9.119135,-60.017464,-9.547753
6.7155123,-1.8023775,-4.905048,8.821217,-58.05672,-9.235833
6.4967694,-1.7436689,-4.7452765,8.533885,-56.16565,-8.934996
6.2857394,-1.6870306,-4.5911393,8.256685,-54.341263,-8.644767
6.082097,-1.632375,-4.4423976,7.9891887,-52.580738,-8.364697
5.8855343,-1.5796195,-4.298827,7.7309923,-50.881424,-8.094366
5.695762,-1.5286865,-4.1602163,7.481715,-49.24081,-7.833372
5.512505,-1.4795021,-4.0263643,7.2409964,-47.65652,-7.581339
5.3355036,-1.4319966,-3.8970816,7.008495,-46.126316,-7.337909
5.164511,-1.386104,-3.772188,6.7838864,-44.64806,-7.1027436
4.9992943,-1.3417615,-3.6515126,6.5668645,-43.21973,-6.875521
4.839631,-1.2989094,-3.5348938,6.3571377,-41.839417,-6.6559367
4.6853104,-1.2574912,-3.422177,6.1544285,-40.505287,-6.4437
4.5361314,-1.217453,-3.3132157,5.9584727,-39.21561,-6.238534
4.391902,-1.1787434,-3.20787,5.7690196,-37.968723,-6.040176
4.252441,-1.1413133,-3.1060066,5.585829,-36.763058,-5.848375
4.117573,-1.105116,-3.0074983,5.408672,-35.597103,-5.6628914
3.9871323,-1.0701071,-2.9122238,5.2373304,-34.46942,-5.4834967
3.86096,-1.0362437,-2.8200667,5.0715957,-33.37864,-5.309972
3.7389038,-1.003485,-2.7309163,4.911268,-32.323444,-5.1421084
3.6208186,-0.97179204,-2.6446662,4.756156,-31.302578,-4.979706
3.5065646,-0.9411274,-2.5612144,4.6060767,-30.314835,-4.822572
3.3960085,-0.9114553,-2.4804635,4.460855,-29.359058,-4.6705246
3.289022,-0.88274115,-2.4023201,4.320322,-28.434143,-4.5233865
3.1854825,-0.85495216,-2.3266943,4.1843166,-27.539026,-4.3809886
3.0852716,-0.8280566,-2.2534997,4.0526843,-26.672688,-4.2431693
2.9882765,-0.802024,-2.182654,3.9252753,-25.834148,-4.1097717
2.894388,-0.77682525,-2.114077,3.8019474,-25.022465,-3.980647
2.8035014,-0.75243217,-2.047693,3.6825624,-24.236736,-3.855651
2.715516,-0.72881776,-1.9834281,3.5669885,-23.476088,-3.7346447
2.630335,-0.70595604,-1.9212114,3.4550984,-22.739683,-3.6174953
2.5478652,-0.6838219,-1.8609749,3.346769,-22.026716,-3.5040746
2.4680164,-0.6623913,-1.802653,3.2418833,-21.33641,-3.3942587
2.3907022,-0.64164096,-1.7461823,3.1403267,-20.668018,-3.2879288
2.3158395,-0.62154853,-1.6915021,3.04199,-20.020819,-3.1849704
2.2433476,-0.60209244,-1.6385537,2.946768,-19.394114,-3.0852723
2.1731493,-0.5832519,-1.5872804,2.8545582,-18.787237,-2.9887288
2.1051695,-0.5650068,-1.5376277,2.7652628,-18.199541,-2.8952363
2.0393364,-0.54733783,-1.4895427,2.6787872,-17.630404,-2.804696
1.9755802,-0.5302263,-1.4429749,2.5950398,-17.07922,-2.7170122
1.9138339,-0.5136542,-1.397875,2.5139322,-16.545412,-2.6320925
1.8540324,-0.49760404,-1.3541956,2.4353795,-16.028418,-2.5498476
1.7961131,-0.4820591,-1.3118911,2.3592992,-15.527697,-2.4701915
1.7400157,-0.4670031,-1.2709173,2.285612,-15.042726,-2.393041
1.6856818,-0.4524204,-1.2312315,2.2142413,-14.572999,-2.3183153
1.6330547,-0.4382958,-1.1927923,2.1451125,-14.11803,-2.2459373
1.58208,-0.4246147,-1.1555601,2.0781543,-13.677345,-2.175832
1.532705,-0.41136295,-1.1194962,2.0132973,-13.250489,-2.1079266
1.4848785,-0.39852682,-1.0845636,1.9504745,-12.837023,-2.042151
1.4385517,-0.3860931,-1.0507262,1.8896214,-12.436518,-1.9784377
1.3936764,-0.37404904,-1.017949,1.8306751,-12.048564,-1.9167209
1.3502069,-0.36238223,-0.98619866,1.7735754,-11.672763,-1.8569373
1.3080984,-0.35108075,-0.9554424,1.7182635,-11.308729,-1.7990257
1.2673081,-0.340133,-0.9256489,1.664683,-10.956089,-1.7429267
1.227794,-0.32952783,-0.89678764,1.612779,-10.614484,-1.6885831
1.189516,-0.3192544,-0.86882913,1.5624986,-10.283564,-1.6359394
1.152435,-0.30930218,-0.8417449,1.5137904,-9.962992,-1.5849419
1.116513,-0.29966113,-0.8155074,1.466605,-9.652441,-1.5355386
1.0817139,-0.29032138,-0.7900899,1.4208943,-9.351597,-1.4876794
1.0480021,-0.28127345,-0.7654666,1.3766118,-9.060152,-1.4413155
1.0153434,-0.27250817,-0.7416125,1.3337127,-8.777812,-1.3964001
