ax,ay,az,gx,gy,gz
-2.9582086,0.40454912,-5.4509583,2.6082056,-19.1429,-15.314685
-2.6588879,-0.06646188,-4.4565916,-8.812805,-19.298752,-24.27432
-2.481506,-0.25374886,-4.182356,-16.951479,-12.588615,-24.87175
-2.5861597,-0.17179978,-4.599421,-30.746761,-16.544556,-23.11605
-2.7206922,-0.38710216,-4.932591,-32.748894,-21.02373,-22.119637
-2.8556175,-0.5692896,-5.3389363,-33.026104,-28.473467,-21.933685
-2.8141384,-0.85684377,-5.596568,-29.41866,-35.577507,-21.041971
-2.6210985,-1.1544397,-5.78022,-23.213707,-40.98559,-19.23377
-2.464704,-1.3269631,-5.9916673,-16.246635,-46.69808,-16.419567
-2.3730507,-1.4233364,-6.211945,-9.74183,-53.13894,-13.074387
-2.2271633,-1.4744198,-6.373037,-4.6601152,-60.95196,-9.754124
-1.9742898,-1.572512,-6.3883686,-0.9090824,-68.49967,-6.1373167
-1.7078735,-1.7187748,-6.303603,2.1386907,-75.04007,-1.833718
-1.4341668,-1.895063,-6.106266,6.8901596,-79.37718,2.9868484
-1.2164143,-2.0536983,-5.8735194,11.166702,-83.43528,7.2890754
-0.9849171,-2.2995043,-5.5385227,16.381075,-86.526245,11.615477
-0.7169259,-2.5104995,-5.107279,22.251116,-88.09543,16.604885
-0.43569285,-2.6702578,-4.64652,27.777039,-88.70877,21.917953
-0.10772015,-2.7708414,-4.116199,33.98057,-87.721794,27.60386
0.29364654,-2.7102106,-3.5136402,39.59621,-85.6576,32.70017
0.71290505,-2.557377,-2.870238,44.191925,-82.222404,37.26961
1.1328398,-2.2841334,-2.2052503,47.86279,-77.36003,41.182526
1.571117,-1.8996615,-1.5355762,50.793533,-70.57917,43.74364
1.9798927,-1.428071,-0.934098,51.911457,-61.906384,45.062412
2.3180232,-0.9407329,-0.40871003,52.086372,-52.197056,45.70069
2.5941849,-0.47550535,0.0019207984,51.178303,-42.081444,45.66757
2.810892,-0.050516512,0.30045426,49.365814,-31.683578,44.960663
2.9533308,0.31744972,0.46451715,45.778263,-21.60669,44.096878
3.0293243,0.5970012,0.5298228,42.153606,-11.618721,42.878647
2.9968133,0.81840444,0.4676635,39.702232,-1.9245093,41.151413
2.892704,1.0407443,0.32918593,39.162586,7.2121806,38.50933
2.7518504,1.2635683,0.10844005,39.431683,14.9726,34.759453
2.6095428,1.4451193,-0.14851023,40.220543,21.454683,30.034113
2.4605339,1.6170748,-0.43830857,38.525032,25.87633,24.884718
2.2891724,1.7583154,-0.77158004,35.2014,28.424524,19.846138
2.1024854,1.872273,-1.1258789,30.89973,29.313736,15.064158
1.9073038,1.9399269,-1.4984715,26.402172,28.39663,10.228299
1.7439415,1.955065,-1.8241092,22.055597,26.418457,5.6923966
1.620445,1.9390618,-2.112121,18.197958,23.804716,1.789829
1.5050273,1.9201185,-2.3911498,14.354462,20.738176,-1.569752
1.3850408,1.9009975,-2.6654384,10.782974,17.043854,-4.8961554
1.269104,1.8382951,-2.9203224,7.7842274,12.815596,-8.203855
1.1815873,1.7103045,-3.1564643,5.291434,8.088524,-11.124325
1.1227003,1.5397612,-3.3639438,3.1307518,2.6861694,-13.046164
1.0740246,1.3555596,-3.5257201,1.421105,-2.9878373,-14.337027
1.047857,1.1692806,-3.6366515,1.0429877,-8.589423,-15.291676
1.033814,1.007184,-3.7144625,1.5968657,-14.271736,-16.29334
1.0150937,0.8718728,-3.755947,2.4589808,-20.24029,-17.413393
1.001521,0.7256463,-3.7425838,3.9982746,-26.329979,-18.415789
1.020795,0.5890909,-3.6216943,5.9093275,-31.810919,-19.194447
1.0407684,0.49127868,-3.4580598,7.0583715,-36.689304,-19.728672
1.0575571,0.41152653,-3.2661853,7.7064033,-41.083,-20.09897
1.0984956,0.3483694,-3.0448565,8.358364,-44.922253,-20.181953
1.1821349,0.3092402,-2.7955575,8.993936,-48.038593,-19.849695
1.3228898,0.30138096,-2.5092497,9.355128,-50.47491,-19.091015
1.4903754,0.31684604,-2.2044077,9.4149885,-52.086338,-18.31393
