ax,ay,az,gx,gy,gz
0.16091056,4.902772,-0.2309112,-71.79974,-41.282192,-41.837654
0.28721693,5.247843,-0.1847362,-66.29286,-43.24896,-53.049564
0.10455807,5.665747,-0.36482486,-57.591663,-45.93965,-72.88918
-0.42485267,6.3263,-0.9315974,-47.885612,-56.837105,-94.3125
-0.794242,7.183543,-1.3037995,-42.146595,-72.14068,-120.442665
-0.66826415,7.869078,-1.403954,-45.292625,-88.09015,-144.1053
-0.08589925,8.024497,-1.312187,-57.87123,-99.38642,-154.99434
0.6572749,7.785167,-1.2711965,-79.215645,-106.70099,-152.02281
1.2364589,7.486659,-1.3181682,-96.16537,-107.7633,-151.64722
1.7169356,7.173442,-1.3501384,-102.65305,-100.94507,-161.5919
2.1003964,6.753382,-1.4004941,-101.902275,-91.01134,-174.86517
2.3997443,6.308799,-1.4950477,-103.99741,-83.55958,-182.61084
2.615172,5.6968246,-1.7116536,-111.91966,-80.90739,-180.8646
2.7626026,4.8050456,-1.9984584,-119.137886,-79.02145,-174.40715
2.864997,4.0198326,-2.2374458,-123.77223,-75.88588,-168.38144
2.9438038,3.2713811,-2.4306195,-123.93198,-71.01747,-164.76474
3.0161722,2.565029,-2.5739567,-121.41923,-65.81907,-161.79015
3.093872,1.8169206,-2.70287,-117.65241,-61.622585,-156.21114
3.146502,1.1391052,-2.8130014,-113.38904,-58.646065,-149.17644
3.189597,0.5325909,-2.86293,-108.35734,-56.1031,-141.85547
3.235723,0.015683364,-2.8361201,-102.21338,-53.121185,-134.90848
3.2898114,-0.39561555,-2.729419,-95.71815,-49.553642,-128.12918
3.3783891,-0.70891386,-2.5418122,-90.16442,-45.15394,-120.312515
3.4756548,-0.93302405,-2.309917,-85.374146,-40.4037,-111.77112
3.553569,-1.089008,-2.0741904,-81.12061,-35.469955,-102.828224
3.6497197,-1.2368265,-1.8386773,-77.3994,-30.481033,-93.22653
3.7857592,-1.3685838,-1.5945096,-74.22763,-24.758083,-82.317604
3.904883,-1.4178401,-1.3837184,-71.219284,-18.302744,-71.45225
4.044372,-1.4470444,-1.1866701,-68.30475,-11.022371,-61.291653
4.1824903,-1.4823252,-1.0354241,-65.56368,-3.4012032,-51.041447
4.2758193,-1.5043858,-0.9265681,-63.187096,3.8628983,-40.59857
4.357693,-1.5103515,-0.82518846,-60.370228,11.103974,-29.94163
4.4422293,-1.4937688,-0.74121755,-57.17497,18.603127,-18.987347
4.506843,-1.351962,-0.66354316,-54.679104,26.376719,-8.897947
4.479354,-1.1346419,-0.6517162,-52.505844,33.423294,-1.1783718
4.3691635,-0.973106,-0.6911088,-50.09456,39.31415,4.901683
4.308528,-0.85070884,-0.70642275,-47.544254,44.71344,10.681442
4.3166924,-0.72126484,-0.70379096,-46.05028,50.87303,17.43767
4.2790112,-0.5616527,-0.7840618,-45.453728,57.451096,23.994978
4.160684,-0.378727,-0.9608183,-44.039413,63.840115,29.083176
3.955989,-0.17149572,-1.2157127,-42.347687,68.95593,32.60674
3.7133217,0.057271708,-1.4875897,-41.014732,72.86671,35.612274
3.4367962,0.33786532,-1.7792666,-39.981655,75.512764,37.53641
3.1064606,0.6300856,-2.1301627,-38.81259,76.78028,38.64939
2.7257395,0.9111751,-2.5304277,-37.155033,76.06682,38.40108
2.308263,1.1824962,-2.9784434,-34.61888,72.48814,36.24158
1.889679,1.4559836,-3.4715576,-32.70349,65.34512,32.69439
1.493687,1.7226498,-4.0002737,-32.06121,53.461845,27.568428
1.0988507,1.957913,-4.6699805,-32.49969,37.003742,21.409468
0.7632349,2.148188,-5.4657884,-33.13192,15.243793,13.713972
0.5930391,2.2965145,-6.321929,-32.77202,-9.713551,5.2395535
0.6431455,2.3734543,-7.190275,-29.537636,-36.756878,-4.0416393
1.0032365,2.408951,-7.964544,-20.753702,-63.5205,-13.345214
2.001575,2.4895813,-8.16327,-13.69467,-86.48864,-20.762222
3.2383106,2.5971608,-7.725446,-8.818986,-100.39557,-24.726933
4.3295574,2.6396942,-7.067186,-3.7662756,-105.709404,-27.208242
5.1742454,2.7269108,-6.4033313,0.19903333,-106.23536,-29.153513
5.785648,2.7595556,-5.8150477,2.25081,-103.2538,-29.804298
6.1850443,2.647677,-5.345716,2.7296205,-98.54058,-28.453732
6.462726,2.5326078,-4.966154,2.0363207,-92.94116,-24.566666
6.6231976,2.4470947,-4.636357,-0.0837434,-86.49833,-19.143368
6.7348003,2.4230201,-4.299346,-3.7214122,-78.34914,-13.674619
6.5171437,2.3447125,-4.160399,-3.601143,-75.81704,-13.23268
6.307006,2.26911,-4.0262513,-3.485028,-73.3724,-12.806007
6.1040826,2.1961029,-3.8967097,-3.3728998,-71.011696,-12.393983
5.908086,2.125588,-3.7715898,-3.264599,-68.731575,-11.996023
5.7187433,2.0574672,-3.650718,-3.159975,-66.52886,-11.611575
5.5357966,1.9916472,-3.5339286,-3.058885,-64.40056,-11.240111
5.358999,1.9280397,-3.421065,-2.961193,-62.343784,-10.881134
5.188117,1.8665605,-3.3119779,-2.8667698,-60.355835,-10.534169
5.0229287,1.8071296,-3.2065253,-2.7754924,-58.43412,-10.198764
4.8632216,1.7496709,-3.1045718,-2.687244,-56.57617,-9.874488
4.7087936,1.6941115,-3.0059886,-2.6019127,-54.77964,-9.560931
4.5594525,1.640382,-2.9106524,-2.519392,-53.042282,-9.257702
4.415014,1.5884163,-2.818446,-2.4395802,-51.361954,-8.964427
4.275301,1.538151,-2.7292564,-2.36238,-49.73661,-8.680749
4.1401463,1.4895257,-2.6429768,-2.2876983,-48.164295,-8.406325
4.0093884,1.4424822,-2.559504,-2.2154462,-46.643127,-8.140829
3.8828735,1.396965,-2.4787395,-2.1455383,-45.171314,-7.883948
3.760453,1.352921,-2.400589,-2.077893,-43.74714,-7.6353803
3.6419852,1.3102992,-2.324962,-2.012432,-42.368946,-7.3948383
3.5273342,1.2690505,-2.2517712,-1.94908,-41.035156,-7.162046
3.4163694,1.229128,-2.1809337,-1.8877647,-39.74425,-6.9367385
3.308965,1.1904866,-2.1123693,-1.828417,-38.494766,-6.7186604
3.2050009,1.1530826,-2.0460007,-1.77097,-37.2853,-6.507567
3.1043608,1.1168747,-1.9817544,-1.7153598,-36.114506,-6.303223
3.0069332,1.0818226,-1.9195589,-1.6615248,-34.981083,-6.105402
2.9126108,1.0478878,-1.8593456,-1.6094056,-33.88379,-5.913886
2.8212905,1.0150329,-1.8010488,-1.5589453,-32.821415,-5.7284656
2.7328727,0.9832223,-1.7446048,-1.5100888,-31.79281,-5.5489388
2.6472619,0.9524215,-1.6899527,-1.4627831,-30.796856,-5.3751106
2.5643651,0.9225972,-1.6370333,-1.4169774,-29.83248,-5.206794
2.484094,0.8937176,-1.5857899,-1.3726223,-28.898645,-5.0438075
2.406362,0.8657515,-1.5361677,-1.3296704,-27.994354,-4.8859777
2.331087,0.8386694,-1.4881138,-1.2880762,-27.118645,-4.733136
2.258189,0.8124424,-1.4415773,-1.2477952,-26.270588,-4.5851207
2.1875908,0.78704286,-1.3965089,-1.2087852,-25.449284,-4.4417753
2.1192179,0.76244396,-1.3528613,-1.1710048,-24.653872,-4.3029485
2.0529988,0.7386199,-1.3105885,-1.1344144,-23.883512,-4.168494
1.9888641,0.7155457,-1.2696463,-1.0989759,-23.137402,-4.0382724
1.9267465,0.6931973,-1.2299919,-1.064652,-22.414759,-3.9121463
1.8665817,0.67155147,-1.191584,-1.0314069,-21.714832,-3.789985
1.8083069,0.6505856,-1.1543827,-0.99920636,-21.036894,-3.6716616
