ax,ay,az,gx,gy,gz
0.5309139,0.06545514,0.08727352,52.046837,-44.056767,74.9625
0.45805547,0.30775997,0.07094332,50.51317,-40.368546,73.7649
-0.20962325,0.6119366,-0.09256032,45.096527,-43.08264,71.89962
-0.49442676,0.86851054,-0.061822195,39.794353,-46.162655,67.058395
-0.37141976,1.1097174,0.23370989,38.951385,-47.109997,56.76575
0.24112783,1.2373568,0.7755718,39.79797,-44.343998,41.42223
1.1505677,1.4356968,1.3328401,42.681065,-35.967766,24.769068
1.613323,1.8043123,1.402856,44.366234,-26.830517,15.351673
1.8171138,2.1512215,1.4141147,43.070057,-20.57523,11.77996
1.9922177,2.4356215,1.554277,41.517746,-15.805627,8.043148
2.1589735,2.6417952,1.7386563,40.633987,-12.338806,2.2887022
2.3979647,2.7749195,1.9318413,40.325043,-9.0252,-5.664588
2.8578823,2.9173014,2.1540754,40.101536,-3.2277098,-14.286919
3.2364092,3.0722296,2.2226114,39.496555,3.6128454,-21.672907
3.3547237,3.1402218,2.1510954,37.437878,8.867547,-27.221483
3.4014375,3.081537,2.0984397,35.61523,13.165954,-33.174767
3.409421,2.9510334,2.0340672,34.42961,17.098225,-39.564224
3.417403,2.746776,1.944948,33.673943,21.248346,-45.720863
3.445143,2.5527945,1.830587,33.600533,26.168415,-51.45998
3.4150105,2.393313,1.6134341,33.796257,31.123442,-56.549923
3.240479,2.2150574,1.2997065,32.85588,33.954063,-59.93619
3.058668,2.0164025,1.0055321,31.179335,35.150383,-62.888195
2.9102838,1.8134241,0.7355308,29.711086,35.233456,-65.977875
2.7966573,1.6371113,0.446185,28.563452,34.896496,-68.77131
2.6979272,1.4851485,0.14590982,27.609137,34.018036,-71.31122
2.6098762,1.3333539,-0.15253916,26.180044,32.887497,-73.27069
2.4811492,1.1602086,-0.4559527,23.835974,31.041136,-74.11312
2.3300843,0.9426102,-0.74055874,21.573225,28.743353,-74.727425
2.1629927,0.7307957,-1.0146794,19.119736,25.739243,-75.02093
1.9978057,0.5484821,-1.2758105,16.375713,22.095026,-75.18283
1.829048,0.36959112,-1.5154865,13.493288,18.06324,-74.895164
1.6397604,0.2038404,-1.7402332,10.438461,13.175901,-73.96118
1.440267,0.030037036,-1.9295216,7.1358976,7.765712,-72.51079
1.2594302,-0.16198146,-2.066549,3.771446,2.2118871,-70.62038
1.0893543,-0.37813875,-2.1635768,1.0247335,-3.1929932,-68.39456
0.939667,-0.6050767,-2.2163448,-1.1726673,-8.345647,-66.05734
0.839526,-0.8632492,-2.2070653,-2.238703,-13.025572,-63.65818
0.8120757,-1.1326884,-2.119053,-2.4834974,-16.85897,-60.642776
0.8172464,-1.334688,-1.9986563,-2.549589,-19.749994,-56.719242
0.8293406,-1.4543791,-1.8552215,-3.1437607,-22.034037,-52.143433
0.8365694,-1.5534964,-1.6775161,-4.0111117,-23.989721,-47.73194
0.8439743,-1.7137146,-1.454272,-3.98546,-25.84186,-44.198177
0.9247318,-1.9379655,-1.1570171,-3.2859447,-26.939243,-40.662273
1.0402871,-2.1539981,-0.83164674,-2.0398777,-26.794203,-36.20997
1.1432148,-2.288787,-0.52249587,-0.72304183,-25.706858,-30.766136
1.2331749,-2.354402,-0.22814697,0.8588794,-24.136967,-25.119967
1.3073782,-2.3557343,0.040012594,3.2940538,-22.38114,-20.61888
1.376098,-2.3566694,0.27759328,6.3295135,-20.42657,-17.13587
1.454955,-2.3490777,0.48234394,9.678383,-17.925966,-13.590434
1.5597554,-2.2390888,0.6430058,12.967482,-14.73562,-9.671735
1.6822612,-1.9999255,0.7476951,15.980256,-11.039628,-5.9777284
1.7704864,-1.688374,0.78925484,18.348635,-7.793109,-3.4828556
1.8588989,-1.4417498,0.8142015,20.61068,-4.5272536,-2.1002715
1.9107255,-1.2575494,0.7936384,22.814077,-1.3638636,-1.2650361
1.9460156,-1.1223704,0.7421369,25.159977,1.8254634,-0.3860259
1.9857157,-0.9105222,0.637584,27.109337,5.0806723,0.7808711
2.005718,-0.6226774,0.46916932,28.114536,7.73749,1.4436055
1.9818687,-0.3279944,0.24240838,28.765387,9.388178,0.89421433
1.9505756,-0.08545611,0.014688502,28.878475,10.2559395,-0.60257924
1.9238145,0.083155595,-0.20164992,28.542212,10.748931,-2.6286867
1.8793523,0.1897249,-0.42250833,27.60717,10.968773,-4.4049253
1.8099453,0.24698028,-0.646942,26.11163,10.710313,-5.5633345
1.7203611,0.30285907,-0.8812185,24.531992,10.137334,-6.464484
1.5945338,0.3717688,-1.1280706,22.538548,8.745773,-7.334505
1.4747318,0.4286282,-1.3487196,20.230602,6.663622,-8.712739
1.371606,0.45452008,-1.532489,17.87795,4.207674,-10.723964
1.2738081,0.4374859,-1.6853422,15.258957,1.4028105,-12.733408
1.1869913,0.3821583,-1.7965952,12.539039,-1.4010471,-13.915454
1.0905414,0.3262313,-1.8958688,9.594751,-4.346513,-14.383286
0.9909095,0.26563886,-1.9745698,6.813203,-7.590445,-14.751794
0.90083766,0.20843427,-2.0258138,4.031069,-11.140247,-15.418971
0.83766496,0.11538651,-2.0272822,1.2228463,-14.925444,-16.34734
0.8315788,-0.06968931,-1.9457284,-1.1650021,-18.283184,-17.03376
0.8478621,-0.28691795,-1.8306102,-3.1296124,-20.906992,-16.80326
0.85464585,-0.5003737,-1.7116678,-4.962065,-23.021217,-15.675416
0.8306386,-0.7186483,-1.5907316,-6.2053275,-25.021864,-14.385558
0.786392,-0.9402341,-1.4428866,-6.873582,-27.123177,-12.96217
0.79102224,-1.1626334,-1.2322955,-6.947562,-28.633717,-11.134021
0.82872945,-1.3386889,-1.0076797,-6.4567738,-29.062933,-8.671836
0.8677701,-1.4485433,-0.79938203,-5.775958,-28.823982,-5.8890877
0.89471287,-1.5149043,-0.6104745,-4.9517627,-28.256256,-3.0769808
0.8957608,-1.5651184,-0.435964,-3.8812807,-27.868221,-0.53031534
0.9207149,-1.6236591,-0.22686003,-2.4976926,-27.20658,1.8979816
0.9782557,-1.6556424,-0.01393396,-0.8265456,-25.783293,4.587986
1.0638957,-1.612484,0.16992772,0.9329961,-23.557974,7.5427823
1.1564063,-1.4679301,0.30825126,2.5576825,-20.67169,10.261266
1.241162,-1.2535162,0.40955123,3.6248145,-16.908278,11.607666
1.2691687,-1.0652903,0.46816123,4.4932823,-13.146115,11.760471
1.2461814,-0.9349765,0.48424047,5.416412,-9.708429,11.412779
1.1985711,-0.87869155,0.4815064,6.2910523,-6.8123045,11.317169
1.1963917,-0.80004066,0.45577157,7.5490246,-3.9507544,11.524764
1.2255955,-0.61988926,0.3785581,8.289289,-1.2506709,11.234583
1.2944739,-0.41924304,0.28597885,8.570503,1.421215,9.84739
1.3725634,-0.2503849,0.19842505,8.66139,4.6407585,7.728673
1.4218456,-0.12505853,0.09580793,8.554645,8.524164,5.3618817
1.3773814,-0.121147685,0.092811815,8.287123,8.257596,5.1942043
1.3343201,-0.11736022,0.08991022,8.028041,7.999437,5.031817
1.2926161,-0.11369215,0.08710009,7.777126,7.749416,4.8745484
1.2522259,-0.110139616,0.08437848,7.534114,7.5072703,4.7222333
1.2131069,-0.1066989,0.08174253,7.2987514,7.272746,4.5747128
1.1752182,-0.10336641,0.079189494,7.070792,7.045599,4.4318323
1.1385207,-0.10013867,0.07671671,6.8499985,6.825592,4.293443
1.1029761,-0.09701234,0.07432161,6.6361413,6.612497,4.159402
1.0685474,-0.093984164,0.07200171,6.4289985,6.406092,4.029569
1.0351992,-0.09105102,0.069754615,6.2283564,6.206165,3.9038103
1.0028969,-0.08820987,0.067577995,6.034007,6.0125084,3.7819963
0.9716074,-0.085457794,0.06546962,5.8457513,5.824923,3.6640012
0.94129837,-0.08279196,0.063427314,5.663395,5.643216,3.5497036
0.9119387,-0.080209635,0.06144898,5.48675,5.467201,3.4389863
0.88349843,-0.07770817,0.059532594,5.315637,5.2966976,3.331736
0.8559483,-0.075284995,0.057676192,5.14988,5.131531,3.2278426
0.8292603,-0.072937645,0.055877876,4.989309,4.971532,3.1272001
0.803407,-0.07066372,0.05413581,4.8337607,4.8165383,3.0297055
0.7783622,-0.068460904,0.052448224,4.683077,4.6663914,2.9352598
0.7541004,-0.06632695,0.05081339,4.5371037,4.520938,2.8437667
0.7305968,-0.06425969,0.049229655,4.3956923,4.3800306,2.755133
0.7078276,-0.06225703,0.047695402,4.2587,4.243526,2.6692686
0.6857697,-0.060316924,0.04620908,4.1259866,4.1112857,2.5860868
0.6644007,-0.05843741,0.044769175,3.9974184,3.9831755,2.5055027
0.64369893,-0.056616586,0.043374233,3.8728647,3.8590658,2.427435
0.62364346,-0.054852605,0.04202284,3.7521994,3.7388303,2.3518043
0.604214,-0.053143688,0.040713627,3.6353004,3.622348,2.2785344
0.58539087,-0.051488098,0.039445274,3.52205,3.5095007,2.207551
0.5671551,-0.04988417,0.038216498,3.412333,3.4001749,2.1387827
0.5494883,-0.04833028,0.03702606,3.306039,3.2942598,2.0721598
0.53237253,-0.04682487,0.03587275,3.2030609,3.1916485,2.007615
0.51579064,-0.045366406,0.034755416,3.1032946,3.0922377,1.9450836
0.4997259,-0.043953426,0.03367293,3.0066397,2.995927,1.8845022
0.48416206,-0.04258451,0.032624193,2.9129987,2.9026198,1.82581
0.46908352,-0.041258276,0.031608157,2.8222773,2.8122218,1.7689476
0.45447502,-0.039973386,0.030623797,2.7343843,2.7246418,1.713858
0.44032195,-0.03872855,0.029670123,2.6492312,2.639792,1.6604856
0.42661,-0.037522513,0.028746175,2.5667322,2.557587,1.6087769
0.41332543,-0.03635407,0.027851023,2.4868047,2.4779441,1.5586798
0.40045488,-0.03522204,0.02698377,2.4093678,2.4007833,1.5101441
0.38798538,-0.034125283,0.02614354,2.3343444,2.3260272,1.4631207
0.37590447,-0.033062704,0.025329493,2.2616584,2.2536001,1.4175627
0.36419997,-0.032033235,0.024540812,2.1912374,2.18343,1.3734242
0.35286012,-0.031035837,0.0237767,2.1230104,2.115446,1.3306608
0.34187356,-0.030069515,0.023036398,2.0569088,2.04958,1.2892298
0.33122927,-0.029133296,0.022319155,1.9928668,1.9857662,1.2490894
0.3209166,-0.028226241,0.021624256,1.9308195,1.9239401,1.2101995
0.31092513,-0.027347442,0.020951003,1.8707051,1.8640398,1.1725209
0.30124485,-0.026496014,0.020298721,1.8124632,1.8060054,1.136016
0.29186612,-0.025671106,0.019666756,1.7560352,1.7497785,1.1006482
0.28277948,-0.024871891,0.019054472,1.7013649,1.6953028,1.0663818
0.27397585,-0.024097567,0.01846126,1.6483971,1.6425239,1.0331826
0.2654464,-0.023347357,0.017886521,1.5970789,1.5913886,1.0010175
0.25718257,-0.022620512,0.017329682,1.547359,1.5418458,0.969854
0.2491761,-0.021916302,0.016790183,1.4991874,1.4938458,0.93966097
0.24141894,-0.02123402,0.016267484,1.4525158,1.4473406,0.9104082
0.23390335,-0.020572986,0.015761063,1.4072977,1.4022835,0.8820663
0.22662178,-0.019932536,0.015270409,1.3634876,1.3586295,0.854607
0.21956696,-0.019312028,0.014795035,1.3210416,1.3163347,0.82800275
0.21273178,-0.01871084,0.014334463,1.2799174,1.275357,0.80222684
0.20610945,-0.01812837,0.013888231,1.2400736,1.2356552,0.7772535
0.1996933,-0.01756404,0.013455893,1.2014703,1.1971895,0.7530578
0.19347693,-0.017017277,0.013037017,1.1640689,1.1599214,0.7296154
0.1874541,-0.016487539,0.012631182,1.1278322,1.1238137,0.70690286
0.1816188,-0.015974294,0.012237982,1.0927236,1.0888302,0.6848975
0.17596516,-0.015477029,0.011857024,1.0587081,1.0549359,0.66357726
0.17048755,-0.014995245,0.011487928,1.0257516,1.0220969,0.6429208
0.16518047,-0.014528461,0.011130322,0.99382114,0.9902802,0.6229074
0.16003862,-0.014076209,0.010783849,0.9628848,0.95945406,0.6035171
0.15505685,-0.013638036,0.010448164,0.9329116,0.9295876,0.5847305
0.15023017,-0.013213505,0.010122929,0.9038715,0.900651,0.56652874
0.14555375,-0.01280219,0.009807819,0.87573546,0.8726152,0.54889363
0.1410229,-0.012403681,0.009502518,0.84847534,0.8454522,0.53180754
0.13663313,-0.012017577,0.0092067225,0.82206386,0.81913483,0.5152533
0.13238,-0.011643493,0.008920135,0.7964746,0.79363674,0.4992145
0.12825927,-0.0112810545,0.008642469,0.7716819,0.7689324,0.48367494
0.12426683,-0.010929898,0.008373447,0.74766105,0.74499714,0.46861914
0.12039868,-0.010589674,0.008112799,0.724388,0.721807,0.45403203
0.11665093,-0.010260041,0.007860266,0.7018394,0.69933873,0.43989903
0.113019854,-0.00994067,0.0076155937,0.67999274,0.6775699,0.426206
0.10950182,-0.00963124,0.0073785386,0.6588262,0.65647876,0.4129392
0.10609329,-0.009331442,0.0071488624,0.6383185,0.6360442,0.4000854
0.10279086,-0.009040978,0.006926336,0.6184492,0.6162457,0.3876317
0.09959124,-0.0087595545,0.006710736,0.59919846,0.5970635,0.3755657
0.09649122,-0.008486892,0.0065018483,0.5805469,0.57847846,0.36387533
