ax,ay,az,gx,gy,gz
2.2754753,0.08272802,1.118192,-3.9954908,-4.5500417,33.902126
1.8411874,0.4697488,0.74264455,-18.23209,-12.124417,34.615814
2.120019,0.35510606,0.99903,-16.60072,-13.867116,18.063963
2.4913876,-0.19451302,1.2359965,3.391183,-9.052946,-5.7379403
2.8798103,-0.30431226,1.3328753,17.341995,0.6814239,-22.814356
3.4580634,-0.10666565,1.3031077,24.25964,13.234921,-29.291075
3.7226706,0.35458112,1.0364778,25.91076,25.72842,-28.586277
3.583726,0.7237139,0.672867,23.682487,34.71359,-27.433008
3.3594682,0.82144356,0.31806785,22.982473,41.652744,-30.79902
3.1176817,0.7689351,-0.041440263,23.63195,46.207607,-37.727947
2.9679112,0.7097113,-0.36916855,22.822514,49.96468,-42.37269
2.8214586,0.75083125,-0.70756364,18.710896,53.237408,-43.44946
2.545409,0.75044394,-1.0716343,13.379677,55.31088,-42.280674
2.1384075,0.7267626,-1.4603148,8.485016,55.539036,-40.838547
1.7007058,0.7058537,-1.8245839,4.472083,52.78638,-42.37853
1.3724535,0.76553714,-2.1378984,0.6491502,48.307755,-45.978516
1.1744314,0.81942016,-2.354273,-4.184778,43.451153,-49.388428
1.0419154,0.7578209,-2.4979692,-9.19975,39.615612,-51.453823
0.84658974,0.603739,-2.6380653,-14.061017,36.04549,-52.33291
0.6266473,0.35009336,-2.777081,-17.376116,31.937195,-52.556168
0.46852452,0.117631264,-2.8842242,-18.849735,27.328342,-52.450947
0.3721812,0.06606732,-2.918307,-20.294594,22.483046,-51.50595
0.31093296,0.12358551,-2.8822715,-22.62336,17.946978,-50.221592
0.24889037,0.12014517,-2.7931132,-25.834227,14.085513,-49.18389
0.16905512,-0.037931576,-2.6775405,-27.42406,11.205688,-48.48452
0.036463145,-0.18921499,-2.6204278,-28.634392,7.7703767,-47.35959
-0.08301469,-0.30848217,-2.5754714,-29.813004,3.7351184,-45.87569
-0.17559394,-0.41428542,-2.5270047,-30.923655,-0.68601686,-44.386154
-0.23396301,-0.5359717,-2.4439342,-32.51738,-5.2535453,-43.36312
-0.22269605,-0.7724431,-2.304832,-32.54374,-8.519664,-43.01932
-0.21326603,-1.0335459,-2.1949236,-32.08065,-11.253228,-41.73818
-0.20926768,-1.2447814,-2.108137,-31.445833,-13.735783,-39.08874
-0.21622056,-1.39951,-2.0369747,-30.81023,-16.219873,-35.707047
-0.24068193,-1.5321641,-1.9369283,-30.214272,-18.923761,-32.438538
-0.2430244,-1.6789547,-1.7888526,-29.152313,-21.227589,-29.92961
-0.2406866,-1.889963,-1.6264658,-28.18515,-23.171103,-27.342688
-0.21584916,-2.1788137,-1.4766339,-26.038763,-24.47162,-24.42478
-0.18076296,-2.4108603,-1.3436424,-23.17929,-25.491354,-20.818138
-0.14067712,-2.536988,-1.1960262,-20.146208,-26.342455,-16.710747
-0.09633468,-2.5735176,-1.0095034,-17.367458,-27.07763,-12.995275
-0.0109134335,-2.564882,-0.78135335,-15.145393,-27.085064,-9.941499
0.069291115,-2.6673698,-0.60984117,-12.366735,-26.33464,-7.233468
0.14338763,-2.7877624,-0.49662408,-8.525954,-25.87568,-4.0353346
0.28484365,-2.7775424,-0.402818,-4.5311565,-25.31394,-0.21613494
0.4572637,-2.6578903,-0.3255773,-1.2258033,-24.331781,3.5641105
0.61380285,-2.5081568,-0.2683589,1.7755389,-22.88814,6.768048
0.7349952,-2.3510692,-0.24225244,4.8321505,-21.133274,9.517518
0.8248214,-2.1465144,-0.2515042,7.963469,-19.336641,12.04436
0.88578826,-1.860752,-0.2890931,10.87375,-17.842909,14.351446
0.93183774,-1.4871324,-0.33737,12.700669,-16.813742,16.161865
0.98401934,-1.0496514,-0.38265327,13.595971,-15.783483,17.0063
1.0174798,-0.6309127,-0.43918294,13.625137,-14.65767,16.898489
1.0225083,-0.2787707,-0.5121047,13.082267,-13.542015,16.077057
1.003465,0.0012603013,-0.6020435,12.202493,-12.50688,14.752535
0.95611024,0.21648203,-0.7125559,10.916693,-11.957097,13.198234
0.8977272,0.4089302,-0.82659036,9.355935,-11.826375,11.683034
0.85561264,0.61813617,-0.9246619,7.205829,-11.939251,9.932062
0.8307179,0.81742346,-1.0132252,4.455307,-12.1980505,7.4962497
0.8063884,0.9467482,-1.1011316,1.3008267,-12.605111,4.571438
0.7678095,0.98792845,-1.1873149,-2.0040045,-13.3694935,1.6789588
0.73650277,0.9654855,-1.2612668,-5.208154,-14.188193,-0.917219
0.7022423,0.94055605,-1.3386883,-8.389134,-15.134455,-3.110104
0.64751977,0.9067656,-1.4126424,-11.652815,-16.600134,-4.986075
0.5877551,0.8474444,-1.4625998,-14.882465,-18.46389,-6.936989
0.5251196,0.7616856,-1.4960738,-18.213326,-20.723173,-9.03102
0.44387978,0.61585623,-1.5231715,-21.365818,-23.285538,-10.839982
0.37305754,0.44305798,-1.5419782,-24.37997,-25.878267,-12.184556
0.31796756,0.26432365,-1.5529518,-27.020937,-28.348267,-13.343148
0.26852992,0.06346059,-1.5542308,-29.05655,-30.822971,-14.3224325
0.23602028,-0.17506798,-1.5280124,-30.126848,-32.998837,-14.706496
0.2291104,-0.42271557,-1.4737252,-30.5124,-34.843735,-14.290717
0.23657887,-0.6346106,-1.4043559,-30.30492,-36.243164,-12.970795
0.23392488,-0.78281987,-1.3296905,-29.759323,-37.404472,-11.066565
0.22225599,-0.8792404,-1.247145,-29.206512,-38.628197,-9.333459
0.2305161,-0.97734267,-1.143075,-28.49977,-39.7866,-8.380381
0.2891061,-1.124797,-1.0072527,-27.491667,-40.306408,-7.4179215
0.34802917,-1.3092014,-0.8764939,-26.049528,-40.274815,-5.890642
0.39357075,-1.5072513,-0.7614534,-24.006605,-40.047615,-3.6766937
0.4379187,-1.6531209,-0.6512184,-21.29616,-39.762306,-0.8682057
0.49744678,-1.6969414,-0.5302058,-18.51564,-39.343822,1.9513798
0.58217734,-1.6782931,-0.39410383,-15.871052,-38.617733,4.1165457
0.67667574,-1.6619141,-0.26178864,-13.37894,-37.363598,5.8161216
0.7670979,-1.6793449,-0.1546474,-10.945809,-35.52577,7.5013847
0.8318888,-1.7067167,-0.09502035,-7.961394,-33.39191,9.59119
0.84467983,-1.6551985,-0.057913918,-5.2106204,-31.849936,11.955399
0.86218023,-1.5413324,0.006863589,-2.7011294,-30.476082,13.805123
0.8955045,-1.4217799,0.077074096,-0.38858804,-28.902826,14.873653
0.92324954,-1.3261449,0.12748057,1.7066422,-27.157627,15.521357
0.9402039,-1.2402947,0.15348883,3.6930802,-25.265116,16.167603
0.9546764,-1.150874,0.1632201,5.172614,-23.335196,16.963543
0.95926017,-1.0491612,0.15077661,6.4942865,-21.30593,17.785843
0.9406201,-0.94124764,0.12194331,7.5122056,-19.298946,18.549568
0.906387,-0.8523092,0.0788727,8.5666895,-17.485464,19.04648
0.8747388,-0.76558995,0.028496895,9.616446,-15.945172,19.363419
0.85350674,-0.6709758,-0.023727734,10.442111,-14.711293,19.685606
0.8510517,-0.5714373,-0.06951866,11.131001,-13.434318,19.810583
0.84076446,-0.47322592,-0.11505294,11.700836,-12.086957,19.696892
0.8089544,-0.37932935,-0.16096462,12.069586,-10.774444,19.354061
0.76380396,-0.29195255,-0.20333661,12.213116,-9.627229,18.802706
0.73216444,-0.2106374,-0.22956735,11.919304,-8.411252,17.818731
0.74024856,-0.14562234,-0.23598355,11.526075,-6.722651,16.377695
0.7531372,-0.0850554,-0.2525339,11.189018,-4.521062,14.619829
0.7445786,-0.03235423,-0.2887325,11.058829,-2.07806,12.77807
0.6904037,0.013760382,-0.3529175,11.033708,-0.003242034,11.098925
