ax,ay,az,gx,gy,gz
2.0318365,2.1754742,3.3145754,18.532896,-33.40303,20.419277
2.5912867,2.3539233,3.7783802,9.61539,-26.095442,15.197543
2.902726,2.0291665,3.9970405,8.125468,-19.9503,8.333647
3.2041512,1.7444143,4.295451,9.348903,-14.065295,4.7544007
3.5330336,1.5880648,4.5960593,8.009991,-8.95378,5.2012243
3.9810092,1.2348986,4.978993,5.2198324,-3.6943817,6.4110837
4.4522934,0.78061223,5.352226,6.548076,2.7479532,5.0778565
4.8164353,0.31268197,5.7295713,10.979164,10.325725,1.9239173
5.105544,-0.031753242,6.095227,16.140139,18.5862,-0.55684906
5.3907266,-0.19283573,6.348352,21.11151,28.108532,-2.4151871
5.6453004,-0.18016562,6.4007397,25.547075,37.76098,-4.569642
5.8276606,-0.1419855,6.279717,28.636005,47.43805,-6.452809
5.914829,-0.12980136,5.9753475,30.479832,57.105473,-8.068819
5.876329,-0.1703557,5.4886985,32.00848,66.550896,-9.822838
5.7078395,-0.22257417,4.855434,33.8275,75.10571,-11.954658
5.387807,-0.25411195,4.0795803,35.410824,82.179665,-14.15605
4.983186,-0.272925,3.275872,36.24452,87.49066,-15.8948765
4.5166087,-0.27754,2.4788783,36.437702,91.03612,-16.98562
4.005508,-0.26589218,1.716207,36.35617,92.941444,-17.775154
3.501506,-0.2296929,1.0160776,36.071316,93.40193,-18.322577
3.0364037,-0.1481936,0.39452213,35.6253,92.85653,-19.04673
2.589312,-0.05980731,-0.17748554,35.18605,91.63594,-19.99994
2.161376,0.042968266,-0.70947284,34.120567,89.67549,-20.375015
1.7404889,0.15979931,-1.2148336,32.371265,86.66719,-20.214905
1.3557627,0.2862268,-1.6730831,30.047873,82.47677,-19.99742
1.0164776,0.39623836,-2.0781853,27.64147,77.69867,-19.995602
0.7119376,0.48592165,-2.4510918,25.091427,72.452255,-19.999447
0.442253,0.5498158,-2.7932022,22.424324,66.82564,-19.78549
0.20620888,0.6091658,-3.0992484,19.558321,60.95411,-19.36452
-0.006466981,0.6703127,-3.3663063,16.703024,54.574345,-18.956846
-0.18515301,0.76385605,-3.5933301,13.850033,47.769238,-18.854227
-0.32812825,0.8681073,-3.7761734,10.773203,40.6947,-18.968676
-0.42989567,0.9482644,-3.9117165,7.3864064,33.491913,-19.123089
-0.48876977,0.9870672,-4.0015693,3.9567602,26.363997,-19.333977
-0.50307006,1.009123,-4.0489264,0.6055663,19.376463,-19.500463
-0.4801202,1.0329849,-4.0413823,-2.7285364,12.337374,-20.069836
-0.44240677,1.0063963,-3.9862607,-5.7995024,5.2707443,-21.150616
-0.35882887,0.8793558,-3.8843014,-8.491016,-1.785136,-22.419914
-0.17229371,0.696903,-3.7066176,-10.653759,-8.424685,-23.10936
0.10137504,0.5807737,-3.4563024,-12.603125,-13.984006,-23.739557
0.40367866,0.5250976,-3.1180584,-13.888167,-18.387917,-25.646744
0.6677728,0.4365644,-2.7444594,-14.464968,-21.85751,-27.95613
0.9072769,0.32812214,-2.3652675,-15.10526,-24.919699,-29.230095
1.1615317,0.21934381,-1.9756962,-16.02775,-27.74346,-29.365917
1.4510058,0.09745854,-1.5498155,-16.891651,-29.551731,-28.421387
1.765249,-0.0008648735,-1.0993589,-17.636631,-30.293686,-27.287413
2.0898285,-0.09596101,-0.64932746,-17.60092,-29.538797,-26.960705
2.3854475,-0.19508311,-0.23283754,-17.204473,-27.525042,-26.881727
2.6199675,-0.30377316,0.13810381,-17.042408,-24.830256,-26.156652
2.8040361,-0.4261762,0.46829644,-16.892942,-21.720354,-24.969769
2.9538178,-0.55561554,0.742523,-16.454927,-18.15729,-23.337105
3.0886753,-0.671081,0.9764982,-15.591319,-14.206891,-21.476404
3.221112,-0.74026453,1.1898866,-14.297683,-9.807171,-19.912733
3.34428,-0.7664002,1.370274,-12.559319,-4.898823,-18.830141
3.4500473,-0.7670164,1.4799173,-11.029175,0.5609728,-17.913164
3.5321534,-0.7775433,1.4836493,-9.7930355,6.146096,-16.882889
3.5893981,-0.7993271,1.4161513,-8.443405,11.836649,-16.201286
3.6036413,-0.82019264,1.2877095,-6.782496,17.59364,-16.010376
3.5510876,-0.8395267,1.0938581,-4.987649,23.178308,-16.045647
3.4262333,-0.8555028,0.8361141,-3.3679125,27.952202,-15.849048
3.2376986,-0.85847485,0.5268466,-1.9559755,31.925331,-15.478976
3.0230422,-0.8481894,0.20809214,-0.6488328,35.10287,-15.115897
2.7883139,-0.81395835,-0.10436312,0.59709275,37.509125,-14.81476
2.5410254,-0.7519224,-0.4046387,1.6897705,39.326485,-14.655902
2.2812815,-0.678471,-0.6953772,2.7331579,40.64941,-14.732255
1.9987767,-0.5976695,-0.9972547,3.464598,41.24322,-14.778547
1.7226261,-0.52499515,-1.2971518,3.873864,41.0051,-14.668766
1.4902571,-0.46517256,-1.5611988,3.8826976,40.163868,-14.140925
1.4426625,-0.45031628,-1.5113386,3.7586954,38.881145,-13.689304
1.3966606,-0.4359571,-1.4631467,3.6388423,37.64135,-13.252795
1.3521912,-0.4220763,-1.4165604,3.5229824,36.442856,-12.83083
1.3091974,-0.40865615,-1.37152,3.4109669,35.284134,-12.422865
1.2676249,-0.3956796,-1.3279685,3.3026545,34.163715,-12.028387
1.2274216,-0.38313046,-1.2858515,3.1979094,33.080196,-11.646902
1.1885382,-0.37099326,-1.245117,3.0966027,32.03225,-11.27794
1.150927,-0.35925323,-1.2057154,2.9986112,31.018593,-10.92105
1.1145428,-0.3478962,-1.1675992,2.9038165,30.038006,-10.575805
1.0793424,-0.33690864,-1.1307231,2.8121054,29.08932,-10.24179
1.045284,-0.32627755,-1.0950434,2.7233703,28.171413,-9.918613
1.012328,-0.31599057,-1.0605185,2.637507,27.283216,-9.605896
0.980436,-0.30603576,-1.0271084,2.554416,26.423697,-9.303276
0.94957155,-0.29640162,-0.99477464,2.4740021,25.59187,-9.010406
0.9196994,-0.28707725,-0.9634805,2.3961735,24.786785,-8.726951
0.89078575,-0.2780521,-0.93319046,2.3208423,24.007536,-8.452592
0.8627982,-0.269316,-0.9038706,2.2479239,23.253244,-8.18702
0.8357055,-0.2608592,-0.87548816,2.177337,22.52307,-7.9299397
0.8094776,-0.25267237,-0.84801173,2.109003,21.816202,-7.6810656
0.78408575,-0.24474648,-0.82141113,2.0428474,21.131866,-7.440124
0.759502,-0.23707284,-0.79565704,1.9787972,20.46931,-7.206851
0.7356996,-0.2296431,-0.7707216,1.9167827,19.827814,-6.980992
0.71265274,-0.22244921,-0.7465777,1.8567368,19.20668,-6.762303
0.69033664,-0.21548341,-0.72319925,1.7985947,18.60524,-6.550547
0.66872734,-0.20873822,-0.7005612,1.7422941,18.022846,-6.345498
0.64780164,-0.20220642,-0.6786394,1.6877745,17.45888,-6.146936
0.62753737,-0.19588107,-0.65741044,1.6349782,16.912737,-5.9546494
0.6079129,-0.18975545,-0.6368518,1.5838488,16.383839,-5.768435
0.5889076,-0.1838231,-0.6169418,1.5343326,15.871628,-5.588095
0.5705014,-0.17807773,-0.59765935,1.4863774,15.375563,-5.41344
0.55267495,-0.17251334,-0.5789843,1.4399326,14.8951235,-5.2442865
0.5354096,-0.1671241,-0.5608971,1.3949497,14.429806,-5.080457
0.51868737,-0.16190436,-0.54337883,1.3513818,13.979125,-4.921781
0.50249076,-0.15684871,-0.5264112,1.3091832,13.54261,-4.768093
0.48680297,-0.1519519,-0.50997657,1.2683105,13.11981,-4.6192327
0.47160774,-0.14720882,-0.494058,1.228721,12.710283,-4.4750466
0.45688936,-0.14261459,-0.47863898,1.190374,12.313609,-4.3353853
0.44263265,-0.13816446,-0.46370357,1.1532297,11.929377,-4.200104
0.42882288,-0.13385384,-0.44923642,1.1172498,11.55719,-4.0690646
0.41544586,-0.12967831,-0.4352226,1.0823976,11.196667,-3.942131
0.40248787,-0.12563357,-0.4216478,1.048637,10.847436,-3.8191738
0.3899356,-0.12171548,-0.408498,1.0159335,10.509141,-3.7000666
0.37777627,-0.117920026,-0.39575982,0.9842537,10.181435,-3.5846877
0.3659974,-0.11424334,-0.38342023,0.9535651,9.863983,-3.4729187
0.35458696,-0.11068166,-0.3714666,0.9238365,9.55646,-3.3646462
0.34353334,-0.10723135,-0.3598868,0.89503753,9.258554,-3.2597592
0.33282527,-0.10388891,-0.348669,0.8671389,8.969962,-3.1581511
0.32245186,-0.10065093,-0.33780178,0.84011215,8.690389,-3.0597188
0.3124026,-0.09751412,-0.3272741,0.8139299,8.419551,-2.9643621
0.30266723,-0.09447531,-0.3170753,0.7885655,8.157174,-2.8719842
0.29323596,-0.091531396,-0.30719507,0.7639933,7.902992,-2.7824914
0.28409913,-0.08867941,-0.2976233,0.7401884,7.656746,-2.6957932
0.27524757,-0.08591647,-0.28835037,0.71712667,7.4181876,-2.6118014
0.2666723,-0.08323976,-0.27936688,0.69478476,7.187076,-2.5304313
0.25836465,-0.08064659,-0.27066377,0.6731401,6.9631767,-2.4516006
0.25031623,-0.07813433,-0.2622322,0.65217084,6.7462635,-2.3752298
0.24251889,-0.075700454,-0.2540637,0.6318558,6.536118,-2.3012416
0.23496479,-0.073342495,-0.24614999,0.6121744,6.3325276,-2.2295613
0.2276463,-0.07105809,-0.23848312,0.5931069,6.135288,-2.160117
0.22055605,-0.068844914,-0.23105533,0.5746341,5.9441986,-2.092838
0.2136869,-0.066700764,-0.22385919,0.55673724,5.759068,-2.0276573
0.2070319,-0.06462346,-0.2168874,0.53939843,5.57971,-1.9645085
0.2005844,-0.06261092,-0.21013296,0.5226002,5.405943,-1.9033287
0.19433787,-0.06066111,-0.20358908,0.50632554,5.237593,-1.8440559
0.18828607,-0.05877208,-0.19724917,0.4905582,5.074491,-1.7866307
0.18242286,-0.056941926,-0.19110686,0.47528228,4.916472,-1.7309953
0.17674239,-0.055168808,-0.18515597,0.46048245,4.7633777,-1.6770937
0.17123893,-0.053450946,-0.17939053,0.4461438,4.615054,-1.624872
0.16590697,-0.051786613,-0.17380475,0.432252,4.4713526,-1.5742774
0.16074114,-0.05017414,-0.168393,0.418793,4.3321285,-1.5252593
0.15573625,-0.0486119,-0.16314986,0.4057533,4.1972423,-1.4777683
0.1508873,-0.047098335,-0.15807009,0.3931199,4.066558,-1.431757
0.14618939,-0.045631923,-0.15314855,0.38088006,3.9399452,-1.387179
0.14163783,-0.044211186,-0.14838032,0.3690215,3.8172765,-1.3439896
0.13722806,-0.04283471,-0.14376062,0.35753232,3.6984286,-1.3021456
0.13295564,-0.04150111,-0.13928482,0.346401,3.583283,-1.261605
0.1288163,-0.04020904,-0.13494843,0.3356164,3.4717236,-1.2223271
0.12480588,-0.03895722,-0.1307471,0.32516772,3.3636389,-1.1842726
0.12092036,-0.037744384,-0.12667662,0.31504443,3.2589204,-1.1474032
0.11715585,-0.03656932,-0.12273291,0.30523643,3.1574633,-1.1116822
0.11350858,-0.035430852,-0.118912004,0.29573387,3.0591657,-1.0770735
0.10997488,-0.034327835,-0.1152101,0.28652722,2.9639292,-1.0435425
0.10655124,-0.03325917,-0.111623466,0.2776073,2.8716586,-1.0110558
0.103234194,-0.03222378,-0.10814852,0.26896513,2.7822611,-0.9795807
0.100020446,-0.031220632,-0.10478179,0.26059204,2.6956475,-0.94908565
0.09690677,-0.03024872,-0.10151989,0.2524797,2.6117308,-0.9195402
0.09389004,-0.029307071,-0.098359555,0.24461997,2.5304272,-0.89091474
0.090967245,-0.028394742,-0.09529762,0.23700494,2.451655,-0.8631806
0.08813545,-0.02751082,-0.09233102,0.22962703,2.3753355,-0.83630997
0.08539183,-0.026654419,-0.0894568,0.22247884,2.301392,-0.810276
0.08273363,-0.02582468,-0.08667206,0.2155532,2.229751,-0.78505254
0.0801582,-0.025020778,-0.08397402,0.20884317,2.1603405,-0.7606144
0.07766294,-0.024241904,-0.08135998,0.20234208,2.0930912,-0.73693717
0.07524537,-0.02348728,-0.07882733,0.19604337,2.0279355,-0.71399707
0.072903074,-0.022756148,-0.07637353,0.18994078,1.9648082,-0.6917712
0.070633695,-0.022047779,-0.07399612,0.18402816,1.9036462,-0.67023724
0.06843497,-0.021361463,-0.07169273,0.17829964,1.8443885,-0.6493737
0.06630469,-0.020696513,-0.06946104,0.17274944,1.7869755,-0.6291597
0.06424074,-0.020052264,-0.06729884,0.16737203,1.7313498,-0.60957503
0.062241036,-0.019428072,-0.06520394,0.16216204,1.6774559,-0.5906
0.060303587,-0.018823313,-0.06317426,0.15711422,1.6252398,-0.57221574
0.05842645,-0.018237378,-0.061207768,0.15222357,1.5746492,-0.5544037
0.056607753,-0.017669685,-0.059302494,0.14748515,1.5256336,-0.5371463
0.054845672,-0.017119665,-0.05745653,0.14289424,1.4781438,-0.52042603
0.053138446,-0.016586768,-0.05566803,0.13844626,1.4321324,-0.50422627
0.051484365,-0.016070457,-0.05393521,0.13413674,1.3875532,-0.48853084
0.049881775,-0.0155702215,-0.05225633,0.12996136,1.3443619,-0.473324
0.04832907,-0.015085557,-0.050629713,0.12591597,1.302515,-0.45859054
0.046824705,-0.01461598,-0.049053732,0.12199651,1.2619709,-0.4443157
0.045367166,-0.0141610205,-0.04752681,0.11819906,1.2226889,-0.43048525
0.043955,-0.013720223,-0.04604742,0.11451982,1.1846297,-0.41708532
0.042586792,-0.013293148,-0.04461408,0.11095511,1.1477551,-0.40410253
