ax,ay,az,gx,gy,gz
0.01625774,-0.48079717,-0.44875127,25.985592,2.464824,-28.8894
0.054108016,-0.059750214,-0.796186,23.86383,11.842243,-40.26658
0.32919574,-0.5493312,-0.94765913,21.065413,1.1795048,-32.519463
0.5701613,-0.66353,-0.35415313,5.9843197,0.35135007,-18.611214
0.87787306,-0.15932849,-0.039138526,-24.450071,-5.488237,-6.9698067
0.97755337,-0.47388896,-0.09097173,-47.361313,0.21271789,-6.8594503
0.8004837,-1.175234,-0.27837706,-31.967178,12.348181,-3.9366865
0.44011906,-0.9881742,-0.91239864,-11.75941,12.164938,-9.833784
0.37885278,-0.17152688,-0.7347519,-1.0436574,13.118047,-9.864694
0.9831488,0.32385474,0.09433974,0.18979618,19.503702,0.76861376
0.5532859,0.19642954,-0.8927468,0.7495437,22.217735,2.8267798
0.2681045,0.2335898,-1.403107,-1.1594205,21.665556,-0.008279681
0.18945147,0.5745526,-2.5763285,-4.501917,12.763,-2.329638
0.07553364,0.58895,-3.481801,-6.1797423,-3.958494,-3.0518064
0.1847193,0.62852937,-3.7744932,2.359317,-9.452142,-1.1502534
0.20849384,1.0416744,-4.600701,6.7630033,-23.768661,-5.046117
0.08640023,1.3649893,-5.4249496,13.629173,-40.382072,-13.930111
0.118151054,1.9456651,-6.7674093,16.399897,-55.330784,-25.593794
-0.05186088,2.51945,-7.3919587,10.937449,-76.151505,-41.681892
0.03164662,2.7489433,-7.5778594,5.23284,-102.67268,-60.796238
0.69002163,2.8392403,-7.050805,-1.652153,-119.056366,-69.38307
1.3106008,2.40026,-6.6999927,-7.4660864,-138.2779,-80.4999
2.322575,1.2272542,-5.3456,-9.276514,-143.39278,-79.227554
2.4649286,9.093061e-05,-4.2921906,-4.143983,-149.59634,-69.56092
2.6385953,-0.5653111,-3.111531,11.825934,-149.4372,-67.5791
3.1659594,0.07351991,-0.7959732,25.991386,-135.84897,-71.18042
2.4464803,0.71346855,1.0692502,19.917881,-113.35334,-70.107506
0.8750829,0.09565427,2.2162025,7.055232,-117.27534,-59.70658
1.1781791,0.20695378,3.5678246,-3.0820503,-115.358025,-37.76425
1.7432407,0.72526187,5.058348,-17.942598,-116.69272,-27.766956
1.913487,0.6132041,6.392236,-21.319464,-103.05404,-32.06866
1.7234757,0.03565236,7.228493,-7.054499,-79.32694,-48.312847
1.6286993,-1.1328799,7.933219,5.3066754,-60.715412,-53.01065
1.9703528,-1.1651478,8.1597395,8.379801,-40.36655,-44.70694
2.2813134,-1.1002058,7.853986,5.5902715,-24.3716,-34.546562
1.889242,-0.66654456,7.051888,5.8746233,-15.993797,-26.907076
1.7540927,-0.30245435,6.991344,3.3265882,-5.85285,-26.417944
1.4775155,-0.19196042,6.7475963,5.519473,10.2017,-25.126703
1.1019819,0.5738833,6.030722,13.002973,17.259512,-29.439074
1.0878842,1.6877456,6.1423726,21.203558,31.032707,-37.60458
0.99196345,2.548243,6.3691134,30.488827,40.91594,-49.054688
0.6118359,3.575753,7.213218,21.107922,52.585728,-63.415955
0.011697669,5.5323267,8.0295725,-3.088086,61.25002,-73.83508
-0.13808508,6.3732595,7.592649,-17.491188,74.46796,-91.22709
