ax,ay,az,gx,gy,gz
1.3062936,-3.0415745,2.6627095,2.2315369,26.045803,-59.499557
0.80014384,-3.2967076,1.7298889,-14.283934,28.311707,-24.560423
0.23245133,-4.035056,1.471663,-1.3763933,17.611212,-1.5792261
0.8932386,-4.640338,1.9011449,14.171232,29.946068,18.4677
1.6744767,-4.709538,1.8400695,15.159037,50.10765,27.842064
1.567679,-4.333918,1.3476317,30.120537,48.94048,24.715754
1.3557789,-4.4838285,1.015677,47.12479,50.12121,24.881224
1.405552,-4.6905255,0.75636286,49.082153,46.341114,39.023468
1.395867,-4.752353,0.12186873,40.975777,33.383816,63.03877
1.3603146,-4.9324403,-0.21258828,54.718914,42.175632,78.39017
1.0691448,-4.6252146,-1.1763685,70.31225,48.93004,87.25303
0.5485788,-4.096202,-2.2572193,89.265656,43.55641,91.87762
0.011533827,-3.4651465,-3.2203708,97.137276,31.957302,94.13795
-0.47454467,-2.7299595,-3.864449,104.03851,14.815609,96.11625
-0.30363342,-2.8711379,-3.722407,118.41936,17.505175,96.34096
-0.59140044,-2.5384934,-4.5346637,124.280174,2.9122066,98.75731
-0.5340559,-2.270454,-4.6639843,125.43925,-8.062952,108.45228
-0.10774939,-1.3068265,-4.667424,120.61385,-20.942745,114.273384
0.086865194,0.43785828,-4.809107,100.3836,-37.914856,108.43851
0.4503551,1.3038017,-4.017556,98.27461,-45.88034,96.87063
0.14479886,1.5426213,-4.726526,88.72403,-59.041035,82.77034
0.2861024,0.82130015,-4.3254094,87.82468,-67.771645,76.17774
0.82735074,1.098432,-3.5825171,85.92308,-62.731163,81.41066
0.84612215,1.958104,-3.5066922,77.39254,-65.753075,79.05186
0.3713615,2.624149,-3.7683737,67.12093,-67.03883,77.387184
-0.007866181,2.9168415,-3.9874141,48.227406,-80.83323,62.861835
-0.04929381,2.3038568,-3.5733461,56.192158,-87.97432,51.390526
0.109614156,2.6819081,-3.164361,61.662556,-96.58968,48.055916
0.6343422,3.8071165,-2.3975198,58.437733,-97.54517,32.535362
1.145891,4.9894104,-1.617102,40.874195,-103.608894,12.814588
1.1973854,3.9588265,-1.3632135,23.217491,-114.121895,6.9673004
0.94209087,3.3077884,-1.3029149,12.893346,-119.66811,9.544129
1.1567371,3.2658243,-0.97275174,6.6421213,-124.934395,11.444754
1.5432401,4.3735995,-0.69519985,-12.682078,-129.67342,1.1703327
1.2408966,4.689829,-0.87325984,-17.865128,-139.23059,-15.387357
1.4101707,4.93245,-0.7096734,-22.642147,-135.5138,-25.477861
1.3828145,4.4049616,-0.08673068,-28.525133,-137.89711,-29.72724
1.8735344,4.496291,0.6184658,-38.07912,-127.5959,-27.987576
1.2187783,4.416913,-0.12617539,-47.27712,-132.37613,-28.326395
0.7171253,4.5273476,-0.97607726,-59.32281,-144.87685,-36.974873
0.8361946,4.165289,-0.48890716,-66.30831,-142.95244,-45.792637
1.0390384,4.29695,0.67039406,-83.244835,-129.10973,-46.090496
1.2131133,5.4941473,1.6914178,-90.952,-104.639755,-52.76039
1.4820958,6.138822,1.120566,-124.38655,-92.12207,-81.3928
2.528564,4.8712316,0.7308003,-144.45815,-94.29329,-93.88969
3.6858418,3.8180923,1.1013113,-157.86934,-91.3786,-102.37505
4.45753,2.4927897,1.2956569,-167.48459,-86.723564,-112.47256
5.3253403,1.4313062,1.7553959,-179.6953,-79.61788,-116.26833
6.9568477,-0.6777554,3.3211377,-195.62257,-44.118385,-102.551735
7.6405573,-3.332065,3.7741067,-208.5485,-12.8445425,-92.25055
7.388489,-5.6940193,3.3947506,-198.64125,17.253246,-64.057434
7.075198,-6.0639143,3.2612543,-183.01257,38.130302,-43.339954
6.5527825,-5.226652,3.1398735,-164.94144,63.334232,-40.83675
5.8495173,-5.5649247,2.7871573,-146.7712,80.5738,-35.335236
4.8813086,-6.70853,2.0318217,-140.34415,97.68902,-30.11923
4.3538857,-7.0865936,2.2111967,-115.82917,115.106094,-8.475459
3.9377587,-6.692403,1.6469399,-99.00627,121.3863,0.0156107545
3.2546945,-6.7566533,0.9964889,-75.18355,130.28214,5.802066
3.3530905,-6.383398,1.1481138,-59.16268,147.26102,26.12705
2.666137,-5.8045197,-0.066200145,-52.556816,154.37685,34.47299
2.2870536,-6.0665293,-0.5868314,-36.61114,152.35226,46.759148
2.2389455,-6.2002797,-0.782114,-25.037512,158.4228,57.84272
1.5950094,-6.033946,-1.789898,-4.3004627,157.05736,61.01498
0.5437692,-6.382934,-2.8660467,29.802652,148.64145,65.82867
0.033729337,-5.13618,-3.406004,51.634037,138.32019,72.51795
0.08363007,-4.769871,-3.0568442,63.708294,131.78961,79.11309
-0.02681117,-4.2685256,-3.441726,64.69842,135.79689,83.507576
-0.97936064,-3.1168222,-4.2889624,55.669014,119.72996,80.37277
-1.2526321,-1.938312,-4.4633594,44.56255,93.189896,67.46308
-1.3581145,-1.181273,-4.4132414,50.796783,80.21229,61.642986
-1.0719293,-0.42993778,-4.1971216,48.01062,60.357418,58.726658
-1.0932372,0.5435296,-4.238584,39.300316,44.97754,57.900616
-1.0234321,0.95743924,-3.7844994,37.219852,24.761585,61.189404
-0.5747811,1.7033468,-3.3473392,25.242392,20.926674,70.592354
-0.8617513,2.9013433,-3.492905,20.825903,7.708264,60.582157
-0.78344893,3.5344536,-3.1768575,10.86569,-6.036461,58.840378
0.3148257,3.5378864,-1.4603089,10.704466,0.40030015,68.91939
1.749786,4.1025033,-0.20792134,-0.20749953,18.429829,74.02527
1.6233528,4.750585,-0.16861777,-23.280201,28.177723,71.78648
1.6110327,4.7609196,-0.67727846,-49.31566,30.269054,61.727867
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
