ax,ay,az,gx,gy,gz
0.325,-1.335,3.675,-3.906,-5.249,-28.992
0.608,-1.077,4.206,-14.099,11.597,-15.381
0.924,-1.881,4.139,-23.743,22.644,-4.7
1.11,-2.388,3.957,-35.706,30.701,9.216
1.101,-2.512,3.809,-41.565,38.391,7.996
1.077,-2.637,3.297,-35.95,49.622,6.775
1.153,-3.307,2.417,-18.433,52.063,3.357
1.665,-3.646,2.115,-4.639,57.312,9.583
1.948,-3.996,1.651,7.202,68.237,18.494
1.842,-4.34,0.857,22.034,73.975,25.94
1.794,-4.326,0.211,42.725,78.674,34.241
1.976,-3.345,-0.33,39.49,88.074,46.143
1.455,-3.01,-1.273,38.696,89.294,55.176
1.086,-3.034,-2.168,34.912,88.196,66.284
0.813,-3.043,-3.283,37.537,82.275,78.674
0.531,-2.761,-4.168,47.18,66.528,92.163
0.541,-2.058,-4.867,62.195,48.95,96.497
1.0,-1.455,-4.675,77.576,37.781,99.487
1.378,-0.785,-4.575,88.684,33.081,100.464
1.316,-0.34,-4.886,102.539,29.236,101.807
0.933,-0.053,-5.402,113.037,13.916,105.896
0.718,0.431,-5.833,104.736,-0.977,115.295
0.79,1.0,-6.053,89.478,-18.86,126.282
0.689,1.617,-6.182,82.275,-35.461,128.174
0.828,2.201,-5.761,91.98,-45.593,114.99
1.196,2.766,-5.23,92.346,-53.467,101.562
0.809,3.383,-5.201,81.177,-62.317,98.267
0.321,3.551,-5.288,72.876,-76.233,95.886
0.144,3.713,-5.048,65.186,-92.957,89.783
0.67,3.895,-4.087,60.791,-103.271,75.134
1.617,4.431,-2.948,59.937,-101.99,57.129
1.924,5.412,-1.991,53.894,-97.595,38.452
1.455,5.455,-1.613,42.603,-97.412,22.278
1.01,5.441,-1.168,28.87,-99.121,8.301
1.101,5.589,-0.33,18.738,-102.051,-6.226
1.622,5.91,0.852,5.676,-96.863,-23.254
2.273,6.446,2.225,-18.25,-89.172,-31.799
2.594,6.412,3.096,-39.001,-80.627,-38.147
2.976,5.981,3.766,-54.443,-73.547,-44.189
3.196,4.938,4.374,-68.604,-63.965,-47.485
3.283,4.134,4.776,-73.914,-45.227,-62.683
3.106,3.273,4.924,-72.998,-31.433,-77.148
2.718,2.464,4.651,-69.397,-17.151,-82.214
2.144,1.89,4.374,-70.007,-8.057,-83.496
1.727,1.823,4.158,-78.979,0.427,-88.501
1.613,1.263,3.967,-84.595,12.268,-94.299
1.359,-0.354,3.589,-79.529,23.804,-95.215
0.718,-1.0,3.196,-76.172,31.311,-96.313
0.239,-1.282,2.909,-78.064,36.987,-94.971
0.091,-1.603,2.603,-82.153,42.847,-90.454
0.244,-2.306,2.292,-82.947,49.072,-77.759
0.345,-2.881,1.991,-79.041,53.833,-71.35
0.297,-3.158,1.522,-76.599,59.998,-62.317
-0.191,-3.775,0.306,-59.143,59.265,-50.171
-0.574,-4.465,-0.388,-48.218,52.368,-38.086
-0.072,-4.541,-0.732,-43.457,46.814,-17.151
0.077,-4.321,-1.12,-41.992,43.152,-7.324
0.139,-4.072,-1.603,-33.936,46.57,-5.92
0.225,-4.043,-2.177,-26.672,48.889,-8.423
0.67,-3.431,-2.536,-50.476,51.025,21.057
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
