ax,ay,az,gx,gy,gz
0.589,0.129,3.297,-1.709,16.052,11.536
0.852,-0.048,4.12,2.991,24.048,8.972
1.282,-0.124,4.575,11.963,31.25,6.592
1.751,0.254,4.56,18.616,40.1,5.737
1.967,0.569,4.503,23.071,47.668,5.676
1.986,1.01,4.225,26.55,52.917,2.991
1.967,1.349,3.909,30.029,58.228,-2.441
1.919,1.67,3.469,31.982,61.829,-9.033
1.747,1.756,2.885,36.072,62.073,-16.174
1.814,2.062,2.297,39.246,63.782,-27.1
2.062,2.283,1.431,40.161,67.017,-36.255
2.259,2.35,0.813,40.527,70.251,-46.021
2.579,2.326,0.234,41.565,72.876,-54.626
2.785,2.043,-0.258,40.222,74.646,-63.66
2.952,1.78,-0.708,40.955,74.463,-75.928
2.809,1.302,-1.684,35.217,71.289,-78.552
2.751,0.857,-2.278,30.334,65.674,-80.139
2.742,0.206,-2.78,30.212,59.265,-83.801
2.699,-0.263,-3.278,30.212,51.636,-86.853
2.627,-0.546,-3.699,31.006,41.687,-89.355
2.172,-0.723,-4.082,34.607,32.227,-92.957
1.919,-0.627,-4.101,38.696,22.034,-96.741
1.838,-0.498,-4.096,36.743,16.602,-97.046
1.531,-0.694,-4.254,31.067,10.62,-94.788
0.962,-1.163,-4.393,29.724,1.587,-92.041
0.196,-1.55,-4.728,33.875,-7.629,-94.604
-0.215,-1.574,-4.761,39.185,-20.142,-97.656
-0.211,-1.345,-4.522,41.626,-30.64,-98.328
0.038,-0.924,-4.139,36.194,-38.635,-94.055
0.206,-0.837,-3.761,22.644,-44.128,-85.022
0.263,-1.144,-3.799,16.541,-48.828,-81.604
0.325,-1.397,-3.766,12.634,-50.537,-81.177
0.1,-1.799,-3.775,11.169,-52.917,-79.712
-0.536,-1.804,-3.632,9.216,-57.434,-78.308
-1.235,-1.632,-3.555,1.648,-65.735,-71.472
-2.019,-1.392,-3.924,-8.972,-78.125,-64.88
-1.924,-1.517,-4.13,-20.996,-91.614,-57.983
-1.383,-2.053,-3.924,-31.25,-98.328,-51.331
-1.263,-2.641,-3.57,-34.79,-100.342,-46.753
-1.407,-3.153,-3.048,-37.476,-100.586,-35.828
-2.086,-3.192,-2.986,-41.321,-103.943,-25.391
-2.421,-3.168,-3.316,-46.814,-112.976,-16.235
-2.388,-3.187,-3.417,-53.101,-120.911,-7.996
-2.345,-3.082,-2.957,-59.509,-130.371,-2.869
-2.311,-3.35,-2.034,-63.477,-138.916,7.812
-1.68,-3.766,-1.029,-68.298,-140.137,20.63
-1.187,-4.288,-0.694,-78.857,-135.01,38.818
-1.526,-4.938,-0.598,-81.177,-134.399,51.208
-1.656,-5.067,0.01,-66.772,-142.639,49.805
-0.593,-4.149,1.058,-56.946,-142.7,49.927
0.565,-3.436,1.967,-64.941,-132.202,60.181
0.541,-4.12,2.201,-68.604,-126.831,72.327
0.397,-5.063,2.814,-60.486,-126.648,78.247
1.148,-5.053,4.134,-46.021,-125.427,77.637
2.359,-4.302,5.498,-44.25,-109.314,88.745
3.268,-4.374,6.369,-49.377,-88.562,106.506
2.689,-5.115,6.23,-40.1,-72.571,116.394
2.11,-4.972,6.044,-16.663,-64.697,112.915
2.364,-3.752,6.197,0.061,-56.152,109.253
2.785,-2.565,6.403,5.554,-39.612,112.488
2.771,-1.857,6.422,5.615,-26.672,118.713
2.503,-2.096,6.111,11.353,-14.832,122.253
2.235,-2.053,5.474,25.269,-6.775,117.981
2.45,-1.579,4.89,38.879,-1.16,113.159
2.881,-0.77,4.56,42.908,8.118,108.398
2.818,-0.622,4.35,46.753,18.494,108.276
2.68,-0.158,3.991,54.382,19.897,102.295
3.575,0.861,4.134,59.631,28.076,94.543
4.02,1.957,4.139,57.556,42.847,86.365
3.957,2.326,4.02,51.025,58.044,80.627
3.651,2.125,3.517,50.903,65.002,75.745
3.508,1.967,2.991,53.833,69.153,68.054
3.508,2.196,2.412,57.068,75.134,58.35
3.019,2.326,1.617,57.007,80.872,50.11
2.019,2.345,0.646,55.481,79.407,40.161
1.024,2.206,-0.632,56.152,69.153,29.785
1.062,1.637,-1.211,52.185,54.504,23.132
1.847,0.842,-1.182,51.086,46.082,20.081
3.034,0.507,-0.842,49.438,52.673,19.104
3.153,0.412,-0.976,50.72,66.65,16.479
1.771,0.651,-1.603,52.551,66.772,12.573
1.048,1.407,-1.45,56.519,58.96,5.859
1.105,2.546,-0.933,56.152,54.138,-2.197
1.622,3.043,-0.737,48.95,50.903,-9.766
2.517,2.546,-0.546,36.438,59.937,-14.771
2.35,1.139,-0.89,33.875,66.284,-20.447
1.632,0.335,-1.349,32.776,68.542,-24.475
0.857,-0.091,-1.881,30.518,65.43,-24.475
0.349,-0.407,-2.153,26.733,59.082,-20.752
0.23,-0.617,-2.436,23.682,51.392,-16.602
0.072,-0.584,-2.751,23.071,46.936,-16.541
-0.364,-0.469,-2.991,22.217,40.588,-17.029
-0.785,-0.579,-3.345,21.484,32.043,-17.09
-1.081,-0.718,-3.584,19.226,23.071,-15.442
-1.225,-0.608,-3.766,17.517,9.094,-14.648
-1.469,-0.335,-3.771,13.428,-1.038,-11.475
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
