ax,ay,az,gx,gy,gz
-0.1004283,-0.4342582,0.4964241,9.600008,-13.348938,12.317426
0.13575044,-0.55949736,1.1048424,1.3036869,-11.624903,6.722415
0.11851348,-0.541437,1.5525888,-3.4592292,-5.227878,3.0672543
0.28424525,-0.2849062,1.5685618,-10.786052,-7.520708,5.1740484
0.39458492,-0.57929707,1.8694798,-13.181439,-4.8577423,9.002796
0.38679525,-0.48215008,2.1295972,-3.4031196,1.5435674,12.585071
0.837712,-0.53783536,3.198782,7.263185,14.250693,13.878908
1.280416,-0.47756863,3.6740463,16.305294,24.378693,18.343237
1.6549617,-0.3529188,4.086662,22.287958,29.958237,21.43074
1.9078734,0.032058507,4.4638104,28.52376,29.018478,21.221369
2.5269814,0.36859292,5.167922,33.64761,45.348423,21.7779
3.0221035,2.019932,5.4427495,28.306808,66.79544,18.381538
2.785485,3.344937,5.1347466,18.650326,76.02597,11.1355095
2.1929722,4.097279,4.21904,4.495154,81.72941,7.3455095
1.7278602,4.6210995,3.1643758,-4.5930457,85.126625,-2.622216
1.7141691,4.7116413,1.887848,-15.036424,88.048996,-11.177642
1.4075476,4.534755,0.26725444,-17.468046,84.71471,-22.23908
1.6703818,4.6204047,-1.0648724,-15.13154,85.1594,-30.964653
1.7076367,4.949744,-2.239006,-15.192725,90.27268,-37.70137
1.2167107,5.5605016,-3.430301,-18.043728,88.00575,-47.49967
0.3812633,5.951344,-4.905296,-26.088629,73.122696,-59.314323
-0.041298185,6.3963957,-6.2751746,-31.49229,62.40638,-67.188
0.08645353,6.60974,-6.7165427,-40.826942,45.41198,-77.7616
0.46465126,7.115367,-6.87163,-55.81804,35.35169,-91.01927
0.7648791,5.709795,-7.434223,-70.3507,23.019356,-103.84327
0.95332444,3.1359627,-8.457549,-70.96156,11.575003,-110.213715
0.6195454,-1.0250287,-10.221562,-57.34156,-5.068392,-106.424995
0.72825325,-2.3373504,-10.073265,-39.48726,-25.807875,-101.54915
0.6767611,-3.2039092,-9.636198,-30.454504,-38.125088,-95.576256
0.47846425,-4.0718374,-9.360139,-20.38686,-50.585377,-91.11774
0.0028558373,-5.62825,-9.583901,-8.941424,-79.340324,-79.8266
0.0454851,-7.634897,-8.340515,5.602334,-91.79412,-67.91527
0.6710831,-8.009123,-6.8040986,19.200682,-102.029884,-53.08509
