ax,ay,az,gx,gy,gz
-1.622,0.684,-4.862,-0.793,60.669,35.767
-1.359,1.828,-5.283,-22.217,41.87,49.988
-1.512,2.924,-6.001,-36.743,16.907,52.856
-2.005,3.441,-6.738,-21.606,-4.089,22.644
-3.091,3.938,-7.762,-5.92,-26.367,-5.127
-3.685,4.431,-8.264,2.014,-56.335,-26.001
-3.929,4.953,-8.408,-5.676,-78.186,-36.743
-4.364,5.268,-8.934,-19.287,-105.896,-44.739
-4.713,5.335,-9.508,-36.377,-153.015,-54.138
-4.316,5.484,-9.566,-50.964,-187.317,-66.223
-3.12,4.972,-8.92,-56.458,-205.933,-78.552
-1.909,4.225,-7.785,-57.617,-219.238,-81.665
-0.555,4.134,-5.584,-74.158,-223.022,-71.411
1.053,3.56,-2.857,-104.98,-214.722,-55.237
2.943,2.216,1.077,-122.375,-200.256,-57.251
5.958,-0.574,4.699,-119.324,-171.875,-86.853
9.499,-3.876,8.135,-99.548,-131.165,-108.948
12.786,-6.34,11.121,-86.853,-80.688,-105.469
14.494,-7.958,13.035,-84.29,-10.193,-71.777
13.48,-8.709,13.231,-72.632,35.889,-40.771
11.408,-8.192,12.279,-51.636,72.632,-18.616
9.915,-6.929,11.212,-30.945,111.511,-9.644
8.283,-5.536,9.341,-14.465,147.156,-6.287
6.383,-4.087,7.226,-5.371,182.068,-9.338
4.35,-2.311,4.833,-1.465,197.571,-16.418
3.407,-0.981,3.498,-2.991,209.717,-23.987
2.565,-0.124,1.991,-5.005,209.778,-26.794
1.761,-0.153,0.412,-2.014,207.397,-24.78
1.029,-0.254,-0.837,-5.432,201.904,-23.376
0.493,-0.383,-2.177,-11.963,202.698,-23.682
-0.038,-0.718,-3.522,-20.752,202.271,-20.63
-1.077,-1.101,-5.302,-27.71,190.247,-13.489
-2.603,-1.78,-7.221,-22.888,164.49,-10.864
-3.723,-2.153,-8.417,-8.911,122.681,-9.399
-4.704,-2.019,-8.848,-1.831,92.529,-7.629
-5.048,-1.881,-8.958,4.15,65.674,-6.165
-5.369,-2.163,-9.365,13.55,40.649,-3.662
-5.565,-2.555,-9.853,25.146,17.761,0.244
-5.809,-2.68,-10.192,38.879,-15.686,7.69
-6.178,-2.814,-10.704,46.753,-48.584,13.184
-6.034,-3.048,-10.872,55.786,-86.487,19.958
-5.484,-3.211,-10.752,61.279,-116.516,28.259
-4.637,-3.072,-10.527,67.566,-149.048,39.856
-4.082,-3.196,-10.432,78.979,-185.73,53.833
-3.551,-2.943,-10.188,85.571,-214.05,63.782
-3.043,-2.268,-9.599,83.252,-242.126,71.655
-2.383,-1.742,-8.809,77.515,-268.616,80.261
-1.407,-0.924,-7.805,70.19,-292.908,82.52
0.565,-1.134,-6.321,83.679,-304.993,94.421
6.23,-1.747,-2.699,91.919,-309.265,137.207
12.408,1.704,3.278,72.266,-276.184,188.049
15.375,6.297,8.345,25.513,-208.557,183.289
13.982,5.589,8.422,33.142,-123.596,130.371
11.212,4.957,6.058,93.323,-79.285,50.781
11.393,5.967,6.249,85.083,-68.665,31.311
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
