ax,ay,az,gx,gy,gz
-0.172,5.139,-7.498,-3.418,-6.226,-68.298
-1.249,4.79,-8.704,-23.071,-34.058,-81.116
-1.407,4.398,-8.699,-39.978,-49.683,-76.599
-1.431,4.555,-8.781,-55.115,-62.256,-68.909
-1.814,3.919,-9.293,-64.819,-76.782,-77.637
-2.172,1.976,-9.953,-51.697,-88.806,-93.506
-1.981,0.321,-9.867,-37.842,-104.492,-95.398
-2.077,-0.88,-9.958,-30.212,-126.587,-79.529
-2.015,-1.488,-10.015,-26.55,-158.936,-59.387
-0.306,-1.416,-9.01,-31.372,-186.89,-38.696
2.383,-0.957,-7.063,-30.151,-195.435,-38.086
3.771,-0.761,-5.192,-30.579,-196.899,-44.128
4.56,-0.971,-2.775,-33.325,-187.622,-46.448
4.268,-0.852,-1.282,-41.931,-181.396,-42.725
3.819,-0.689,-0.416,-64.392,-188.416,-27.832
4.957,-0.995,1.785,-80.688,-187.012,-18.677
5.967,-1.771,4.024,-79.895,-168.518,-20.996
6.025,-2.172,5.8,-74.707,-144.47,-22.705
5.57,-2.287,6.953,-68.481,-123.596,-20.691
4.991,-2.297,7.685,-61.707,-107.91,-10.071
5.254,-2.393,8.853,-55.42,-99.609,-0.977
6.245,-2.225,10.097,-45.898,-77.881,3.906
6.795,-1.761,11.03,-37.842,-47.729,6.775
6.742,-1.005,11.513,-28.015,-10.01,0.488
6.23,-0.301,11.159,-21.423,34.729,-10.925
5.876,0.105,10.149,-27.527,66.101,-9.216
5.178,-0.182,8.766,-31.067,89.905,-4.517
4.469,-0.694,7.331,-26.672,104.736,-3.418
4.331,-0.823,6.637,-31.494,119.751,-0.977
4.426,-0.684,6.12,-35.889,149.597,-0.916
4.187,-0.756,4.938,-35.156,180.542,-8.057
2.881,-1.034,2.905,-14.282,191.833,-13.123
1.469,-1.397,1.23,-3.723,186.523,-16.418
1.196,-1.727,0.416,-0.549,183.105,-14.954
1.058,-1.89,-0.244,2.258,183.167,-14.282
