ax,ay,az,gx,gy,gz
-1.967,1.235,-3.991,48.157,-45.532,-19.348
-1.469,1.952,-3.857,45.349,-57.678,-17.883
-0.991,2.527,-3.852,16.968,-60.059,-16.907
-1.144,2.359,-4.493,-4.333,-64.819,-10.193
-1.555,1.627,-5.871,-12.695,-70.068,-8.423
-1.852,1.144,-6.958,-20.752,-79.163,-10.742
-2.125,0.675,-7.738,-30.273,-92.529,-15.076
-2.44,-0.426,-8.168,-37.537,-106.995,-11.841
-3.019,-1.689,-8.642,-24.658,-134.949,-12.878
-2.766,-1.847,-8.044,-4.517,-152.405,-25.024
-1.574,-1.086,-7.216,11.719,-168.579,-34.058
-0.12,-0.756,-5.905,16.602,-183.472,-30.64
1.22,-0.962,-4.254,19.043,-195.19,-23.438
2.239,-1.287,-2.235,25.33,-195.557,-21.057
4.082,-1.23,0.22,29.785,-191.833,-20.447
5.713,-0.746,2.55,25.452,-188.11,-14.832
7.431,-0.67,5.388,14.343,-176.758,-6.653
8.977,-0.684,8.431,7.263,-143.677,-2.563
9.58,-0.799,10.795,8.545,-98.328,-0.183
9.609,-0.254,13.044,9.338,-69.031,0.916
9.767,0.924,15.116,6.409,-32.837,-0.061
9.757,1.718,16.083,-1.282,1.831,1.526
9.604,1.981,15.877,-14.893,34.058,6.042
9.235,1.44,14.657,-23.193,77.637,8.24
8.135,0.569,11.949,-23.254,104.797,10.01
7.154,0.019,9.747,-25.696,123.474,12.695
6.436,-0.512,7.651,-24.109,139.832,13.306
5.862,-0.766,5.67,-19.775,154.053,13.184
5.402,-0.924,3.823,-18.433,168.579,17.273
4.436,-1.254,1.526,-18.311,177.246,22.034
3.34,-1.45,-0.201,-11.475,183.105,22.461
2.45,-1.254,-1.68,-4.883,182.434,22.156
1.751,-0.718,-2.909,-3.113,179.077,22.156
1.014,-0.335,-4.264,-5.493,165.71,23.132
0.014,-0.268,-6.02,-8.179,153.625,23.56
-0.665,-0.474,-7.226,-10.254,138.794,24.353
-1.354,-0.632,-8.12,-7.996,122.559,23.071
-2.034,-0.746,-8.608,-1.648,106.995,20.874
-2.637,-0.402,-8.69,10.071,86.365,13.367
-3.115,1.043,-8.274,9.644,70.068,6.348
-3.283,1.565,-7.852,2.075,52.307,5.249
-3.474,1.163,-7.398,-3.967,33.508,10.315
-3.45,0.727,-6.699,-3.906,15.564,11.658
-3.196,0.407,-5.766,3.418,-0.977,4.456
-2.287,0.354,-4.383,5.432,-10.01,0.854
-1.129,0.306,-3.254,4.517,-16.235,2.441
-0.292,0.268,-2.283,3.479,-17.334,2.014
0.024,0.014,-1.507,4.333,-18.86,0.916
0.383,-0.12,-0.766,6.409,-15.32,-0.427
0.297,-0.139,-0.048,6.897,-12.756,0.61
-0.024,-0.1,0.373,8.24,-13.428,1.892
0.057,0.278,0.818,9.277,-14.16,0.732
0.297,1.034,1.302,7.629,-12.268,-2.747
0.268,1.522,1.665,-4.578,-8.362,-1.343
-0.077,0.541,1.292,-13.062,-8.362,3.662
-0.206,-0.172,0.924,-11.292,-9.216,1.038
0.11,-0.388,0.737,-5.188,-6.409,-4.517
0.297,-0.287,0.574,-3.113,-4.7,-7.629
0.416,-0.311,0.55,-4.211,-1.587,-4.089
0.479,-0.254,0.517,-5.249,2.502,-2.014
0.479,-0.311,0.407,-5.859,7.751,-0.305
0.325,-0.526,0.129,-4.517,10.498,4.395
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
