ax,ay,az,gx,gy,gz
-3.474,-1.565,0.67,-4.578,14.526,-29.419
-1.852,-2.096,1.89,1.831,26.123,-61.523
-0.297,-3.129,2.283,-10.803,19.47,-60.913
0.708,-4.216,3.0,-3.174,27.832,-41.077
3.153,-5.594,4.106,12.207,41.565,-23.743
5.584,-6.092,5.374,27.771,68.726,-18.127
7.407,-6.68,6.412,46.143,114.502,0.549
7.867,-6.211,6.249,56.763,163.818,24.78
7.23,-5.259,4.833,35.828,205.444,54.016
7.474,-5.795,3.441,36.499,244.385,88.318
7.403,-6.269,1.297,42.48,275.94,130.676
6.431,-6.269,-1.866,59.631,281.799,172.791
5.446,-5.331,-4.182,87.891,278.625,199.036
4.756,-3.608,-5.996,113.464,251.892,216.492
3.101,-2.0,-8.245,117.615,214.6,225.403
2.828,-1.503,-8.8,111.938,187.378,236.145
1.924,-2.326,-10.178,121.033,147.278,253.54
1.129,-2.177,-11.092,125.793,102.295,283.02
0.234,-0.029,-12.312,118.347,13.916,307.19
-1.512,3.914,-13.69,109.924,-64.941,304.321
-1.727,6.551,-13.398,88.135,-150.94,281.006
-1.694,7.623,-13.083,51.147,-225.586,254.639
-0.689,7.972,-11.972,22.644,-302.612,232.178
0.292,9.283,-9.795,25.574,-366.821,193.726
2.316,10.881,-6.642,42.603,-369.751,150.024
4.488,10.661,-4.278,-6.042,-355.042,105.957
5.072,11.972,-2.445,-79.163,-334.778,61.157
5.383,16.121,-1.129,-166.565,-321.899,4.7
6.584,18.241,-0.043,-211.975,-297.791,-120.85
10.331,13.853,3.933,-135.742,-209.229,-207.458
11.508,11.786,4.709,-110.413,-138.306,-266.052
12.729,8.709,5.053,-150.635,-70.251,-310.425
13.403,4.11,4.627,-167.48,-14.893,-319.397
13.954,2.498,6.139,-273.071,110.596,-283.875
15.001,3.484,5.517,-387.817,213.257,-262.39
14.571,2.809,1.507,-442.2,293.518,-240.601
10.221,0.373,-5.249,-375.793,297.974,-242.493
5.436,-3.957,-8.819,-254.15,266.968,-246.155
1.507,-4.78,-9.896,-175.659,163.94,-206.116
0.526,-1.287,-7.962,-196.289,102.966,-178.955
1.713,-0.742,-6.498,-228.821,80.017,-155.151
1.842,-1.962,-6.886,-221.68,73.792,-142.822
0.842,-2.431,-8.556,-176.27,54.016,-136.719
-0.976,-2.12,-9.877,-139.038,-3.845,-146.606
-1.737,-1.914,-9.771,-137.817,-41.504,-139.893
-1.656,-1.062,-9.384,-151.062,-76.355,-133.728
-1.814,-1.493,-9.79,-154.541,-108.337,-132.812
-2.038,-3.287,-10.322,-140.015,-146.973,-140.32
-1.024,-7.656,-9.441,-102.905,-187.012,-128.357
-0.612,-9.092,-8.79,-79.407,-215.759,-112.305
0.172,-10.795,-8.082,-53.467,-232.727,-92.346
0.033,-12.925,-8.235,7.141,-258.301,-69.092
-0.105,-14.236,-7.01,73.547,-271.484,-58.289
1.732,-12.848,-4.374,106.873,-267.822,-22.339
3.68,-12.618,-1.699,110.168,-266.479,12.085
6.02,-12.212,0.569,133.667,-240.601,53.65
7.632,-9.556,2.201,154.297,-213.379,78.491
11.212,-8.226,6.479,160.889,-126.892,114.929
12.217,-8.159,7.613,177.49,-6.653,176.88
10.752,-6.972,5.694,194.458,71.045,215.332
9.006,-6.034,2.838,219.727,107.361,249.207
8.503,-4.235,2.005,242.554,131.348,281.86
9.848,-0.761,3.335,242.188,173.95,311.523
10.413,2.948,3.45,226.318,241.455,292.542
9.13,4.35,1.967,233.765,299.561,256.714
7.049,7.015,-0.603,192.139,320.19,224.243
5.268,10.063,-1.962,117.126,307.495,188.293
4.331,11.537,-1.948,49.011,306.091,151.733
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
