ax,ay,az,gx,gy,gz
-1.4169928,-3.1397934,1.4068056,36.40836,7.4847064,-47.737064
-0.6222962,-3.952748,1.7317319,25.897667,6.0429826,-40.717487
0.62850845,-4.610749,2.3561444,10.133061,26.220179,-13.841221
1.0458122,-5.652555,1.3770628,11.334292,57.07633,10.604242
0.5803677,-5.521368,-0.5943805,37.92926,66.51318,30.784655
0.32671553,-5.0472755,-2.6643107,66.69776,62.259636,32.29234
0.4197026,-5.6984177,-3.8532999,95.034225,52.917133,44.743275
0.80460954,-5.8519917,-4.5524397,126.507866,42.952732,56.66178
1.0570287,-5.5133734,-5.5766363,140.53708,39.4057,74.528824
0.7151056,-4.604938,-6.496569,157.40309,23.792921,94.10994
-0.051739387,-4.0529985,-7.582105,164.41052,9.78739,105.02137
-0.19415568,-3.301965,-8.612492,174.96503,-5.816016,117.18465
-0.15410122,-2.6536934,-9.310834,193.68011,-23.01352,127.36647
-0.34743214,-1.7698233,-10.254459,223.94609,-50.44673,140.70592
-0.007827226,-0.011437938,-10.830172,253.77602,-83.17767,155.21518
1.302862,3.892864,-9.937845,269.896,-104.0184,161.57478
2.5801501,7.328424,-8.212874,263.22498,-134.34279,148.07968
3.0279555,10.539053,-5.4556074,235.28513,-155.66798,128.98477
3.0923188,12.577951,-2.535366,184.99951,-147.86288,105.10275
2.6163151,12.55901,-1.5300472,107.77186,-124.80573,72.02255
1.1084944,11.60975,-1.936079,83.32987,-119.83697,43.83554
0.56906253,11.371593,-1.1164362,62.021236,-123.56406,14.162746
0.9883784,11.910289,0.59087926,33.840214,-127.07846,-15.628794
1.969993,11.885775,2.5238833,-5.465159,-112.78933,-36.87656
3.2557735,11.214748,4.063667,-41.609188,-85.651695,-68.12365
4.9696827,10.492932,5.615762,-65.83027,-55.59705,-87.92581
5.867651,9.455433,5.3880053,-85.89274,-33.71194,-117.77719
6.723444,7.880254,4.919586,-110.47456,-10.192679,-155.98193
7.7703395,4.975702,4.207709,-125.61113,15.223442,-166.84651
8.017392,3.189154,3.3683357,-154.71155,58.736202,-156.53062
8.296231,2.1926205,2.556233,-196.05728,94.013054,-155.1792
8.367891,0.9754834,1.3237717,-221.62785,149.49649,-160.4433
6.3290863,-0.55795574,-2.4417064,-195.70563,131.0009,-159.00656
4.09746,-1.7297442,-4.809433,-191.21436,95.41619,-151.51273
3.5138817,-2.3290043,-5.026574,-181.01714,83.16131,-151.46729
3.2890196,-3.2582352,-5.459288,-181.2491,89.91175,-140.87259
2.3974679,-3.4932477,-6.1826606,-193.7136,106.42924,-123.56615
0.49059308,-4.216874,-8.359292,-194.46445,90.02372,-101.0916
-1.4556788,-4.922748,-9.719756,-186.2551,68.063255,-89.15722
-2.8023887,-5.431132,-10.212195,-156.63303,24.800354,-84.85998
-3.0678124,-5.6781387,-9.551134,-130.65663,-2.7096415,-85.3229
-2.5258045,-5.3576865,-7.971969,-107.03897,-14.4728775,-83.32043
-2.5801895,-4.8647447,-6.937505,-97.166145,-23.929419,-74.50904
-3.0513468,-4.1593013,-6.305284,-91.0622,-37.820984,-56.00637
-3.9432602,-4.1932335,-6.733851,-87.95825,-74.26063,-47.38997
-4.5082545,-4.660274,-6.2193985,-67.30623,-102.623764,-51.296032
-4.1408987,-5.48804,-4.838852,-46.215065,-121.60544,-43.337032
-3.5687125,-6.380342,-3.306528,-31.394104,-127.223495,-36.402145
-3.3359346,-5.9898868,-1.6313976,-25.192352,-132.10423,-30.98423
-3.1363287,-5.914036,-0.28469136,-15.019684,-146.2448,-37.223125
-2.280586,-9.05503,1.086365,8.338995,-159.78914,-38.774303
-0.61051416,-11.28713,2.9636993,41.006493,-157.72714,-0.96037227
1.7704285,-12.245917,4.971816,53.37445,-146.74246,60.225723
3.8939087,-10.383741,6.1618853,71.829414,-128.10175,106.143486
5.8052206,-7.904063,7.1884985,92.94171,-102.38019,113.39017
8.349523,-5.331585,8.791046,107.61392,-66.896454,108.192154
9.464653,-2.1401002,10.053935,95.35868,-6.9748583,111.2606
8.781277,0.41035837,10.182814,83.448685,36.90352,109.55242
6.906677,0.88561845,8.765716,66.59681,59.850857,108.23652
5.484728,0.9485103,7.2795286,60.4835,86.32894,105.629265
4.730602,0.87803096,6.060422,55.07329,116.74118,105.315056
3.545383,1.2254212,4.458202,56.868095,127.39563,91.2402
2.380057,1.4766972,2.7329435,52.44555,134.18262,85.930626
1.3146019,1.2032336,1.2727407,52.946827,131.06528,80.21542
0.54429,1.0245781,-0.34297955,45.971733,130.65292,85.60345
-0.4036921,0.5828715,-2.4482112,57.92444,116.87066,81.078964
-0.46862793,0.4603751,-3.8408637,72.66971,113.262726,75.14737
-0.3664365,0.6694508,-4.559098,76.57333,116.90664,74.20249
-0.2165391,1.5868818,-5.3875933,63.29269,118.543884,82.18928
-0.19514312,2.3593445,-6.5132155,35.927757,112.46522,88.97299
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
