ax,ay,az,gx,gy,gz
-0.08106642,-0.06742133,0.10665963,8.864068,-9.664927,0.8558429
0.083407596,-0.012058556,0.09188241,4.8971925,-5.848796,-0.9439519
-0.15922526,0.11090287,0.19835132,-3.4637122,-4.842399,-2.5759706
0.0033817948,-0.1739962,0.29291037,-4.0500875,-1.9124225,-3.3562813
0.043864965,-0.2517253,0.26647642,-7.1534343,-2.642651,-2.2627873
0.03362269,-0.5423912,0.24534723,-8.643238,-1.4564886,0.5249915
-0.00024462026,-0.8765065,0.11682163,-6.382763,-1.186625,0.9677789
0.10162286,-1.1180851,0.054558847,-5.428221,-1.0564004,1.6286544
0.059291653,-1.8630164,-0.071350604,-4.5494404,-0.8059746,2.7247999
0.050198212,-2.858641,-0.05755225,-1.1645817,-0.3913696,4.7177052
-0.08425423,-3.614338,-0.097148396,4.6099205,0.40555903,11.69104
-0.039352816,-4.0352564,0.022467168,8.283473,0.6355994,17.841022
0.016113428,-3.9687111,0.1731467,12.061595,5.280434,23.282278
-0.24507895,-3.8599832,0.059781164,8.421504,6.6123223,29.271147
-0.28092742,-4.0827546,-0.097612925,2.06621,4.4464087,35.551727
-0.18257488,-4.8310223,-0.2668118,0.099206865,1.453613,44.642673
-0.012525206,-5.1550007,-0.3227632,5.780939,0.49444714,50.029987
0.11708203,-4.3326607,-0.29521123,11.194771,-0.20069839,60.296124
0.30866536,-3.1763737,-0.0672268,13.017795,0.8125475,64.33543
0.4434869,-2.3220282,0.14357972,14.762432,1.7684221,69.01648
0.582324,-1.2706853,0.28595948,15.881643,2.150089,70.70168
0.7080845,-0.7010456,0.2770298,15.615862,2.1959887,72.8848
0.82677156,0.2319496,0.27769858,18.760576,3.0895555,71.05291
0.81535923,1.3893245,0.27576497,22.82456,2.989442,70.3223
0.9443619,2.796833,0.45607534,21.330233,2.626257,67.22312
1.1509917,3.5269709,0.58392036,18.741507,3.2189384,63.224148
1.1690474,3.9261744,0.47590122,17.915974,4.135272,56.896267
1.0186763,4.4567094,0.41229895,17.218346,4.609596,45.926346
0.97661495,5.0767975,0.44679517,12.599897,4.3835344,39.44819
1.095893,5.219341,0.34219497,7.233857,5.4505134,34.024155
1.0348791,5.1026945,0.106640555,5.759372,5.4464183,25.846933
0.9978604,5.1939073,-0.09549074,5.324277,5.053093,19.94395
0.8608191,5.396275,-0.16398452,2.8795617,2.6317744,9.012981
0.8195593,5.5324087,-0.2250788,1.0424356,2.8065279,1.2733293
0.80710363,5.571816,-0.40036017,-0.15027505,2.329769,-8.080866
0.78401124,5.295272,-0.63464075,-0.8641008,1.9474045,-14.831588
0.6587364,5.326833,-0.8943435,-3.326252,-0.76761675,-20.692368
0.55750406,5.0028377,-1.1018074,-2.997855,-4.445384,-32.352455
0.4442116,4.337251,-1.1861137,-0.9833103,-6.4506803,-38.19043
0.43855515,4.155752,-1.0875101,-1.2483927,-8.288742,-43.847576
0.38133794,3.8140085,-1.0547898,-4.750854,-9.813742,-48.7255
0.32867527,3.429366,-1.0078795,-6.6400886,-12.98161,-54.55528
