ax,ay,az,gx,gy,gz
0.78,6.369,-0.708,-13.428,-61.768,-17.09
1.847,8.379,0.464,-67.017,-53.467,-10.742
3.498,8.642,0.732,-95.886,-28.442,-31.128
3.876,8.795,0.646,-90.454,-10.315,-72.571
3.771,8.25,0.316,-91.003,3.235,-115.967
3.33,7.015,-0.124,-97.595,14.038,-145.752
2.33,4.881,-0.957,-111.267,15.137,-150.33
1.804,2.909,-1.249,-121.765,12.695,-143.738
1.517,1.043,-1.239,-129.822,10.315,-137.268
1.68,-0.699,-0.991,-128.784,11.719,-140.93
2.038,-2.488,-0.976,-108.459,11.597,-140.747
2.632,-3.967,-0.794,-102.478,15.198,-130.554
2.68,-4.57,-0.66,-104.004,20.264,-116.333
1.976,-5.13,-0.656,-94.849,24.292,-108.887
1.115,-5.685,-0.991,-83.984,22.949,-105.652
0.818,-6.283,-1.144,-76.599,19.043,-87.952
0.89,-7.211,-0.861,-74.646,20.874,-62.5
0.603,-7.532,-0.756,-63.232,25.574,-39.124
-0.206,-7.216,-1.038,-49.316,28.32,-29.358
-1.139,-6.795,-1.483,-33.325,26.978,-28.015
-1.766,-6.446,-1.895,-19.287,16.907,-17.212
-1.885,-5.857,-1.847,-15.259,9.521,-1.892
-1.78,-5.393,-1.565,-9.827,5.188,11.658
-1.723,-5.067,-1.306,-0.671,2.686,17.639
-1.464,-4.637,-1.034,11.353,1.282,17.395
-1.043,-4.268,-0.804,21.118,1.038,15.503
-0.435,-4.618,-0.445,27.039,3.174,20.081
-0.134,-5.321,-0.364,34.607,6.592,27.588
0.105,-6.259,-0.483,47.729,9.949,30.64
0.435,-7.24,-0.55,62.805,13.855,33.997
0.957,-7.953,-0.694,83.679,19.409,49.438
1.704,-8.79,-1.086,102.6,20.63,78.796
1.799,-8.853,-1.694,114.197,14.648,116.943
1.804,-7.972,-2.182,122.681,6.958,150.513
1.943,-5.962,-2.507,128.723,-0.183,177.063
2.373,-3.22,-2.598,126.892,-6.897,194.275
3.354,0.885,-2.139,117.859,-6.592,186.157
3.967,3.254,-1.44,109.985,-2.197,176.758
4.134,5.804,-0.785,97.229,5.493,165.588
3.732,7.996,-0.402,84.9,10.437,146.24
3.0,9.388,-0.33,70.862,11.108,106.079
1.55,9.522,-0.732,63.843,3.967,79.529
0.952,9.594,-0.77,47.546,-2.563,65.002
0.56,9.618,-0.78,26.123,-6.042,52.49
0.321,9.604,-0.66,7.874,-11.597,37.17
0.435,8.733,-0.483,-8.057,-14.587,10.071
0.732,6.608,-0.278,-10.62,-13.916,-6.592
0.861,5.048,-0.297,-9.033,-13.672,-20.325
0.952,3.46,-0.297,-8.362,-11.658,-26.062
0.833,2.101,-0.517,-11.292,-11.963,-24.658
0.837,1.072,-0.44,-16.907,-11.597,-20.081
1.101,-0.057,-0.019,-17.761,-6.287,-15.015
0.986,-0.469,0.033,-12.756,-0.977,-14.465
0.622,-0.45,-0.081,-8.545,0.549,-14.587
0.316,-0.12,-0.057,-9.033,0.793,-12.451
0.167,0.167,-0.005,-11.108,1.282,-13.306
0.258,0.024,0.043,-11.292,2.136,-14.709
0.517,-0.244,0.105,-11.108,5.127,-13.489
0.718,-0.364,0.172,-11.414,10.498,-10.498
0.512,-0.359,0.077,-10.254,14.526,-12.573
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
