ax,ay,az,gx,gy,gz
-4.407,-0.206,-12.614,-1.465,-133.545,-28.198
-4.517,-1.168,-13.642,20.691,-198.669,-9.827
-4.56,-2.498,-14.207,25.391,-265.32,-8.301
-5.402,-3.536,-15.528,71.96,-383.85,-14.465
-3.828,-1.766,-13.686,109.131,-434.265,-35.4
-1.603,-0.522,-12.303,126.343,-477.539,-34.607
1.928,-0.813,-9.278,119.08,-481.689,-22.766
6.302,-1.445,-5.326,85.815,-466.675,-8.911
10.106,0.278,-0.689,100.098,-402.771,8.667
12.513,3.072,4.259,75.012,-352.295,-5.188
14.533,2.895,7.599,60.913,-276.733,16.235
14.322,2.823,8.762,44.983,-219.421,40.405
13.69,3.33,9.269,27.893,-162.537,42.969
13.264,3.417,10.092,-5.493,-76.355,25.085
12.523,3.354,10.791,-23.56,-4.7,14.16
11.36,3.46,9.929,-13.0,62.683,13.794
9.13,4.254,7.809,-19.958,100.891,8.972
7.163,3.393,5.929,-25.024,117.371,0.977
6.714,2.206,5.642,-24.292,149.963,-2.563
7.106,1.445,6.192,-32.166,191.467,-0.732
7.517,1.775,6.135,-56.519,247.559,-5.371
7.269,1.369,3.527,-49.072,298.706,-4.272
3.852,-0.019,-0.871,-17.822,294.373,-10.193
2.211,-0.842,-2.101,-4.456,273.499,-15.198
3.11,-1.713,-1.278,-21.667,281.189,-11.353
3.871,-2.187,-1.316,-38.574,304.138,-3.967
3.565,-2.436,-3.469,-21.24,316.04,11.902
0.766,-2.704,-7.096,6.104,279.114,25.33
-3.086,-3.632,-9.312,40.71,186.035,36.316
-5.024,-4.469,-10.479,58.35,108.887,57.007
-4.311,-3.259,-9.03,60.12,49.255,88.196
-1.66,0.096,-5.627,67.017,43.64,102.905
-0.612,4.13,-3.866,68.115,55.969,71.228
-1.708,7.044,-4.608,79.285,32.227,-2.808
-3.675,9.551,-5.417,63.965,-7.019,-36.194
-3.594,12.121,-5.297,14.038,-52.856,-60.913
-2.603,13.834,-4.675,-30.151,-80.872,-85.876
-1.512,14.829,-4.632,-88.013,-110.84,-133.423
-0.593,13.284,-4.579,-141.296,-132.629,-183.899
1.014,9.532,-4.015,-147.949,-129.211,-197.632
2.043,7.12,-3.661,-139.404,-121.338,-209.839
3.22,5.182,-2.646,-131.47,-97.595,-217.041
3.68,4.02,-2.775,-153.809,-79.102,-216.064
3.469,1.086,-3.335,-168.884,-65.918,-208.496
3.785,-3.397,-3.158,-141.602,-51.331,-190.918
4.857,-5.838,-2.775,-128.113,-31.067,-162.415
5.048,-7.656,-2.751,-123.352,-14.282,-123.23
4.455,-8.967,-2.68,-128.967,-2.441,-97.656
3.627,-11.173,-2.378,-97.351,13.428,-90.515
3.307,-12.628,-1.885,-65.369,32.654,-78.247
2.0,-13.011,-3.307,-20.63,31.982,-55.786
0.201,-12.987,-4.484,18.005,16.174,-37.17
-0.636,-11.499,-4.814,47.607,2.197,-20.264
-1.852,-9.178,-5.699,79.041,-26.978,-10.864
-4.637,-7.939,-7.527,109.558,-56.702,-15.015
-7.135,-8.259,-10.135,179.504,-110.474,-13.367
-9.077,-7.46,-12.011,218.628,-183.533,-11.597
-8.857,-5.967,-13.757,223.938,-271.484,9.949
-7.986,-5.56,-14.705,225.159,-396.057,55.786
-3.493,-2.991,-13.197,220.337,-456.909,87.585
2.34,1.029,-9.561,172.546,-482.361,86.06
9.211,4.311,-2.56,113.037,-453.491,39.001
15.14,5.824,4.642,116.699,-356.445,-4.15
17.906,5.288,9.216,127.808,-185.486,-11.78
18.432,4.11,10.905,90.088,-69.031,21.851
17.183,2.086,10.269,43.152,23.987,51.208
15.083,0.622,8.183,30.701,100.098,75.684
11.757,-0.153,5.345,14.893,139.526,78.857
9.805,-1.589,4.752,-2.93,183.838,72.266
8.671,-3.077,4.101,13.184,220.276,88.44
6.379,-3.096,1.785,40.588,231.323,101.624
4.182,-3.364,0.196,70.679,222.351,109.131
3.426,-2.527,0.254,80.872,211.914,123.596
3.354,-1.019,1.129,59.143,220.581,127.502
3.048,-0.148,1.129,52.856,232.117,122.07
2.306,-0.086,-0.354,97.29,232.544,116.577
