ax,ay,az,gx,gy,gz
-1.5248357,0.5816345,-3.938834,12.894558,-36.922413,-22.628077
-2.415822,0.5324967,-4.9056354,12.1163,-47.634937,-39.12926
-2.9935594,0.25233504,-5.785033,31.553928,-74.02499,-57.37362
-3.5414736,0.38087258,-6.4977045,38.109554,-90.66187,-59.52109
-4.4672327,-0.22368738,-8.073383,35.1089,-124.492905,-59.948895
-5.2017164,-1.084865,-10.013283,35.404293,-195.96797,-62.13284
-4.7171497,-3.033675,-11.386198,54.69427,-238.52586,-75.6022
-3.0111697,-2.6137435,-10.12254,72.47766,-275.58258,-73.18572
-1.4447026,-1.9039519,-8.806112,82.063126,-294.2095,-68.2058
0.70306724,-1.968036,-7.3802676,88.23666,-301.99295,-59.329422
4.0169473,-3.5842867,-5.095775,98.46908,-275.33685,-16.768631
6.5854826,-4.0517106,-2.6072001,102.99491,-253.80106,34.817
7.27714,-1.29294,-0.8793794,88.49673,-241.68454,65.97412
7.769442,0.010533188,1.3988861,75.20857,-225.43124,66.66189
8.292441,0.46185675,3.7976408,62.861626,-190.07535,65.13829
8.963125,1.2287517,6.426675,66.1683,-130.7812,44.449512
9.323608,3.1304755,9.209541,59.57319,-89.82447,38.47517
9.45142,4.2551427,10.542865,43.849995,-57.626312,38.074867
9.492834,3.8707101,11.505612,24.837297,-16.59993,42.74944
9.645744,2.7378728,11.142911,20.570988,20.025883,43.55625
9.145506,2.0799947,10.1887,24.77839,67.469124,40.35851
8.719135,0.7003253,8.569727,32.93417,98.77731,50.819294
8.628726,0.020856092,7.5048566,38.794636,131.76349,56.57786
7.6195583,-0.588596,5.786713,40.594044,157.04732,66.441536
6.885906,-1.1382213,4.1976233,40.199554,187.90005,79.17083
6.156725,-1.3133403,2.4817536,43.2776,215.1932,98.84244
4.3893523,-1.073785,0.34942454,56.953747,233.5867,99.87551
2.7560961,-0.5777105,-1.3363571,71.95641,239.49535,88.973564
1.2197349,0.618541,-2.4655511,84.66988,242.3109,64.28658
-0.3634666,2.8774445,-3.3019369,81.79972,232.01381,40.963177
-1.96759,4.559452,-3.920139,43.477776,183.2875,15.894486
-2.353087,6.0607476,-3.7988887,20.781006,161.95981,-8.219187
-2.399809,6.2579985,-3.8172677,6.9154334,149.24713,-32.848003
-2.2686276,5.4112034,-4.3459973,8.7271595,134.34752,-63.05226
-2.4013665,6.285015,-4.4956994,8.508349,112.09192,-86.27427
-2.2071803,6.974778,-4.950234,-10.056183,85.60917,-110.56253
-2.7164695,6.841397,-5.9840627,-18.1857,54.12643,-138.57622
-3.0985165,5.9886727,-6.9334164,-27.39924,23.154888,-164.42944
-3.2156978,6.130209,-7.166062,-36.694946,-15.5550995,-182.91287
-2.5804412,5.083973,-7.315309,-49.21682,-47.33452,-191.15916
-1.9055381,3.365339,-7.4754114,-58.064865,-87.931854,-192.97255
-0.23975202,0.41227344,-7.009708,-49.681614,-96.06372,-186.5294
0.3514992,-1.8822179,-7.028862,-47.176746,-95.88686,-173.34138
-0.1379508,-3.5767066,-7.5823135,-33.581097,-123.324036,-164.94763
0.02632134,-5.7606444,-7.7130837,-21.447512,-159.28687,-153.98079
1.8429812,-8.306585,-6.0787907,-5.838136,-183.88272,-110.03651
6.0760593,-11.455138,-2.7724926,5.386384,-159.52147,-71.14478
7.2549915,-12.0714855,-0.74715024,22.739414,-129.98206,-29.038116
6.0772305,-11.094388,0.08268118,39.44452,-120.88415,-9.35995
4.5280294,-9.889896,0.61872643,52.149216,-113.24565,0.1855613
4.692457,-8.984824,1.8565565,57.468525,-104.62267,12.249476
4.716981,-8.673065,3.151225,62.583313,-78.74434,32.058792
4.4636607,-8.318501,3.6617477,64.87293,-51.286263,54.140022
4.2005634,-6.349999,3.9630737,70.448425,-27.91639,74.51467
3.5640132,-4.0709925,4.4283514,65.233734,-20.8974,85.44665
3.3666775,-3.1936698,4.655955,64.980705,-8.735321,92.4698
3.4937491,-3.2471097,4.426855,64.72235,11.488632,108.42326
3.3484836,-2.6536021,3.5874958,72.50791,29.536114,118.36421
2.0959342,-0.44657907,3.302755,73.66856,40.33565,119.43766
0.87185705,2.0719285,3.0265546,63.20475,42.03708,111.399506
-0.24869159,2.760691,1.6942909,55.671543,34.035763,94.62053
-0.37610918,2.882759,0.8060812,56.77104,38.71079,89.604195
-0.5173941,4.4671326,0.49891618,46.41059,40.92653,88.97081
-0.90955454,5.553884,-0.23537643,42.19285,38.320847,83.26108
-1.5901474,6.558661,-1.3342192,36.56768,36.732628,63.740948
-2.5541751,7.771019,-2.2004,30.789976,10.833708,40.71888
-2.3374155,10.342846,-1.7166451,5.589672,-2.733184,13.8079405
-2.0531063,11.149103,-1.5044839,-19.197216,-21.214762,-12.63672
-2.0266082,11.789561,-1.9159328,-34.190723,-31.98909,-42.490143
-1.8014138,10.878609,-1.9597661,-48.444553,-37.124268,-69.65755
-1.8551708,10.315406,-2.2356598,-73.34553,-45.388363,-97.23724
-2.1512637,9.101762,-3.3470893,-83.0095,-58.533066,-123.53571
-2.1731763,7.8522553,-3.7572823,-92.11017,-74.055046,-149.45934
-1.5001274,5.552251,-4.103529,-97.81461,-87.89393,-164.01753
-0.42790273,2.954542,-4.110916,-98.81264,-98.75531,-168.0717
0.4037012,0.11007781,-3.7967129,-95.05728,-105.36807,-148.40437
2.0053723,-2.7693489,-2.9419582,-93.54604,-104.213806,-122.96154
2.508445,-4.5820413,-2.4334338,-91.74491,-94.15769,-98.28119
2.8758993,-5.5024066,-1.72052,-78.919525,-88.41169,-87.14824
3.1417546,-6.785685,-1.2414616,-67.36744,-94.51936,-80.50968
4.036439,-7.42849,-0.4001212,-48.30824,-87.815285,-70.46789
6.107097,-9.184477,1.6619139,-30.069723,-70.754395,-50.5386
7.20529,-9.711062,2.8945081,-21.107332,-43.023136,-14.579325
7.1466885,-9.115711,3.583088,-24.536018,-18.080772,16.648434
6.192863,-8.15843,3.7215252,-14.151219,11.764637,34.632843
5.29894,-6.496324,4.1767077,-10.003974,31.088497,42.823795
4.17511,-4.9720716,4.186559,-9.301275,37.589542,55.96996
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
