ax,ay,az,gx,gy,gz
-2.9270709,1.1200897,-1.2941897,42.998947,-56.228832,-43.18365
-2.7873273,-0.56751806,-2.0959673,10.414354,-56.755383,-31.826403
-2.2774181,-2.683227,-2.361143,2.9338186,-72.80562,-16.635122
-1.9891063,-3.4322186,-2.7616308,13.828856,-85.3517,-4.8318596
-1.4249201,-2.7697392,-2.5622556,29.5486,-71.9641,0.58472055
-1.3056307,-2.3533196,-2.5569072,31.653324,-54.75421,7.4152923
-2.1766098,-2.243515,-3.2487204,16.296011,-48.052128,10.00907
-2.8255491,-2.571093,-4.1751165,5.878938,-46.144337,16.276258
-3.4870703,-3.4233375,-5.771726,18.946222,-61.702183,15.840497
-3.5160577,-4.1445937,-6.490045,31.701136,-81.66078,18.792316
-2.8931465,-4.5903096,-6.145924,39.227352,-102.15874,26.399336
-1.7014773,-4.167089,-5.587985,49.702293,-118.51433,32.908123
-1.264408,-3.7271628,-4.8915644,61.546734,-133.3586,41.504906
-0.5894838,-3.1076467,-4.195477,70.837074,-142.0416,44.550747
0.38699874,-2.0239143,-3.5028586,73.08498,-143.08652,50.65277
1.3279226,-0.26624632,-2.2245708,66.94938,-141.69551,50.64899
2.5802639,1.0942899,-0.19010156,53.771183,-134.86293,47.764145
3.5734355,1.2714473,0.9366105,47.366096,-123.33247,46.239857
4.121722,1.5451208,1.496606,56.05275,-107.43583,46.472233
4.5364366,2.5859506,1.9184145,53.518955,-96.26683,44.94151
4.706007,2.7621036,2.4183939,48.329365,-78.9257,41.609837
5.212096,3.6543586,3.2522979,36.422546,-64.014496,45.54538
4.898532,3.777986,3.5201323,25.932728,-54.496548,45.793453
4.449728,3.8828335,3.3312626,18.107906,-43.20509,37.357857
4.052116,4.0321193,2.9834118,21.342869,-35.10783,23.794552
3.9168634,5.0127544,2.6786141,16.26372,-30.159786,8.743901
4.491925,5.5807037,2.914256,7.040116,-20.357311,3.202396
4.537399,5.912569,2.7902951,-6.993418,-5.38298,-0.49049163
4.342419,5.792111,2.1721468,-9.709655,4.7007675,-5.43207
3.9022102,5.345678,1.6022638,-16.795042,10.592131,-13.774726
3.435472,5.521668,1.0682362,-22.878487,9.068668,-26.554562
3.557828,5.8688,0.99230015,-33.09178,12.903393,-29.144192
3.4757874,6.1998553,0.7913739,-45.157875,19.83932,-29.07792
3.384036,6.206054,0.6737617,-55.819862,22.690128,-36.03262
3.1272266,6.258072,0.6624508,-69.583786,29.54146,-41.64341
3.0458426,6.158345,0.50393915,-85.66848,35.905544,-46.598743
2.762008,6.0315385,-0.260093,-95.9304,41.15002,-57.144814
2.581426,5.560018,-0.72731763,-102.494125,48.043022,-69.42039
1.9402459,5.176327,-1.2616912,-105.67901,53.25612,-80.45887
0.9197296,4.793323,-1.5943247,-117.49978,51.665752,-83.6354
0.41528335,3.826078,-1.9214466,-136.86026,45.688515,-78.52316
0.6284629,2.6567135,-2.1162753,-145.97176,37.763527,-80.57937
1.0375878,1.3249226,-1.8283292,-145.33463,37.405094,-89.720634
1.1539339,0.48893952,-1.3625655,-133.17036,41.36656,-109.098854
