ax,ay,az,gx,gy,gz
3.082,-0.608,2.613,15.259,-8.423,-10.193
4.039,-0.053,3.005,13.428,11.292,-12.451
3.618,-1.239,3.034,22.217,17.029,-18.005
3.909,-1.641,3.316,30.09,19.653,-24.78
4.756,-1.637,3.752,32.104,26.062,-21.24
5.79,-1.44,4.541,27.222,34.729,-11.658
6.819,-1.297,5.359,32.898,45.837,-16.174
9.278,-1.436,6.288,36.072,65.552,-21.362
10.494,-1.861,6.331,43.03,92.59,-23.987
9.843,-2.45,5.603,62.195,108.765,-32.166
9.36,-2.512,4.933,76.416,117.31,-39.001
9.57,-2.034,4.398,81.665,147.339,-45.41
8.475,-2.383,3.048,88.013,165.222,-59.082
7.513,-2.412,1.847,95.215,177.795,-69.458
6.149,-2.239,0.703,99.365,184.021,-76.965
5.01,-1.885,-0.158,96.985,183.044,-77.82
4.575,-1.091,-0.775,80.078,186.096,-68.359
3.752,-0.723,-1.79,71.106,189.392,-66.406
2.885,-0.938,-2.828,69.275,190.979,-75.867
1.68,-1.278,-3.962,70.435,185.547,-86.792
0.904,-1.751,-4.642,67.688,176.758,-94.788
0.306,-2.125,-4.833,62.012,169.189,-100.22
-0.412,-1.651,-5.087,52.612,165.222,-100.708
-0.809,-1.072,-5.704,40.405,160.217,-91.919
-1.517,-0.756,-6.388,29.114,146.24,-84.9
-1.9,-0.852,-6.876,11.841,132.935,-74.829
-1.924,-1.024,-7.173,-4.639,118.347,-63.843
-2.943,-1.933,-7.661,-7.69,101.929,-59.814
-3.46,-2.158,-7.857,-6.958,81.787,-57.739
-3.177,-1.503,-7.9,-14.099,63.477,-54.077
-2.498,-1.555,-7.972,-26.489,51.758,-41.87
-1.957,-2.196,-8.245,-25.879,41.016,-25.33
-1.766,-2.972,-8.293,-22.278,34.546,-14.648
-1.474,-3.173,-8.321,-17.822,30.884,-4.578
-1.493,-3.115,-8.503,-10.803,29.541,4.761
-2.048,-2.713,-9.015,-6.042,24.353,8.179
-2.976,-2.814,-9.537,4.333,7.202,14.099
-3.967,-2.938,-9.642,10.376,-6.165,21.362
-4.378,-2.708,-9.508,16.907,-20.325,25.085
-4.742,-2.259,-9.656,20.264,-34.851,27.039
-4.919,-2.273,-9.905,22.278,-54.749,33.386
-4.546,-1.995,-9.881,19.714,-80.078,43.518
-3.799,-1.756,-9.618,16.479,-95.337,49.866
-4.029,-1.871,-9.46,15.137,-109.497,53.955
