ax,ay,az,gx,gy,gz
-0.30683464,0.8292621,0.056880385,-77.287224,-65.48811,-5.624151
0.076699495,0.36321267,1.4498184,-47.15763,-22.83022,-15.602663
-1.3273661,-0.29715094,0.514801,-10.85497,-22.02684,-16.08698
-1.852514,-0.5608911,-0.07204652,-5.298825,-37.356373,-15.133491
-1.3991251,-1.4593791,1.7158449,17.7371,-29.579664,-18.936262
-0.97957695,-2.2683303,2.7193308,39.335632,-26.945982,-18.085072
0.14901558,-3.1822014,4.0584984,58.630672,-24.769577,-15.299001
2.1262562,-3.0948627,5.7741327,74.60136,-14.454698,-5.3077116
5.4855914,-2.1827216,8.268315,89.54628,-9.5690365,6.118298
8.722946,-1.5879956,10.274124,100.5986,31.179485,-2.7205675
12.141533,-1.1594214,11.487284,101.798935,65.79797,-15.912745
13.5558815,-0.87047035,11.576402,91.22155,107.91846,-19.756178
13.66109,-1.1997894,9.664266,85.02427,139.8007,-30.853077
12.577041,-1.9517667,6.8924603,88.98115,161.97731,-51.137875
11.42597,-2.4146066,5.0238647,87.09198,182.43942,-56.405148
10.497351,-2.6861126,2.6808085,79.376976,198.40604,-46.89821
8.365177,-2.204606,0.22912502,73.41249,206.2613,-39.701004
6.3790383,-1.7866733,-2.4988532,70.99823,217.427,-48.90575
4.172954,-1.8251072,-5.148528,65.3443,207.49487,-46.586086
2.513201,-1.7345031,-7.131562,56.29326,198.6957,-35.56807
1.630813,-1.569906,-8.439991,43.60073,190.8356,-23.009918
0.5651757,-1.0409725,-9.020859,37.236393,174.80531,-12.09825
-0.3270166,-0.405079,-9.78478,26.751312,170.10954,-12.058645
-2.2898607,-0.5727801,-10.672336,21.580223,152.15569,-17.617693
-4.138816,-0.68979454,-11.73307,17.652372,125.23306,-11.988755
-5.20872,-0.5882253,-11.468091,14.165139,99.894485,1.5840913
-5.61272,-0.15487894,-11.345824,12.757277,80.65722,12.719296
-6.0931864,0.71414405,-10.999152,9.818161,50.56336,14.918876
-6.3908753,1.6624446,-10.225377,11.674864,40.788048,-2.014218
-7.326482,1.5158734,-10.500773,13.803136,20.234098,-15.617823
-7.789322,1.2646142,-11.03513,10.687858,-6.8528748,-12.740742
-7.869557,1.0501148,-10.701664,5.2847376,-31.19925,-0.108985305
-7.6890078,1.4134216,-10.119768,-6.7725825,-66.677475,16.018415
-7.231529,2.2643256,-9.905174,-11.578366,-83.566765,11.214665
-6.753043,2.5306816,-9.58686,-14.034023,-102.29457,-6.6107564
-6.218084,1.506535,-9.486695,-10.309949,-126.75206,-16.971134
