ax,ay,az,gx,gy,gz
-0.833,7.891,-2.756,-15.381,16.541,-18.127
-1.168,8.632,-2.737,-37.231,9.033,-35.645
-1.019,8.728,-2.359,-40.71,8.362,-78.979
-0.665,9.503,-1.814,-33.997,11.047,-124.878
-0.455,11.594,-1.574,-28.87,11.597,-187.317
-0.593,12.929,-2.517,-48.401,-6.897,-253.54
0.388,8.192,-2.885,-74.28,-33.203,-261.719
2.354,4.575,-1.536,-127.136,-28.625,-193.359
3.273,3.039,-1.416,-164.551,-22.705,-157.898
3.503,1.177,-2.034,-169.25,-23.071,-146.912
3.555,-1.378,-2.283,-160.645,-21.606,-140.686
3.474,-3.752,-2.082,-147.949,-16.968,-123.596
3.163,-5.106,-1.794,-130.432,-7.812,-96.924
2.105,-5.857,-2.038,-109.68,-7.141,-85.144
1.44,-6.015,-1.833,-90.82,-8.301,-76.66
0.938,-6.761,-1.541,-79.773,-9.155,-64.575
0.359,-7.742,-1.794,-68.787,-9.033,-52.673
0.005,-8.996,-2.431,-53.711,-16.357,-34.851
0.383,-10.585,-2.608,-39.856,-19.287,-16.968
0.703,-11.408,-2.431,-15.869,-17.822,-1.16
0.56,-11.02,-2.11,5.188,-14.16,12.573
0.158,-10.307,-1.948,22.888,-13.489,26.978
-0.139,-9.81,-2.019,46.326,-15.93,47.668
-0.263,-9.077,-2.364,57.861,-18.982,67.2
-0.225,-8.781,-2.67,71.838,-20.386,87.219
-0.364,-8.192,-3.072,87.219,-18.494,97.717
-0.531,-7.623,-3.484,112.793,-19.836,98.938
-0.641,-6.292,-3.732,136.963,-32.715,104.248
0.301,-4.828,-3.086,139.465,-38.086,114.99
1.034,-4.34,-2.737,159.912,-33.264,118.469
1.196,-3.134,-2.479,203.857,-21.362,97.168
1.44,-2.187,-1.747,241.882,-2.319,77.698
1.316,-1.694,-1.684,213.379,13.062,92.224
0.488,0.531,-2.211,170.105,-0.366,110.046
0.593,3.584,-1.282,143.616,-21.667,107.117
1.282,5.986,0.55,120.3,-29.785,93.75
2.096,7.254,2.034,94.727,-23.438,90.82
1.857,7.546,2.34,62.866,-13.184,92.468
0.852,8.149,1.756,44.739,-13.733,88.867
0.78,8.953,1.747,30.151,-14.343,76.355
1.101,10.384,2.187,19.165,-14.465,63.66
1.359,11.704,2.474,-9.277,-9.705,41.504
1.187,11.417,2.105,-30.884,-5.676,18.127
1.024,10.532,1.479,-42.725,-1.587,3.235
0.866,9.709,1.01,-51.025,4.211,-13.611
0.522,8.939,0.258,-59.875,7.019,-31.067
0.091,8.307,-0.459,-63.965,2.625,-47.424
0.067,8.163,-0.742,-82.214,-5.432,-61.646
0.412,7.675,-0.967,-99.243,-8.789,-71.289
0.742,6.967,-1.23,-109.375,-10.132,-87.036
1.244,5.742,-1.373,-113.525,-4.456,-102.539
1.321,4.431,-1.665,-113.342,0.671,-110.84
1.158,3.799,-2.029,-122.314,2.014,-116.15
0.656,3.216,-2.751,-134.399,-0.793,-116.882
-0.053,2.608,-3.685,-153.625,-14.465,-116.638
-0.364,1.125,-3.933,-160.278,-24.353,-120.911
-0.287,-0.531,-3.618,-145.325,-25.757,-127.441
-0.316,-2.172,-3.345,-123.169,-28.503,-128.113
0.134,-4.412,-2.799,-101.685,-30.701,-122.925
1.158,-6.264,-2.163,-71.228,-32.166,-120.911
2.862,-8.795,-1.129,-36.194,-26.794,-104.736
4.101,-10.752,-0.56,-2.686,-28.503,-80.933
5.742,-13.102,0.603,27.283,-22.4,-32.715
5.79,-13.949,2.01,55.786,-0.488,4.7
3.637,-12.197,1.723,62.683,20.752,29.48
1.316,-10.676,1.211,59.143,27.588,35.095
0.402,-9.8,1.383,53.101,34.729,55.542
0.01,-8.446,1.627,25.146,65.674,82.886
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
