ax,ay,az,gx,gy,gz
1.8821089,2.5954366,-0.2582166,6.430223,19.551905,-34.890125
2.2173388,2.619426,-0.21226801,10.831156,15.258507,-38.895298
2.714101,2.9796429,-0.49555632,11.185455,7.857886,-50.420273
3.933509,4.162663,0.05644323,11.36954,10.889919,-65.517296
5.54358,6.0967755,0.368603,-2.45486,17.734676,-70.09207
6.7350655,6.908624,0.44233268,-26.065903,37.93914,-83.42584
6.5273986,6.68224,0.046226043,-36.932976,48.779392,-95.45836
5.5078545,5.670267,-0.34117997,-45.733955,53.209618,-108.58701
4.3481455,4.3586698,-0.9178978,-47.59414,53.870247,-115.13478
3.1235983,2.6707344,-1.8274913,-40.63218,52.331436,-133.94225
2.0248559,1.4769961,-2.6467886,-32.078163,42.020752,-149.53989
0.74224895,-0.77752495,-2.9785933,-27.550428,34.857796,-158.34079
-0.32954374,-1.900195,-2.585134,-22.975433,26.335691,-166.94139
-1.0468565,-3.2036517,-2.7175949,-16.4172,19.656961,-164.98344
-1.7370876,-4.5296097,-2.6805582,-10.652182,7.4232144,-157.13335
-2.7559066,-5.7894115,-2.2432222,-8.3196745,-11.300134,-143.92802
-2.7228448,-6.122377,-1.2272326,-9.055281,-21.026358,-125.4548
-2.0974448,-6.500278,-0.6252869,-7.939523,-28.969185,-117.055244
-1.2275435,-6.393945,-0.053935833,-8.518741,-25.276094,-104.686615
-0.87413406,-6.716972,0.13976796,-3.4829493,-22.547949,-89.799965
-1.1164281,-6.5244026,0.3834615,-1.5918199,-19.36112,-72.984535
-0.9882636,-5.1831803,0.778439,1.0388765,-17.082747,-55.351818
-0.8326098,-4.735377,1.0166831,0.49793732,-14.414957,-40.804276
-0.9805917,-4.495512,0.8246338,-2.675827,-10.820521,-28.28843
-1.1111246,-4.3454976,0.58600044,-3.5471501,-9.696614,-18.119755
-1.3276613,-4.330303,0.2039575,2.0568435,-8.25729,-9.891863
-1.7677461,-4.096085,-0.3383522,1.8297763,-8.218426,3.5617023
-1.8550836,-3.8435543,-0.8731211,3.8778858,-12.066711,11.76869
-1.8947183,-3.830269,-1.1804075,3.7105737,-12.919227,19.43614
-1.98857,-3.9320855,-1.633412,1.9583676,-14.710795,27.981293
-2.1541388,-4.814936,-2.0841231,0.44582403,-22.676403,41.97394
-2.4555676,-5.4506207,-2.886168,-3.1433659,-27.640907,53.62529
-2.8824847,-6.540354,-3.7190652,-3.461814,-32.28188,71.31219
-2.9968162,-7.26488,-4.6794043,-1.3164973,-43.13147,87.9658
-3.06119,-7.6830807,-5.369845,3.4026604,-57.26204,100.397804
-2.8384378,-7.888245,-5.6125817,10.497701,-78.89659,121.779205
-1.7914896,-7.7896476,-5.437912,15.943283,-89.54765,142.5539
-1.1679478,-8.122691,-5.113886,22.76631,-99.24308,153.5708
-0.84472996,-7.3082128,-4.979353,30.709295,-110.122375,164.63423
0.13806286,-5.5531974,-4.037823,36.89679,-123.68669,171.3889
1.9434241,-3.6625543,-2.4835608,34.750275,-128.33034,180.48232
3.6020682,-2.014617,-0.64295965,38.112854,-124.31774,183.71709
4.180478,-0.4306168,0.39093947,46.030655,-117.175316,180.68759
4.985996,2.0754542,1.8897218,49.87794,-110.220695,167.93478
6.5754232,4.892088,3.4183152,35.634552,-91.61129,156.70978
7.141798,6.2172165,4.1340303,12.907854,-56.500793,139.92596
5.829249,5.979189,3.6158962,5.1097255,-43.781113,127.588425
5.497668,6.465547,3.5683575,0.81024396,-37.26576,112.49116
5.4623375,6.2087436,3.662635,-6.525455,-28.16248,103.28698
5.086497,6.0446978,3.534297,-13.750354,-19.924809,91.96841
4.8385754,5.3216505,3.1632454,-12.303381,-8.172694,71.991356
3.9737322,4.348142,2.1885006,-11.179974,-2.579485,54.532852
3.2336226,4.288704,1.3721008,-8.06739,0.7246419,40.74251
2.6664371,4.0116835,0.67577344,-10.041044,1.6118777,30.633675
2.2446368,3.4776707,0.30916595,-9.72869,-0.9368807,21.392279
2.105048,2.8873827,-0.045700178,-0.63986063,-1.925357,10.232992
2.5941384,3.0033875,-0.351976,1.0139945,-3.1427367,4.219484
2.998286,3.5600328,-0.33511367,0.35660046,-4.548324,-4.540619
3.2726157,4.0707064,-0.36297145,-4.43702,-3.9031537,-6.1393356
3.4600685,4.7532635,-0.52078736,-12.109251,-3.4864285,-24.384686
3.7974632,5.134219,-0.7286331,-22.561407,2.984222,-32.760006
4.326932,5.468663,-1.1371223,-29.327784,10.089091,-45.45573
4.274601,5.911924,-1.7406974,-35.91039,15.920943,-57.288677
4.2994876,6.5622663,-2.3812397,-42.55194,18.22744,-72.3787
4.149338,6.8637567,-2.8412385,-51.965183,20.769392,-87.843666
3.9577684,6.6274834,-3.4561815,-65.50204,17.625301,-106.403336
3.400138,5.913472,-3.8967183,-70.40072,11.854668,-117.881966
2.5511,5.0537295,-4.406227,-73.71002,3.8098977,-127.36518
2.672794,4.2937264,-4.407572,-74.82765,-1.4074116,-147.85385
2.3853376,3.6220505,-4.1796994,-77.2531,-7.2507315,-158.02979
1.7965565,2.7915459,-3.7565851,-79.18862,-20.359867,-173.10764
1.0472163,1.2339969,-3.2223551,-80.893295,-32.565872,-180.84572
0.5655401,-0.92842466,-2.7324474,-81.60415,-45.228855,-182.33713
0.75844777,-4.382093,-1.7382243,-75.6504,-58.173927,-184.25793
1.9349365,-8.006064,-0.116294965,-65.41894,-65.12603,-172.97101
2.8028414,-9.812268,1.6564299,-51.25155,-58.455284,-143.46344
2.6943455,-10.201886,3.0046937,-41.33387,-41.323345,-123.051544
1.5038384,-9.700029,3.106144,-35.114872,-28.600594,-103.11007
0.3944497,-8.700098,2.6588626,-28.943817,-27.159956,-82.20889
-0.33797365,-7.658229,2.360775,-24.248241,-25.187347,-64.963356
-0.78910244,-6.705504,2.3154843,-19.520845,-21.551989,-49.022015
-0.81619024,-5.6674237,2.3047748,-15.203589,-15.594743,-39.721733
-1.1563162,-4.54498,2.2153451,-11.071238,-12.729595,-30.250824
-1.0896851,-3.5528212,2.1781127,-8.912881,-6.7136292,-22.93283
-1.0759956,-2.7150037,1.9855047,-10.807219,-0.861305,-16.44395
-1.2947824,-2.522807,2.007241,-11.318166,0.66659725,-4.6830163
-1.4337124,-2.3960266,1.6223317,-8.937933,-0.13712573,-8.163595
-1.201809,-2.517865,1.4520692,-6.65258,2.6881273,3.142792
-1.4424872,-3.147654,1.3684038,-1.3079877,1.2927964,12.622687
-1.5954857,-3.0944474,1.1315097,8.153292,-5.674101,13.556046
-1.021688,-3.3609896,1.3830974,13.702521,-3.7240906,14.8298435
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
