ax,ay,az,gx,gy,gz
-3.5891235,-0.843644,-7.400068,35.067593,-37.45398,-18.643805
-3.7305753,-0.89288974,-7.8412437,36.36044,-50.60877,-16.158646
-3.5487702,-1.0606484,-7.875744,33.72262,-60.07308,-10.995862
-3.2129505,-1.3713953,-7.74459,29.591093,-65.03017,-3.5823863
-3.035975,-1.6872072,-7.722375,27.449694,-68.68566,2.4714897
-3.0166168,-1.8680534,-7.797776,27.775593,-73.15675,5.5169196
-2.9931214,-2.0276148,-7.856755,29.168812,-78.15182,6.2104425
-2.872593,-2.2586367,-7.868221,31.570307,-84.414894,7.5393014
-2.5910134,-2.5254626,-7.7147355,33.668354,-91.084305,11.199946
-2.1964674,-2.7600236,-7.4684396,35.32463,-97.49896,16.36377
-1.7278087,-2.9752073,-7.1556463,37.620354,-102.745605,21.088465
-1.2306353,-3.1220806,-6.733785,40.689274,-106.36657,24.898117
-0.7510289,-3.1380272,-6.1881895,43.29891,-109.03951,29.532127
-0.25314254,-3.0314217,-5.5137944,45.093235,-110.91585,34.705997
0.22412963,-2.928389,-4.844893,46.539566,-111.80796,39.346138
0.67876464,-2.8621333,-4.171832,48.28512,-111.65336,43.798237
1.1418444,-2.706032,-3.4562953,49.545933,-110.57328,48.479992
1.6081768,-2.435348,-2.6875453,49.98375,-107.68657,52.69989
2.0637057,-2.0765536,-1.8907992,49.980453,-103.49155,56.034225
2.4851317,-1.7556959,-1.1633573,50.055794,-98.075676,58.594524
2.8385928,-1.4674784,-0.54028213,50.314537,-91.78887,60.5361
3.13654,-1.1825011,-0.010373346,50.433765,-84.833725,62.044353
3.3845336,-0.88341403,0.4401724,50.13848,-76.72073,62.938053
3.5495896,-0.57935447,0.78533983,49.42013,-68.14429,63.151726
3.658448,-0.31631434,1.041287,48.495537,-59.42631,62.903927
3.7270064,-0.097871095,1.206353,47.29967,-50.69247,62.55573
3.7432158,0.084528014,1.2709509,46.02461,-42.157692,62.19318
3.6999965,0.2462996,1.2508003,44.46674,-33.862476,61.68834
3.6016388,0.42155674,1.1717865,42.7805,-25.756968,60.57995
3.4609451,0.60469955,1.04417,41.490166,-18.096102,58.577065
3.2732136,0.79310846,0.8734922,40.391174,-11.17637,55.842724
3.068376,0.97811735,0.6802396,38.966236,-5.146231,52.897495
2.8530898,1.1523226,0.46724007,36.94266,-0.25769743,49.891365
2.6347077,1.3233639,0.2461332,34.498505,3.7977395,46.819115
2.4275723,1.473603,0.02993263,31.800568,7.198623,43.607132
2.2295306,1.6052483,-0.19156812,29.076498,10.006926,40.262436
2.0281065,1.7134109,-0.43372318,26.561634,12.112386,36.63427
1.8425156,1.796734,-0.6821793,23.95861,13.404678,32.963707
1.6647869,1.8378361,-0.9445059,21.379416,14.0393305,29.51717
1.4893157,1.8546258,-1.2074317,18.749737,13.945563,26.418072
1.3188119,1.8380572,-1.4637883,16.245583,13.213031,23.609777
1.1552825,1.7973415,-1.7128843,13.963877,11.911485,20.987253
1.0013691,1.745163,-1.9492552,11.991444,10.055453,18.341835
0.85600674,1.6827638,-2.1751885,10.513668,7.761166,15.499116
0.7315782,1.6151503,-2.3745823,9.316788,5.084044,12.831025
0.6243546,1.552213,-2.5531418,8.176442,2.0737627,10.584443
0.5241771,1.5019504,-2.7215059,7.0073023,-1.3158344,8.596965
0.4307094,1.4560273,-2.862041,5.8584514,-5.2313843,6.696488
0.35860968,1.4277622,-2.9357517,4.676486,-9.335619,4.88248
0.3159371,1.4225149,-2.957086,3.2887235,-13.447538,3.18561
0.29803005,1.4310306,-2.9482129,1.6977155,-17.397223,1.5280956
0.28675228,1.4308618,-2.9310222,-0.028759943,-21.211344,-0.2356798
0.27333087,1.4008,-2.8994515,-1.9607713,-25.267897,-1.7978431
0.27075863,1.3479854,-2.814151,-4.0699,-29.494791,-3.134809
0.30521938,1.3066427,-2.6587772,-6.527213,-33.7788,-4.2441278
0.40283027,1.2587694,-2.4420316,-9.157945,-37.61505,-5.296505
0.5751115,1.1678218,-2.1873822,-11.622485,-40.30793,-6.461018
0.7656165,1.0248069,-1.9271859,-13.4119,-41.81935,-7.865498
0.9688334,0.84421605,-1.6411582,-14.98566,-42.676426,-8.952495
1.1784123,0.65320206,-1.3244476,-16.48363,-42.92253,-9.593284
1.4110695,0.44998634,-0.98811156,-17.98627,-42.402634,-9.699979
1.3653543,0.43540788,-0.95609915,-17.40356,-41.028893,-9.385723
1.3212285,0.4213363,-0.92519975,-16.841108,-39.702915,-9.082394
1.2786269,0.4077508,-0.89536774,-16.298086,-38.422737,-8.789542
1.237488,0.39463168,-0.8665599,-15.773706,-37.186516,-8.506744
1.1977534,0.38196042,-0.83873546,-15.267227,-35.99249,-8.233601
1.1593678,0.36971936,-0.8118557,-14.777943,-34.839,-7.9697304
1.1222787,0.35789174,-0.7858838,-14.305185,-33.724476,-7.714772
1.0864364,0.3464617,-0.76078486,-13.848318,-32.64741,-7.4683847
1.0517933,0.3354141,-0.73652583,-13.406738,-31.606386,-7.2302413
1.0183045,0.3247346,-0.713075,-12.979871,-30.600046,-7.000032
0.9859268,0.31440946,-0.6904023,-12.567168,-29.6271,-6.7774615
0.95461947,0.30442566,-0.66847914,-12.168107,-28.686314,-6.5622487
0.92434335,0.29477066,-0.6472781,-11.782191,-27.776516,-6.354124
0.8950611,0.28543264,-0.62677294,-11.408943,-26.896584,-6.152832
0.86673695,0.27640015,-0.6069388,-11.047908,-26.045444,-5.958126
0.83933693,0.26766235,-0.5877517,-10.698652,-25.222073,-5.7697725
0.81282824,0.2592088,-0.56918883,-10.360758,-24.425488,-5.587547
0.78717965,0.25102952,-0.5512282,-10.033827,-23.654747,-5.411233
0.76236117,0.24311498,-0.5338489,-9.717477,-22.908953,-5.240626
0.7383441,0.23545599,-0.5170308,-9.411342,-22.187239,-5.0755277
0.71510077,0.22804375,-0.5007544,-9.115069,-21.488777,-4.915748
0.6926047,0.22086982,-0.48500142,-8.828322,-20.81277,-4.7611055
0.6708305,0.21392609,-0.4697539,-8.5507765,-20.158457,-4.6114254
0.6497537,0.20720474,-0.4549947,-8.28212,-19.525099,-4.4665394
0.62935084,0.20069832,-0.44070745,-8.022053,-18.911991,-4.3262854
0.60959923,0.19439958,-0.42687622,-7.7702885,-18.318455,-4.190509
0.5904771,0.18830161,-0.41348585,-7.526548,-17.743837,-4.05906
0.57196367,0.18239771,-0.40052167,-7.290565,-17.187508,-3.9317946
0.55403864,0.17668146,-0.38796952,-7.0620823,-16.64886,-3.8085742
0.5366826,0.17114668,-0.37581584,-6.8408527,-16.127312,-3.6892653
0.51987684,0.16578737,-0.3640475,-6.6266375,-15.622299,-3.5737393
0.50360334,0.16059779,-0.35265186,-6.4192066,-15.13328,-3.4618719
0.4878447,0.1555724,-0.34161675,-6.218338,-14.659733,-3.3535438
0.4725841,0.15070583,-0.3309304,-6.023818,-14.201152,-3.2486393
0.4578054,0.14599293,-0.32058153,-5.8354406,-13.757051,-3.1470475
0.44349292,0.14142872,-0.31055912,-5.653006,-13.3269615,-3.0486608
0.42963165,0.1370084,-0.30085266,-5.476322,-12.91043,-2.9533753
0.41620696,0.13272731,-0.2914519,-5.305204,-12.507018,-2.8610914
0.40320483,0.12858096,-0.28234708,-5.1394715,-12.116304,-2.771712
0.39061168,0.124565035,-0.27352864,-4.978952,-11.73788,-2.685144
0.37841436,0.12067535,-0.26498738,-4.8234787,-11.371351,-2.6012974
0.36660025,0.11690786,-0.25671446,-4.672889,-11.016337,-2.5200846
0.35515708,0.11325866,-0.24870129,-4.527028,-10.672469,-2.441422
0.344073,0.10972397,-0.24093959,-4.3857446,-10.339393,-2.3652277
0.33333656,0.10630016,-0.23342134,-4.2488923,-10.016764,-2.2914233
0.32293674,0.10298368,-0.22613879,-4.11633,-9.704249,-2.219933
0.31286284,0.099771135,-0.21908444,-3.9879224,-9.401527,-2.1506827
0.30310446,0.09665921,-0.21225108,-3.8635368,-9.108289,-2.0836017
0.29365167,0.09364474,-0.20563169,-3.7430463,-8.824232,-2.0186212
0.28449473,0.09072462,-0.19921948,-3.626327,-8.549067,-1.9556746
0.27562433,0.08789587,-0.19300792,-3.51326,-8.282511,-1.8946977
0.26703137,0.085155606,-0.18699065,-3.4037294,-8.024293,-1.835628
0.25870714,0.08250103,-0.18116154,-3.297624,-7.7741494,-1.7784055
0.25064313,0.07992944,-0.17551467,-3.194836,-7.531826,-1.722972
0.24283117,0.07743822,-0.17004427,-3.0952604,-7.297076,-1.6692709
0.23526329,0.07502484,-0.16474481,-2.998796,-7.0696616,-1.6172477
0.22793183,0.07268686,-0.1596109,-2.905345,-6.849351,-1.5668497
0.22082932,0.07042189,-0.15463732,-2.8148127,-6.635921,-1.5180258
0.2139486,0.06822765,-0.14981905,-2.727107,-6.4291553,-1.4707263
0.20728269,0.06610191,-0.1451512,-2.6421397,-6.2288446,-1.4249034
0.20082486,0.064042516,-0.14062905,-2.5598245,-6.0347867,-1.3805109
0.19456854,0.0620474,-0.13624802,-2.4800782,-5.8467846,-1.3375038
0.18850745,0.060114533,-0.13200371,-2.40282,-5.664649,-1.2958386
