ax,ay,az,gx,gy,gz
4.7936797,0.5918236,6.4991503,44.500404,-43.334938,3.5509412
5.6400375,0.39417386,7.111815,41.124443,-30.248325,0.78317267
6.0533547,0.11974979,7.328073,37.105087,-19.033072,0.25409424
6.3086023,-0.20137657,7.4201026,36.95671,-6.708458,1.1033089
6.4110837,-0.2721358,7.4619117,36.81826,4.237285,2.5956845
6.419179,-0.21915655,7.5352383,37.664364,14.475105,2.903548
6.3348017,-0.19330058,7.624266,40.033016,24.064936,1.1302263
6.32226,-0.19552478,7.714335,42.687576,33.25148,-1.3358653
6.470632,-0.14015256,7.8255982,42.88392,43.621193,-2.6816108
6.744498,0.021837179,7.8200364,42.388935,55.20671,-4.758689
6.964301,0.14562866,7.6588535,41.16778,67.89367,-7.9185114
7.1212463,0.19985099,7.3226104,39.566647,80.40141,-10.733091
7.172613,0.23449484,6.793864,38.136665,92.040344,-13.194995
7.0935903,0.30202338,6.141565,36.43749,102.38673,-15.54478
6.8336735,0.38826966,5.383957,34.40087,110.9021,-17.656103
6.5004063,0.4512702,4.5993047,32.00149,117.45957,-19.50464
6.1448956,0.46333352,3.813671,29.764977,122.316475,-21.043083
5.7851653,0.4715029,3.0461721,27.529818,125.76719,-22.26952
5.4102345,0.48494878,2.3061361,25.934368,127.459694,-23.57814
5.02485,0.5473207,1.6238623,24.514809,127.928535,-24.959513
4.658171,0.6289805,1.0079604,23.12862,127.36123,-26.212584
4.31213,0.73339313,0.4585041,21.456446,125.95592,-27.24053
4.00417,0.87253034,-0.031132735,19.268543,123.945526,-28.064392
3.727124,1.035247,-0.47485417,16.7706,121.29874,-28.9723
3.4613938,1.2265207,-0.8931113,13.723082,118.24083,-30.020115
3.1941202,1.4042209,-1.295351,9.901152,114.80362,-31.214846
2.917558,1.5183097,-1.6950861,5.8249288,110.89578,-32.859875
2.6403217,1.5287685,-2.0874908,2.125608,106.435104,-34.859676
2.373527,1.4544933,-2.4616518,-1.2383114,101.08936,-36.45473
2.1120076,1.2923238,-2.7913659,-4.4059777,95.300575,-37.507572
1.847573,1.0804732,-3.0885441,-7.1380377,89.11411,-38.2924
1.5827451,0.79526407,-3.3495426,-8.933727,82.42853,-39.31714
1.3422711,0.44055036,-3.5546668,-9.853693,75.27269,-39.981117
1.127783,0.05172666,-3.687236,-10.43945,67.41234,-38.958847
0.91470283,-0.33475032,-3.7289357,-10.856523,59.065323,-36.95286
0.75573134,-0.71769786,-3.6916635,-10.847462,50.510464,-34.403202
0.67430997,-1.1010388,-3.5476866,-10.3633175,42.309387,-31.24136
0.65912557,-1.4229182,-3.3151352,-9.501594,34.877525,-27.49403
0.71274054,-1.6817439,-3.0419698,-7.8919125,28.525156,-23.931597
0.88965505,-1.8746741,-2.724105,-5.8089848,23.435856,-20.481012
1.1190666,-2.0063658,-2.3803284,-3.309311,19.52232,-16.685501
1.3605839,-2.0299916,-2.0385015,-1.0055895,16.770569,-12.54453
1.5805368,-1.9686867,-1.7230315,1.3394656,15.097704,-8.682242
1.7614199,-1.8413715,-1.4580437,3.884105,14.595323,-5.4762926
1.8605628,-1.6628537,-1.2847526,6.8137145,14.347224,-2.8150566
1.9270893,-1.3995588,-1.1489933,9.221788,14.003506,-0.116933085
