ax,ay,az,gx,gy,gz
-1.283648,-0.9263721,-3.4718497,31.84938,-51.047737,6.103692
-1.321933,-0.8933186,-3.8307009,32.20369,-53.04378,3.16642
-1.340052,-0.72355354,-4.1390977,25.011732,-51.38569,2.4785872
-1.4981849,-0.6225573,-4.5760555,18.350828,-50.43077,1.7075442
-1.7757607,-0.5942323,-5.118641,11.876007,-53.004894,2.2255673
-2.139878,-0.71682185,-5.707183,5.738978,-57.44484,3.7865396
-2.4327717,-0.93208,-6.1608863,1.2262307,-63.03606,6.094648
-2.6297185,-1.0723128,-6.4895167,-1.3822407,-68.95126,8.304774
-2.724637,-1.1244429,-6.656185,-3.3266084,-75.16341,10.630541
-2.6991045,-1.1005602,-6.6654363,-6.239535,-81.58334,13.806707
-2.5366092,-0.99165565,-6.4592576,-8.999407,-87.76793,16.475527
-2.2780974,-0.83859116,-6.115915,-11.720864,-92.84762,18.537127
-2.043282,-0.7099568,-5.697373,-14.583056,-96.937096,20.006407
-1.8413895,-0.65913564,-5.244129,-17.309704,-100.52385,21.3408
-1.5742055,-0.64364386,-4.738792,-19.83997,-103.94564,23.00356
-1.214076,-0.57081497,-4.1737123,-22.779636,-106.648506,24.66997
-0.834489,-0.5530875,-3.626611,-25.39051,-108.66134,25.740305
-0.45731226,-0.62812334,-3.06695,-26.990063,-109.74138,26.26339
-0.08667121,-0.7147749,-2.505007,-27.372183,-109.78039,26.113457
0.27374563,-0.7514948,-1.9493753,-26.693031,-108.6001,25.177616
0.6359861,-0.7242247,-1.3998085,-25.999903,-106.477135,24.270754
0.94937736,-0.6923498,-0.88860625,-25.303122,-103.694496,23.267803
1.2173235,-0.68399286,-0.40022022,-24.49495,-100.36174,22.359524
1.455597,-0.6914504,0.07476067,-23.348688,-96.668976,21.55529
1.7004443,-0.6988208,0.53694636,-21.574303,-92.108734,20.539717
1.9620491,-0.68599933,0.96840674,-19.525175,-86.78472,19.104506
1.8737037,-0.6551108,0.9248021,-18.646011,-82.87706,18.244284
1.7912573,-0.62628466,0.88410914,-17.825552,-79.230316,17.441502
1.7141187,-0.59931445,0.84603596,-17.057915,-75.818344,16.690403
1.6417757,-0.5740208,0.8103297,-16.338,-72.61849,15.985997
1.5737817,-0.5502478,0.77676994,-15.661362,-69.61101,15.323938
1.509746,-0.52785873,0.74516386,-15.024116,-66.778595,14.700421
1.449325,-0.5067335,0.7153419,-14.42284,-64.10607,14.112101
1.3922154,-0.486766,0.6871544,-13.854519,-61.580017,13.556024
1.3381485,-0.46786237,0.66046864,-13.316476,-59.18855,13.029573
1.2868851,-0.44993895,0.63516665,-12.806334,-56.921085,12.530421
1.2382121,-0.4329212,0.6111432,-12.321968,-54.768196,12.056492
1.1919383,-0.4167423,0.5883038,-11.861478,-52.721428,11.605923
1.1478919,-0.40134218,0.5665639,-11.423154,-50.773182,11.177042
1.1059184,-0.3866668,0.54584706,-11.005458,-48.916626,10.768346
1.0658779,-0.37266728,0.5260843,-10.606998,-47.145565,10.37847
1.0276437,-0.35929933,0.5072131,-10.226514,-45.454407,10.006184
0.9911008,-0.34652266,0.4891767,-9.86286,-43.83805,9.650365
0.9561443,-0.33430067,0.4719232,-9.514993,-42.291862,9.309993
0.92267835,-0.32259983,0.45540544,-9.181959,-40.811607,8.984134
0.89061534,-0.3113895,0.43958017,-8.862886,-39.39341,8.671936
0.8598749,-0.30064163,0.42440763,-8.556975,-38.033707,8.372616
0.83038306,-0.29033026,0.40985137,-8.26349,-36.729233,8.085453
0.80207163,-0.28043163,0.39587775,-7.9817514,-35.476974,7.809785
0.7748778,-0.27092373,0.38245568,-7.711134,-34.274143,7.5449977
0.74874324,-0.2617862,0.3695565,-7.4510584,-33.11817,7.2905254
0.7236141,-0.2530002,0.35715353,-7.2009873,-32.006664,7.0458426
0.6994402,-0.24454817,0.34522203,-6.960423,-30.937412,6.810461
