ax,ay,az,gx,gy,gz
-0.435,-0.708,0.053,28.687,-18.86,16.785
0.278,-0.148,0.431,19.958,-10.132,15.747
0.651,0.139,0.392,18.066,-4.211,16.724
0.445,1.01,0.292,5.31,3.418,16.357
-0.077,1.507,-0.148,2.93,5.249,9.766
-0.546,2.239,-0.612,4.761,0.732,7.202
-0.804,3.259,-0.598,6.348,-8.728,2.319
-0.172,5.201,0.378,3.723,-5.615,-6.897
0.005,6.345,0.775,-5.798,1.831,-18.616
-0.057,6.977,0.699,-17.029,9.766,-31.921
-0.373,7.312,0.187,-24.292,7.812,-43.945
-0.526,7.704,-0.038,-36.987,1.648,-58.899
-0.201,8.341,0.005,-52.307,-0.793,-72.876
0.062,8.288,-0.091,-64.514,-1.16,-89.478
0.301,7.661,-0.321,-72.632,-0.61,-103.577
0.612,6.934,-0.445,-77.454,-0.305,-116.943
1.014,6.154,-0.479,-86.426,-2.808,-131.47
1.833,4.57,-0.502,-89.05,-1.587,-140.93
2.278,3.043,-0.646,-89.355,0.183,-146.729
2.235,1.33,-1.019,-87.769,1.099,-149.536
2.196,-0.201,-1.258,-87.524,0.366,-148.804
2.101,-1.565,-1.455,-90.759,-3.723,-143.005
2.268,-3.278,-1.349,-88.989,-4.272,-135.498
2.512,-4.402,-1.373,-85.205,-4.211,-126.16
2.541,-5.484,-1.464,-74.158,-2.869,-114.868
2.498,-6.034,-1.345,-68.054,-3.906,-102.356
2.483,-6.604,-1.211,-60.364,-2.869,-81.726
2.11,-7.135,-1.235,-54.688,0.122,-71.655
1.794,-7.843,-1.359,-47.485,4.333,-54.077
1.302,-8.321,-1.718,-41.504,5.127,-37.659
0.852,-8.719,-2.096,-30.884,1.587,-20.935
0.67,-9.073,-2.359,-13.245,-4.272,1.282
0.914,-9.747,-2.68,-1.16,-9.094,19.287
1.115,-9.92,-2.833,12.268,-13.245,38.757
1.244,-9.542,-2.866,25.024,-17.212,56.885
1.369,-8.905,-2.852,37.415,-20.203,71.96
1.488,-8.245,-2.747,53.955,-24.963,87.769
1.574,-6.876,-2.603,66.956,-26.55,96.619
1.565,-5.646,-2.498,76.294,-29.175,104.187
