ax,ay,az,gx,gy,gz
-0.024,-0.306,2.019,-75.989,-89.417,-2.197
0.947,-0.799,3.742,-56.03,-68.42,12.634
1.742,-1.024,6.187,-23.499,-46.387,17.151
2.751,0.096,8.053,0.488,-41.138,10.071
4.871,1.12,10.618,15.808,-13.916,4.456
6.58,1.412,11.891,-0.916,23.926,9.827
7.264,0.239,11.537,-13.55,77.515,12.695
7.661,-1.483,9.838,3.845,121.338,-1.099
7.57,-1.79,8.183,18.127,159.241,-6.836
6.986,-1.632,6.072,14.404,181.519,-2.563
6.532,-1.512,4.264,6.775,194.519,6.104
5.819,-1.44,2.369,11.719,205.627,11.353
5.469,-1.378,-0.048,10.559,211.914,14.16
5.34,-1.192,-1.622,4.15,215.088,15.32
5.254,-1.139,-3.034,-3.418,223.267,21.179
4.862,-1.024,-4.823,-9.949,226.807,25.574
4.029,-0.924,-6.757,-15.137,217.041,30.273
3.149,-0.957,-8.422,-4.883,215.759,31.738
2.182,-0.665,-9.867,-4.761,200.867,37.476
1.153,-0.297,-10.647,2.563,188.965,38.757
0.139,0.148,-11.159,11.658,171.814,38.513
-0.857,0.794,-11.891,15.93,126.16,34.729
-1.737,1.459,-11.939,13.855,95.154,31.738
-2.153,2.426,-11.771,2.93,67.2,27.039
-2.493,3.426,-11.676,-13.489,37.476,22.583
-2.665,3.618,-11.465,-27.527,13.062,17.639
-3.173,3.106,-11.59,-36.316,-25.146,9.094
-3.718,2.507,-11.513,-34.546,-57.007,-1.465
-3.785,2.483,-11.274,-27.161,-93.628,-15.625
-3.177,2.689,-10.489,-23.804,-122.253,-31.738
-2.431,2.775,-9.747,-18.25,-148.987,-45.837
-1.613,2.555,-9.202,-25.024,-187.439,-56.702
-0.278,1.196,-8.216,-33.752,-209.473,-55.481
0.818,0.129,-7.111,-36.072,-224.915,-54.199
2.45,-0.536,-5.359,-17.517,-227.844,-62.805
3.862,-0.79,-3.531,-18.799,-234.07,-54.993
4.953,-1.101,-1.168,-29.419,-224.548,-35.645
4.862,-1.431,0.809,-30.151,-218.628,-33.081
4.919,-2.158,2.067,-23.987,-216.431,-40.344
6.403,-3.211,4.158,-18.86,-201.538,-35.645
7.513,-3.455,6.005,-15.625,-177.124,-23.315
7.541,-3.01,7.183,-8.179,-141.052,-18.372
6.742,-2.335,8.173,-4.028,-115.051,-15.015
6.034,-1.675,8.637,-3.845,-89.111,-8.85
5.201,-1.302,8.441,-8.484,-67.261,-2.075
4.225,-1.416,7.541,-13.245,-50.781,3.601
3.297,-1.436,6.58,-9.46,-32.532,5.432
2.388,-0.756,5.522,-5.981,-21.545,2.808
1.771,-0.139,4.862,-4.456,-13.55,-0.916
1.249,0.249,4.34,-4.456,-6.409,-6.836
1.416,0.316,4.039,-16.296,8.789,-0.671
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
